           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,        297,          0,          0, 
 1 :  btl_alive,        298,          0,          0, 
 2 :   btl_move,        299,          0,          0, 
 3 : btl_protect,        300,          0,          0, 
 4 : btl_waiting,        301,          0,          0, 
 5 : btl_mc_none,        302,          0,          0, 
 6 : btl_unknown,        303,          0,          0, 
 7 :   btl_none,        304,          0,          0, 
 8 : btl_ap_absence,        305,          0,          0, 
 9 : btl_component_absence,        306,          0,          0, 
10 : btl_escape,        307,          0,          0, 
11 : btl_unit_st_01,        308,          0,          0, 
12 : btl_unit_st_02,        309,          0,          0, 
13 : btl_unit_st_03,        310,          0,          0, 
14 : btl_unit_st_04,        311,          0,          0, 
15 : btl_union_st_01,        312,          0,          0, 
16 : btl_union_st_02,        313,          0,          0, 
17 : btl_union_st_03,        314,          0,          0, 
18 : btl_union_st_04,        315,          0,          0, 
19 : btl_union_st_05,        316,          0,          0, 
20 : btl_union_st_06,        317,          0,          0, 
21 : btl_union_st_07,        318,          0,          0, 
22 : btl_union_st_08,        319,          0,          0, 
23 : btl_union_st_09,        320,          0,          0, 
24 : btl_union_st,        321,          0,          0, 
25 : btl_union_st,        322,          0,          0, 
26 : btl_union_st,        323,          0,          0, 
27 : btl_union_st_reset,        324,          0,          0, 
28 : btl_union_st_reset,        325,          0,          0, 
29 : ex_gae_bolg,        326,          0,          0, 
30 : Rush_Act_EX01,        327,          0,          0, 
31 :    tatakau,        328,          0,          0, 
32 : arts_skill_oh_oh_nagiharai_base,        329,          0,          0, 
33 : arts_skill_oh_oh_nagiharai_speed1,        330,          0,          0, 
34 : arts_skill_oh_oh_nagiharai_speed2,        331,          0,          0, 
35 : arts_skill_oh_oh_nagiharai_power1,        332,          0,          0, 
36 : arts_skill_oh_oh_nagiharai_power2,        333,          0,          0, 
37 : arts_skill_oh_oh_cutin_base,        334,          0,          0, 
38 : arts_skill_oh_oh_cutin_speed1,        335,          0,          0, 
39 : arts_skill_oh_oh_cutin_speed2,        336,          0,          0, 
40 : arts_skill_oh_oh_cutin_power1,        337,          0,          0, 
41 : arts_skill_oh_oh_cutin_power2,        338,          0,          0, 
42 : arts_skill_oh_oh_denkoseka_base,        339,          0,          0, 
43 : arts_skill_oh_oh_denkoseka_speed1,        340,          0,          0, 
44 : arts_skill_oh_oh_denkoseka_speed2,        341,          0,          0, 
45 : arts_skill_oh_oh_denkoseka_power1,        342,          0,          0, 
46 : arts_skill_oh_oh_denkoseka_power2,        343,          0,          0, 
47 : arts_skill_oh_oh_kasuminidan_base,        344,          0,          0, 
48 : arts_skill_oh_oh_kasuminidan_speed1,        345,          0,          0, 
49 : arts_skill_oh_oh_kasuminidan_speed2,        346,          0,          0, 
50 : arts_skill_oh_oh_kasuminidan_power1,        347,          0,          0, 
51 : arts_skill_oh_oh_kasuminidan_power2,        348,          0,          0, 
52 : arts_skill_oh_oh_jyumonjikiri_base,        349,          0,          0, 
53 : arts_skill_oh_oh_jyumonjikiri_speed1,        350,          0,          0, 
54 : arts_skill_oh_oh_jyumonjikiri_speed2,        351,          0,          0, 
55 : arts_skill_oh_oh_jyumonjikiri_power1,        352,          0,          0, 
56 : arts_skill_oh_oh_jyumonjikiri_power2,        353,          0,          0, 
57 : arts_skill_oh_oh_finalletter_base,        354,          0,          0, 
58 : arts_skill_oh_oh_finalletter_speed1,        355,          0,          0, 
59 : arts_skill_oh_oh_finalletter_speed2,        356,          0,          0, 
60 : arts_skill_oh_oh_finalletter_power1,        357,          0,          0, 
61 : arts_skill_oh_oh_finalletter_power2,        358,          0,          0, 
62 : arts_skill_oh_oh_kabutowari_base,        359,          0,          0, 
63 : arts_skill_oh_oh_kabutowari_speed1,        360,          0,          0, 
64 : arts_skill_oh_oh_kabutowari_speed2,        361,          0,          0, 
65 : arts_skill_oh_oh_kabutowari_power1,        362,          0,          0, 
66 : arts_skill_oh_oh_kabutowari_power2,        363,          0,          0, 
67 : arts_skill_oh_oh_ketugeka_base,        364,          0,          0, 
68 : arts_skill_oh_oh_ketugeka_speed1,        365,          0,          0, 
69 : arts_skill_oh_oh_ketugeka_speed2,        366,          0,          0, 
70 : arts_skill_oh_oh_ketugeka_power1,        367,          0,          0, 
71 : arts_skill_oh_oh_ketugeka_power2,        368,          0,          0, 
72 : arts_skill_oh_oh_kousokunabura_base,        369,          0,          0, 
73 : arts_skill_oh_oh_kousokunabura_speed1,        370,          0,          0, 
74 : arts_skill_oh_oh_kousokunabura_speed2,        371,          0,          0, 
75 : arts_skill_oh_oh_kousokunabura_power1,        372,          0,          0, 
76 : arts_skill_oh_oh_kousokunabura_power2,        373,          0,          0, 
77 : arts_skill_oh_oh_makiwari_base,        374,          0,          0, 
78 : arts_skill_oh_oh_makiwari_speed1,        375,          0,          0, 
79 : arts_skill_oh_oh_makiwari_speed2,        376,          0,          0, 
80 : arts_skill_oh_oh_makiwari_power1,        377,          0,          0, 
81 : arts_skill_oh_oh_makiwari_power2,        378,          0,          0, 
82 : arts_skill_oh_oh_hardhit_base,        379,          0,          0, 
83 : arts_skill_oh_oh_hardhit_speed1,        380,          0,          0, 
84 : arts_skill_oh_oh_hardhit_speed2,        381,          0,          0, 
85 : arts_skill_oh_oh_hardhit_power1,        382,          0,          0, 
86 : arts_skill_oh_oh_hardhit_power2,        383,          0,          0, 
87 : arts_skill_oh_oh_kamekourawari_base,        384,          0,          0, 
88 : arts_skill_oh_oh_kamekourawari_speed1,        385,          0,          0, 
89 : arts_skill_oh_oh_kamekourawari_speed2,        386,          0,          0, 
90 : arts_skill_oh_oh_kamekourawari_power1,        387,          0,          0, 
91 : arts_skill_oh_oh_kamekourawari_power2,        388,          0,          0, 
92 : arts_skill_oh_th_smash_base,        389,          0,          0, 
93 : arts_skill_oh_th_smash_speed1,        390,          0,          0, 
94 : arts_skill_oh_th_smash_speed2,        391,          0,          0, 
95 : arts_skill_oh_th_smash_power1,        392,          0,          0, 
96 : arts_skill_oh_th_smash_power2,        393,          0,          0, 
97 : arts_skill_oh_th_crossbreak_base,        394,          0,          0, 
98 : arts_skill_oh_th_crossbreak_speed1,        395,          0,          0, 
99 : arts_skill_oh_th_crossbreak_speed2,        396,          0,          0, 
100 : arts_skill_oh_th_crossbreak_power1,        397,          0,          0, 
101 : arts_skill_oh_th_crossbreak_power2,        398,          0,          0, 
102 : arts_skill_oh_th_switchback_base,        399,          0,          0, 
103 : arts_skill_oh_th_switchback_speed1,        400,          0,          0, 
