           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       1401,          0,          0, 
 1 : conf_city_dummy,       1402,          0,          0, 
 2 :   WorldMap,       1403,          0,          0, 
 3 :   ASC_0101,       1404,          0,          0, 
 4 :   ASC_0102,       1405,          0,          0, 
 5 :   ASC_0103,       1406,          0,          0, 
 6 :   ASC_05TH,       1407,          0,          0, 
 7 :   BAR_0101,       1408,          0,          0, 
 8 :   BAR_05TH,       1409,          0,          0, 
 9 :   CPC_0101,       1410,          0,          0, 
10 :   CPC_0102,       1411,          0,          0, 
11 :   CPC_05TH,       1412,          0,          0, 
12 :   ERC_0101,       1413,          0,          0, 
13 :   ERC_0102,       1414,          0,          0, 
14 :   ERC_0103,       1415,          0,          0, 
15 :   ERC_0104,       1416,          0,          0, 
16 :   GOL_0101,       1417,          0,          0, 
17 :   GOL_05TH,       1418,          0,          0, 
18 :   MEL_0101,       1419,          0,          0, 
19 :   MEL_05TH,       1420,          0,          0, 
20 :   NGP_0101,       1421,          0,          0, 
21 :   NGP_0102,       1422,          0,          0, 
22 :   NGP_0103,       1423,          0,          0, 
23 :   NGP_05TH,       1424,          0,          0, 
24 :   RIO_0101,       1425,          0,          0, 
25 :   RIO_05TH,       1426,          0,          0, 
26 :   UNB_0101,       1427,          0,          0, 
27 :   UNB_0102,       1428,          0,          0, 
28 :   UNB_05TH,       1429,          0,          0, 
29 :   VAL_0101,       1430,          0,          0, 
30 :   VAL_0102,       1431,          0,          0, 
31 :   VAL_05TH,       1432,          0,          0, 
32 :   UMD_0000,       1433,          0,          0, 
33 :   BHK_0000,       1434,          0,          0, 
34 :   NWD_0000,       1435,          0,          0, 

