           km_,      km_id, 
       sSlabel,    eUSHORT, 
 0 :        All,          0, 
 1 :   All_Rare,          1, 
 2 :    soldier,          2, 
 3 :       haou,          3, 
 4 : mons_breed_type_001,        100, 
 5 : mons_breed_type_001_001,        101, 
 6 : mons_breed_type_001_002,        102, 
 7 : mons_breed_type_001_003,        103, 
 8 : mons_breed_type_001_004,        104, 
 9 : mons_breed_type_001_005,        105, 
10 : mons_breed_type_001_006,        106, 
11 : mons_breed_type_001_NM_001,        107, 
12 : mons_breed_type_001_NM_002,        108, 
13 : mons_breed_type_001_NM_003,        109, 
14 : mons_breed_type_001_NM_004,        110, 
15 : mons_breed_type_001_NM_005,        111, 
16 : mons_breed_type_001_NM_006,        112, 
17 : mons_breed_type_001_NM_007,        113, 
18 : mons_breed_type_001_NM_008,        114, 
19 : mons_breed_type_002,        200, 
20 : mons_breed_type_002_001,        201, 
21 : mons_breed_type_002_002,        202, 
22 : mons_breed_type_002_003,        203, 
23 : mons_breed_type_002_NM_001,        204, 
24 : mons_breed_type_002_NM_002,        205, 
25 : mons_breed_type_002_NM_003,        206, 
26 : mons_breed_type_002_NM_004,        207, 
27 : mons_breed_type_002_NM_005,        208, 
28 : mons_breed_type_002_NM_006,        209, 
29 : mons_breed_type_002_NM_007,        210, 
30 : mons_breed_type_002_NM_008,        211, 
31 : mons_breed_type_003,        300, 
32 : mons_breed_type_003_001,        301, 
33 : mons_breed_type_003_002,        302, 
34 : mons_breed_type_003_003,        303, 
35 : mons_breed_type_003_004,        304, 
36 : mons_breed_type_003_NM_001,        305, 
37 : mons_breed_type_003_NM_002,        306, 
38 : mons_breed_type_003_NM_003,        307, 
39 : mons_breed_type_003_NM_004,        308, 
40 : mons_breed_type_003_NM_005,        309, 
41 : mons_breed_type_003_NM_006,        310, 
42 : mons_breed_type_003_NM_007,        311, 
43 : mons_breed_type_003_NM_008,        312, 
44 : mons_breed_type_004,        400, 
45 : mons_breed_type_004_001,        401, 
46 : mons_breed_type_004_002,        402, 
47 : mons_breed_type_004_003,        403, 
48 : mons_breed_type_004_004,        404, 
49 : mons_breed_type_004_NM_001,        405, 
50 : mons_breed_type_004_NM_002,        406, 
51 : mons_breed_type_004_NM_003,        407, 
52 : mons_breed_type_004_NM_004,        408, 
53 : mons_breed_type_004_NM_005,        409, 
54 : mons_breed_type_004_NM_006,        410, 
55 : mons_breed_type_004_NM_007,        411, 
56 : mons_breed_type_004_NM_008,        412, 
57 : mons_breed_type_005,        500, 
58 : mons_breed_type_005_001,        501, 
59 : mons_breed_type_005_002,        502, 
60 : mons_breed_type_005_003,        503, 
61 : mons_breed_type_005_004,        504, 
62 : mons_breed_type_005_005,        505, 
63 : mons_breed_type_005_NM_001,        506, 
64 : mons_breed_type_005_NM_002,        507, 
65 : mons_breed_type_005_NM_003,        508, 
66 : mons_breed_type_005_NM_004,        509, 
67 : mons_breed_type_005_NM_005,        510, 
68 : mons_breed_type_005_NM_006,        511, 
69 : mons_breed_type_005_NM_007,        512, 
70 : mons_breed_type_005_NM_008,        513, 
71 : mons_breed_type_006,        600, 
72 : mons_breed_type_006_001,        601, 
73 : mons_breed_type_006_002,        602, 
74 : mons_breed_type_006_003,        603, 
75 : mons_breed_type_006_NM_001,        604, 
76 : mons_breed_type_006_NM_002,        605, 
77 : mons_breed_type_006_NM_003,        606, 
78 : mons_breed_type_006_NM_004,        607, 
79 : mons_breed_type_006_NM_005,        608, 
80 : mons_breed_type_006_NM_006,        609, 
81 : mons_breed_type_006_NM_007,        610, 
82 : mons_breed_type_006_NM_008,        611, 
83 : mons_breed_type_007,        700, 
84 : mons_breed_type_007_001,        701, 
85 : mons_breed_type_007_002,        702, 
86 : mons_breed_type_007_003,        703, 
87 : mons_breed_type_007_004,        704, 
88 : mons_breed_type_007_NM_001,        705, 
89 : mons_breed_type_007_NM_002,        706, 
90 : mons_breed_type_007_NM_003,        707, 
91 : mons_breed_type_007_NM_004,        708, 
92 : mons_breed_type_007_NM_005,        709, 
93 : mons_breed_type_007_NM_006,        710, 
94 : mons_breed_type_007_NM_007,        711, 
95 : mons_breed_type_007_NM_008,        712, 
96 : mons_breed_type_008,        800, 
97 : mons_breed_type_008_001,        801, 
98 : mons_breed_type_008_002,        802, 
99 : mons_breed_type_008_003,        803, 
100 : mons_breed_type_008_NM_001,        804, 
101 : mons_breed_type_008_NM_002,        805, 
102 : mons_breed_type_008_NM_003,        806, 
103 : mons_breed_type_008_NM_004,        807, 
104 : mons_breed_type_008_NM_005,        808, 
105 : mons_breed_type_008_NM_006,        809, 
106 : mons_breed_type_008_NM_007,        810, 
107 : mons_breed_type_008_NM_008,        811, 
108 : mons_breed_type_009,        900, 
109 : mons_breed_type_009_001,        901, 
110 : mons_breed_type_009_002,        902, 
111 : mons_breed_type_009_003,        903, 
112 : mons_breed_type_009_004,        904, 
113 : mons_breed_type_009_NM_001,        905, 
114 : mons_breed_type_009_NM_002,        906, 
115 : mons_breed_type_009_NM_003,        907, 
116 : mons_breed_type_009_NM_004,        908, 
117 : mons_breed_type_009_NM_005,        909, 
118 : mons_breed_type_009_NM_006,        910, 
119 : mons_breed_type_009_NM_007,        911, 
120 : mons_breed_type_009_NM_008,        912, 
121 : mons_breed_type_010,       1000, 
122 : mons_breed_type_010_001,       1001, 
123 : mons_breed_type_010_002,       1002, 
124 : mons_breed_type_010_003,       1003, 
125 : mons_breed_type_010_NM_001,       1004, 
126 : mons_breed_type_010_NM_002,       1005, 
127 : mons_breed_type_010_NM_003,       1006, 
128 : mons_breed_type_010_NM_004,       1007, 
129 : mons_breed_type_010_NM_005,       1008, 
130 : mons_breed_type_010_NM_006,       1009, 
131 : mons_breed_type_010_NM_007,       1010, 
