           km_,     km_exp, km_critical,    km_miss, 
       sSlabel,     eUCHAR,    eSSHORT,    eSSHORT, 
 0 : HP_EXP_hp_dec,          1,         -1,         -1, 
 1 : HP_EXP_str_growth,          5,         -1,         -1, 
 2 : HP_EXP_btl_alive,         10,         -1,         -1, 
 3 : AP_EXP_ap_dec,          1,         -1,         -1, 
 4 : AP_EXP_mys_growth,          5,         -1,         -1, 
 5 : AP_EXP_btl_alive,         10,         -1,         -1, 
 6 : STR_EXP_arts,          2,      10000,      10000, 
 7 : STR_EXP_attack,          0,      10000,      10000, 
 8 : STR_EXP_ready,          4,         -1,         -1, 
 9 : STR_EXP_btl_alive,         10,         -1,         -1, 
10 : MYS_EXP_magic,          2,      10000,      10000, 
11 : MYS_EXP_ready,          4,         -1,         -1, 
12 : MYS_EXP_btl_alive,         10,         -1,         -1, 
13 : SPD_EXP_ct_success,          2,         -1,         -1, 
14 : SPD_EXP_ct_failed,          1,         -1,         -1, 
15 : SPD_EXP_action,          2,      10000,      10000, 
16 : SPD_EXP_action_ready,          4,         -1,         -1, 
17 : SPD_EXP_btl_alive,         10,         -1,         -1, 
18 : UNQ_EXP_action,          1,      10000,      10000, 
19 : UNQ_EXP_action_ready,          4,         -1,         -1, 
20 : UNQ_EXP_btl_alive,         10,         -1,         -1, 
21 : EQ_EXP_weapon,          6,      10000,      10000, 
22 : EQ_EXP_weapon_ready,          9,         -1,         -1, 
23 : EQ_EXP_shield,          6,         -1,         -1, 
24 : EQ_EXP_shield_ready,          9,         -1,         -1, 

