           km_, km_cue_id_main, km_cue_id_sub, km_script_id, km_play_odds, km_lock_id, km_type_org, km_type_insert, km_play_only1, km_cue_ctrl_11, km_cue_ctrl_12, km_cue_ctrl_13, km_cue_ctrl_14, km_cue_ctrl_15, km_cue_ctrl_16, km_cue_ctrl_17, km_cue_ctrl_18, km_cue_ctrl_21, km_cue_ctrl_22, km_cue_ctrl_23, km_cue_ctrl_24, km_cue_ctrl_25, km_cue_ctrl_26, km_cue_ctrl_27, km_cue_ctrl_28, km_cue_ctrl_31, km_cue_ctrl_32, km_cue_ctrl_33, km_cue_ctrl_34, km_cue_ctrl_35, km_cue_ctrl_36, km_cue_ctrl_37, km_cue_ctrl_38, 
       sSlabel,     eUCHAR,     eSCHAR,     eUCHAR,     eUCHAR,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 :      Dummy,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 1 : normal_attack_kakegoe,          1,          1,          1,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          7,          8,          9,          0,          0,          0,          0, 
 2 : normal_attack_kakegoe,          1,          2,          2,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          7,          8,          9,          0,          0,          0,          0, 
 3 : normal_attack_kakegoe,          1,          3,          3,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          7,          8,          9,          0,          0,          0,          0, 
 4 : normal_attack_kakegoe,          1,          4,          4,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          7,          8,          9,          0,          0,          0,          0, 
 5 : normal_attack_kakegoe,          1,          5,          5,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          7,          8,          9,          0,          0,          0,          0, 
 6 : magic_attack_kakegoe,          2,          1,          6,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          7,          8,          9,          0,          0,          0,          0, 
 7 : magic_attack_kakegoe,          2,          2,          7,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          7,          8,          9,          0,          0,          0,          0, 
 8 : magic_attack_kakegoe,          2,          3,          8,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          7,          8,          9,          0,          0,          0,          0, 
 9 : magic_attack_kakegoe,          2,          4,          9,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          7,          8,          9,          0,          0,          0,          0, 
10 : magic_attack_kakegoe,          2,          5,         10,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          7,          8,          9,          0,          0,          0,          0, 
11 : critlcal_attack_kakegoe,          3,          1,         11,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          7,          8,          9,          0,          0,          0,          0, 
12 : critlcal_attack_kakegoe,          3,          2,         12,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          7,          8,          9,          0,          0,          0,          0, 
13 : critlcal_attack_kakegoe,          3,          3,         13,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          7,          8,          9,          0,          0,          0,          0, 
14 : attack_affection_cheap,          4,         -1,         14,        100,          2,          1,          0,          0,          1,          2,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
