           km_, km_mons_unique1, km_mons_unique2, km_mons_unique3, km_mons_unique4, km_mons_breed1, km_mons_breed2, km_mons_breed3, km_mons_breed4,    km_pc_1,    km_pc_2,    km_pc_3,    km_pc_4,    km_pc_5,    km_pc_6,    km_pc_7,   km_act_1,   km_act_2, 
       sSlabel,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT, 
 0 : rush_sykes_s,         -1,         -1,         -1,         -1,         18,         -1,         -1,         -1,        293,          1,          5,          2,          3,          4,        162,        172,         -1, 
 1 : irina_sykes_s,       1943,       1916,         -1,         -1,         32,         35,         -1,         -1,          0,          1,          5,          2,          3,          4,        162,        168,         -1, 
 2 : david_nassau_s,       1943,       1916,         -1,         -1,         26,         39,         43,         -1,          0,          5,          2,          3,          4,        162,        293,        164,         -1, 
 3 : emma_honeywell_s,       1943,       1916,         -1,         -1,         42,         -1,         -1,         -1,          1,          0,          5,          3,          4,         -1,         -1,        173,         -1, 
 4 :       emmy,       1943,       1916,         -1,         -1,         42,         -1,         -1,         -1,          1,          0,          5,          3,          4,        293,         -1,        173,         -1, 
 5 :    plocter,         -1,         -1,         -1,         -1,         30,         31,         33,         34,          1,          0,          5,          2,          4,        162,        293,        159,         -1, 
 6 :      pagus,       1941,       1943,         -1,         -1,         31,         39,         43,         -1,          1,          0,          5,          2,          3,        162,        293,        171,         -1, 
 7 :     torgal,       1941,       1943,         -1,         -1,         42,         46,         -1,         -1,          1,          0,          2,          3,          4,        162,        293,        165,         -1, 
 8 : duke_of_ghor,       1941,       1943,       1916,         -1,         18,         -1,         -1,         -1,          1,         -1,         -1,         -1,         -1,         -1,         -1,        161,         -1, 
 9 :     haruko,         -1,         -1,         -1,         -1,         21,         34,         35,         42,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
10 :      jager,       1919,       1918,       1916,         -1,         42,         43,         -1,         -1,        293,         -1,         -1,         -1,         -1,         -1,         -1,        174,         -1, 
11 : btl_pc_gabriel,       1927,       1931,       1918,         -1,         34,         46,         -1,         -1,        293,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
12 : btl_pc_jorgen,         -1,         -1,         -1,         -1,          0,          1,          2,          3,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
13 : btl_pc_roberto,       1943,       1916,         -1,         -1,         43,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
14 : btl_pc_loki,       1919,       1918,         -1,         -1,          0,          1,          2,          3,        293,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
15 : btl_pc_paris,         -1,         -1,         -1,         -1,         40,         41,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
16 : btl_pc_rhagoh,         -1,         -1,         -1,         -1,         32,         -1,         -1,         -1,        226,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
17 : btl_pc_glenys,         -1,         -1,         -1,         -1,         37,         38,         39,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
18 : btl_pc_violet,         -1,         -1,         -1,         -1,         23,         -1,         -1,         -1,         71,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
19 : btl_pc_nora,         -1,         -1,         -1,         -1,          0,          1,          2,          3,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
20 : btl_pc_khrynia,         -1,         -1,         -1,         -1,         36,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
21 : btl_pc_kate,         -1,         -1,         -1,         -1,         40,         41,         -1,         -1,        132,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
22 : btl_pc_sheryl,       1937,       1938,       1939,         -1,          0,          1,          2,          3,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
23 : btl_pc_baulson,       1925,         -1,         -1,         -1,         29,         28,         30,         45,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
