           km_, km_lock_id, km_lock_num, 
       sSlabel,     eUCHAR,     eUCHAR, 
 0 :      Dummy,          0,          0, 
 1 :  voice_001,          1,          8, 
 2 :  voice_002,          2,          8, 
 3 :  voice_003,          3,          8, 
 4 :  voice_004,          4,          8, 
 5 :  voice_005,          5,          8, 
 6 :  voice_006,          6,          8, 
 7 :  voice_007,          7,          8, 
 8 :  voice_008,          8,          8, 
 9 :  voice_009,          9,          8, 
10 :  voice_010,         10,          8, 
11 :  voice_011,         11,          8, 
12 :  voice_012,         12,          8, 
13 :  voice_013,         13,          8, 
14 :  voice_014,         14,          8, 
15 :  voice_015,         15,          8, 
16 :  voice_016,         16,          8, 
17 :  voice_017,         17,          8, 
18 :  voice_018,         18,          8, 
19 :  voice_019,         19,          8, 
20 :  voice_020,         20,          8, 
21 :  voice_021,         21,          8, 
22 :  voice_022,         22,          8, 
23 :  voice_023,         23,          8, 
24 :  voice_024,         24,          8, 
25 :  voice_025,         25,          8, 
26 :  voice_026,         26,          8, 
27 :  voice_027,         27,          8, 
28 :  voice_028,         28,          8, 
29 :  voice_029,         29,          8, 
30 :  voice_030,         30,          8, 
31 :  voice_031,         31,          8, 
32 :  voice_032,         32,          8, 
33 :  voice_033,         33,          8, 
34 :  voice_034,         34,          8, 
35 :  voice_035,         35,          8, 
36 :  voice_036,         36,          8, 
37 :  voice_037,         37,          8, 
38 :  voice_038,         38,          8, 
39 :  voice_039,         39,          8, 
40 :  voice_040,         40,          8, 
41 :  voice_041,         41,          8, 
42 :  voice_042,         42,          8, 
43 :  voice_043,         43,          8, 
44 :  voice_044,         44,          8, 
45 :  voice_045,         45,          8, 
46 :  voice_046,         46,          8, 
47 :  voice_047,         47,          8, 
48 :  voice_048,         48,          8, 
49 :  voice_049,         49,          8, 
50 :  voice_050,         50,        255, 
51 :  voice_051,         51,          8, 
52 :  voice_052,         52,          8, 
53 :  voice_053,         53,          8, 
54 :  voice_054,         54,          8, 
55 :  voice_055,         55,          8, 
56 :  voice_056,         56,          8, 
57 :  voice_057,         57,          8, 
58 :  voice_058,         58,          8, 
59 :  voice_059,         59,          8, 
60 :  voice_060,         60,          8, 
61 :  voice_061,         61,          8, 
62 :  voice_062,         62,          8, 
63 :  voice_063,         63,          8, 
64 :  voice_064,         64,          8, 
65 :  voice_065,         65,          8, 
66 :  voice_066,         66,          8, 
67 :  voice_067,         67,          8, 
68 :  voice_068,         68,          8, 
69 :  voice_069,         69,          8, 
70 :  voice_070,         70,        255, 
71 :  voice_071,         71,          8, 
72 :  voice_072,         72,          8, 
73 :  voice_073,         73,          8, 
74 :  voice_074,         74,          8, 
75 :  voice_075,         75,          8, 
76 :  voice_076,         76,          8, 
77 :  voice_077,         77,          8, 
78 :  voice_078,         78,          8, 
79 :  voice_079,         79,          8, 
80 :  voice_080,         80,          8, 
81 :  voice_081,         81,          8, 
82 :  voice_082,         82,          8, 
83 :  voice_083,         83,          8, 
84 :  voice_084,         84,          8, 
85 :  voice_085,         85,          8, 
86 :  voice_086,         86,          8, 
87 :  voice_087,         87,          8, 
88 :  voice_088,         88,          8, 
89 :  voice_089,         89,          8, 
90 :  voice_090,         90,          8, 
91 :  voice_091,         91,          8, 
92 :  voice_092,         92,          8, 
93 :  voice_093,         93,          8, 
94 :  voice_094,         94,          8, 
95 :  voice_095,         95,          8, 
96 :  voice_096,         96,          8, 
97 :  voice_097,         97,          8, 
98 :  voice_098,         98,          8, 
99 :  voice_099,         99,          8, 
100 :      Voice,        100,          8, 
101 :      Voice,        101,          8, 
102 :      Voice,        102,          8, 
103 :      Voice,        103,          8, 
104 :      Voice,        104,          8, 
105 :      Voice,        105,          8, 
106 :      Voice,        106,          8, 
107 :      Voice,        107,          8, 
108 :      Voice,        108,          8, 
109 :      Voice,        109,          8, 
110 :      Voice,        110,          8, 
111 :      Voice,        111,          8, 
112 :      Voice,        112,          8, 
113 :      Voice,        113,          8, 
114 :      Voice,        114,          8, 
115 :      Voice,        115,          8, 
116 :      Voice,        116,          8, 
117 :      Voice,        117,          8, 
118 :      Voice,        118,          8, 
119 :      Voice,        119,          8, 
120 :      Voice,        120,          8, 
121 :      Voice,        121,          8, 
122 :      Voice,        122,          8, 
123 :      Voice,        123,          8, 
124 :      Voice,        124,          8, 
125 :      Voice,        125,          8, 
126 :      Voice,        126,          8, 
127 :      Voice,        127,          8, 

