           km_, km_button_x, km_button_y, km_button_b, km_button_a, km_button_rt, 
       sSlabel,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 :    sword_S,          1,          0,          0,          1,          0, 
 1 :    sword_M,          1,          0,          0,          1,          0, 
 2 :    sword_L,          1,          0,          0,          1,          0, 
 3 :   sword_LL,          1,          0,          0,          1,          0, 
 4 :   katana_S,          0,          0,          1,          1,          0, 
 5 :   katana_M,          0,          0,          1,          1,          0, 
 6 :   katana_L,          0,          0,          1,          1,          0, 
 7 :  katana_LL,          0,          0,          1,          1,          0, 
 8 :      axe_S,          0,          1,          0,          0,          1, 
 9 :      axe_M,          0,          1,          0,          0,          1, 
10 :      axe_L,          0,          1,          0,          0,          1, 
11 :     axe_LL,          0,          1,          0,          0,          1, 
12 :     mace_S,          0,          0,          1,          0,          1, 
13 :     mace_M,          0,          0,          1,          0,          1, 
14 :     mace_L,          0,          0,          1,          0,          1, 
15 :    mace_LL,          0,          0,          1,          0,          1, 
16 :    spear_S,          1,          0,          0,          1,          0, 
17 :    spear_M,          1,          0,          0,          1,          0, 
18 :    spear_L,          1,          0,          0,          1,          0, 
19 :   spear_LL,          1,          0,          0,          1,          0, 
20 :    staff_S,          1,          1,          0,          0,          0, 
21 :    staff_M,          1,          1,          0,          0,          0, 
22 :    staff_L,          1,          1,          0,          0,          0, 
23 :   staff_LL,          1,          1,          0,          0,          0, 
24 :   shield_S,          1,          1,          1,          1,          1, 
25 :   shield_M,          1,          1,          1,          1,          1, 
26 :   shield_L,          1,          1,          1,          1,          1, 
27 :  shield_LL,          1,          1,          1,          1,          1, 

