           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       1436,          0,          0, 
 1 :       sude,       1437,          0,          0, 
 2 : sword_m_WMA030_custom,       1438,          0,          0, 
 3 : sword_m_WMA040_custom,       1439,          0,          0, 
 4 : Leraje_0_custom,       1440,          0,          0, 
 5 : remnant_axe____WXC030_bilqis,       1441,          0,          0, 
 6 : remnant_lance__WME040_schiavona,       1442,          0,          0, 
 7 : remnant_sword__WLA060_koorinoken,       1443,          0,          0, 
 8 : remnant_sword__WXA030_obushidan,       1444,          0,          0, 
 9 : remnant_katana_WMB040_gekabijin,       1445,          0,          0, 
10 : remnant_hammer_WMD040_daidaros,       1446,          0,          0, 
11 : remnant_lance__WLE050_maristosk,       1447,          0,          0, 
12 : remnant_staff__WSF040_ribathi_staff,       1448,          0,          0, 
13 : remnant_accessory_wonder_bangle,       1449,          0,          0, 
14 : remnant_accessory_rubber_soul,       1450,          0,          0, 
15 : remnant_accessory_dead_heart,       1451,          0,          0, 
16 : remnant_accessory_ria_fall,       1452,          0,          0, 
17 : remnant_accessory_bunshin_remnant,       1453,          0,          0, 
18 : remnant_accessory_shirma_rurion,       1454,          0,          0, 
19 : remnant_accessory_blood_challis,       1455,          0,          0, 
20 : remnant_accessory_heartache,       1456,          0,          0, 
21 : remnant_axe____WXC030_bilqis________kai,       1457,          0,          0, 
22 : remnant_axe____WXC030_bilqis________shin,       1458,          0,          0, 
23 : remnant_lance__WME040_schiavona_____kai,       1459,          0,          0, 
24 : remnant_lance__WME040_schiavona_____shin,       1460,          0,          0, 
25 : remnant_sword__WLA060_koorinoken____kai,       1461,          0,          0, 
26 : remnant_sword__WLA060_koorinoken____shin,       1462,          0,          0, 
27 : remnant_sword__WXA030_obushidan_____kai,       1463,          0,          0, 
28 : remnant_sword__WXA030_obushidan_____shin,       1464,          0,          0, 
29 : remnant_katana_WMB040_gekabijin_____kai,       1465,          0,          0, 
30 : remnant_katana_WMB040_gekabijin_____shin,       1466,          0,          0, 
31 : remnant_hammer_WMD040_daidaros______kai,       1467,          0,          0, 
32 : remnant_hammer_WMD040_daidaros______shin,       1468,          0,          0, 
33 : remnant_lance__WLE050_maristosk_____kai,       1469,          0,          0, 
34 : remnant_lance__WLE050_maristosk_____shin,       1470,          0,          0, 
35 : remnant_staff__WSF040_ribathi_staff_kai,       1471,          0,          0, 
36 : remnant_staff__WSF040_ribathi_staff_shin,       1472,          0,          0, 
37 : remnant_mons_sword_WLA050,       1473,          0,          0, 
38 : ancientry_sword_WMA070,       1474,          0,          0, 
39 : ancientry_katana_WXB020,       1475,          0,          0, 
40 : ancientry_axe_WSC030,       1476,          0,          0, 
41 : ancientry_hammer_WLD050,       1477,          0,          0, 
42 : ancientry_lance_WSE030,       1478,          0,          0, 
43 : ancientry_staff_WMF050,       1479,          0,          0, 
44 : ancientry_shield_WMG040,       1480,          0,          0, 
45 : ancientry_accessories_01,       1481,          0,          0, 
46 : ancientry_accessories_02,       1482,          0,          0, 
47 : ancientry_accessories_03,       1483,          0,          0, 
48 : QE0130_E_000,       1484,          0,          0, 
49 : QE0470_E_002,       1485,          0,          0, 
50 : QEOTHR_E_000,       1486,          0,          0, 
51 : CPFBTL_E_000,       1487,          0,          0, 
52 : QE0470_E_000,       1488,          0,          0, 
53 : event_eq_accessory_001,       1489,          0,          0, 
54 : event_eq_accessory_002,       1490,          0,          0, 
55 : event_eq_accessory_003,       1491,          0,          0, 
56 : sword_s_WSA010_normal,       1492,          0,          0, 
57 : sword_s_WSA010_battle,       1493,          0,          0, 
58 : sword_s_WSA010_warriors,       1494,          0,          0, 
59 : sword_s_WSA010_brave,       1495,          0,          0, 
60 : sword_s_WSA010_elite,       1496,          0,          0, 
61 : sword_s_WSA010_champion,       1497,          0,          0, 
62 : sword_s_WSA010_warload,       1498,          0,          0, 
63 : sword_s_WSA010_divine,       1499,          0,          0, 
64 : sword_s_WSA010_dragon,       1500,          0,          0, 
65 : sword_s_WSA010_crystal,       1501,          0,          0, 
66 : sword_s_WSA010_damascus,       1502,          0,          0, 
67 : sword_s_WSA010_antique,       1503,          0,          0, 
68 : sword_s_WSA020_normal,       1504,          0,          0, 
69 : sword_s_WSA020_quality,       1505,          0,          0, 
70 : sword_s_WSA020_fine,       1506,          0,          0, 
71 : sword_s_WSA020_power,       1507,          0,          0, 
72 : sword_s_WSA020_magic,       1508,          0,          0, 
73 : sword_s_WSA020_antique,       1509,          0,          0, 
74 : sword_s_WSA030_normal,       1510,          0,          0, 
75 : sword_s_WSA030_quality,       1511,          0,          0, 
76 : sword_s_WSA030_fine,       1512,          0,          0, 
77 : sword_s_WSA030_fire,       1513,          0,          0, 
78 : sword_s_WSA030_thunder,       1514,          0,          0, 
79 : sword_s_WSA030_ice,       1515,          0,          0, 
80 : sword_s_WSA030_acid,       1516,          0,          0, 
81 : sword_s_WSA030_poison,       1517,          0,          0, 
82 : sword_s_WSA030_defense,       1518,          0,          0, 
83 : sword_s_WSA030_reflect,       1519,          0,          0, 
84 : sword_s_WSA030_antique,       1520,          0,          0, 
85 : sword_s_uniq_01,       1521,          0,          0, 
86 : sword_s_uniq_02,       1522,          0,          0, 
87 : sword_s_uniq_03,       1523,          0,          0, 
88 : sword_s_uniq_04,       1524,          0,          0, 
89 : sword_s_uniq_05,       1525,          0,          0, 
90 : sword_s_uniq_06,       1526,          0,          0, 
91 : sword_s_uniq_07,       1527,          0,          0, 
92 : sword_s_uniq_08,       1528,          0,          0, 
93 : sword_s_uniq_09,       1529,          0,          0, 
94 : sword_s_uniq,       1530,          0,          0, 
95 : sword_s_uniq,       1531,          0,          0, 
96 : sword_s_uniq,       1532,          0,          0, 
97 : sword_s_uniq,       1533,          0,          0, 
98 : sword_s_uniq,       1534,          0,          0, 
99 : sword_s_uniq,       1535,          0,          0, 
100 : sword_m_WMA010_normal,       1536,          0,          0, 
101 : sword_m_WMA010_battle,       1537,          0,          0, 
102 : sword_m_WMA010_warriors,       1538,          0,          0, 
103 : sword_m_WMA010_brave,       1539,          0,          0, 
104 : sword_m_WMA010_elite,       1540,          0,          0, 
105 : sword_m_WMA010_champion,       1541,          0,          0, 
106 : sword_m_WMA010_warload,       1542,          0,          0, 
107 : sword_m_WMA010_divine,       1543,          0,          0, 
108 : sword_m_WMA010_dragon,       1544,          0,          0, 
109 : sword_m_WMA010_crystal,       1545,          0,          0, 
110 : sword_m_WMA010_damascus,       1546,          0,          0, 
111 : sword_m_WMA010_antique,       1547,          0,          0, 
112 : sword_m_WMA020_normal,       1548,          0,          0, 
113 : sword_m_WMA020_battle,       1549,          0,          0, 
114 : sword_m_WMA020_warriors,       1550,          0,          0, 
115 : sword_m_WMA020_brave,       1551,          0,          0, 
116 : sword_m_WMA020_elite,       1552,          0,          0, 
117 : sword_m_WMA020_champion,       1553,          0,          0, 
118 : sword_m_WMA020_warload,       1554,          0,          0, 
119 : sword_m_WMA020_divine,       1555,          0,          0, 
120 : sword_m_WMA020_dragon,       1556,          0,          0, 
121 : sword_m_WMA020_crystal,       1557,          0,          0, 
122 : sword_m_WMA020_damascus,       1558,          0,          0, 
123 : sword_m_WMA020_antique,       1559,          0,          0, 
