           km_, km_StrNo_eff_pkgname, km_now_move, km_after_modeloff, km_after_workoff, 
       sSlabel,    eString,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 : mons1_cesser,      61405,          1,          1,          1, 
 1 : boss_cesser,      61406,          1,          1,          1, 
 2 : boss_remain,      61407,          1,          0,          1, 
 3 : boss_cesser,      61408,          1,          1,          1, 
 4 : ex_cesser_castanea,      61409,          1,          1,          1, 
 5 : ex_remain_castanea,      61410,          1,          0,          1, 
 6 : ex_cesser_roeas,      61411,          1,          1,          1, 
 7 : ex_remain_roeas,      61412,          1,          0,          1, 
 8 : ex_cesser_gatesofhell,      61413,          1,          1,          1, 
 9 : ex_cesser_mma,      61414,          1,          1,          1, 
10 : ex_cesser_mmb,      61415,          1,          1,          1, 
11 : ex_cesser_mmc,      61416,          1,          1,          1, 
12 : ex_cesser_cyclops,      61417,          1,          1,          1, 
13 : ex_cesser_lobomen_aerial,      61418,          1,          1,          1, 
14 : ex_remain_lobomen_aerial,      61419,          1,          0,          1, 
15 : ex_cesser_lobomen_earth,      61420,          1,          1,          1, 
16 : ex_remain_lobomen_earth,      61421,          1,          0,          1, 
17 : ex_cesser_lobomen_earth2,      61422,          1,          1,          1, 
18 : ex_remain_lobomen_earth2,      61423,          1,          0,          1, 
19 : ex_cesser_namulniram,      61424,          1,          1,          1, 
20 : ex_remain_namulniram,      61425,          1,          0,          1, 
21 : ex_remain_wilfred,      61426,          1,          0,          1, 
22 : ex_remain_jager,      61427,          1,          0,          1, 
23 : ex_cesser_snievan,      61428,          1,          1,          1, 
24 : ex_cesser_zuido,      61429,          1,          1,          1, 
25 : ex_cesser_ludope,      61430,          1,          1,          1, 
26 : ex_cesser_hannah,      61431,          1,          1,          1, 
27 : ex_cesser_milton,      61432,          1,          1,          1, 
28 : ex_cesser_hinnah,      61433,          1,          1,          1, 
29 : ex_cesser_young,      61434,          1,          1,          1, 
30 : ex_cesser_god,      61435,          1,          1,          1, 
31 : normal_remain,      61436,          0,          0,          1, 
32 : normal_cesser,      61437,          0,          1,          1, 
33 : normal_cesser,      61438,          1,          1,          1, 

