           km_, km_StrNo_effect_pkgname, 
       sSlabel,    eString, 
 0 : weapon_fire,      62067, 
 1 : weapon_thunder,      62068, 
 2 : weapon_ice,      62069, 
 3 : weapon_acid,      62070, 
 4 : weapon_poison,      62071, 
 5 : weapon_aura00,      62072, 
 6 : weapon_aura01,      62073, 
 7 : weapon_aura02,      62074, 
 8 : weapon_aura03,      62075, 
 9 : weapon_aura04,      62076, 
10 : shield_fire,      62077, 
11 : shield_thunder,      62078, 
12 : shield_ice,      62079, 
13 : shield_acid,      62080, 
14 : shield_poison,      62081, 
15 : shield_aura00,      62082, 
16 : shield_aura01,      62083, 
17 : shield_aura02,      62084, 
18 : shield_aura03,      62085, 
19 : shield_aura04,      62086, 
20 :     WSA020,      62087, 
21 :     WLA040,      62088, 
22 :     WSF020,      62089, 
23 :     WSF030,      62090, 
24 :     WMG030,      62091, 
25 :     WXG020,      62092, 

