           km_, km_StrNo_sound_pkgname, 
       sSlabel,    eString, 
 0 : normal_field,      62093, 
 1 : normal_dungeon,      62094, 
 2 : morale_good,      62095, 
 3 : morale_bad,      62096, 
 4 : morale_good,      62097, 
 5 : morale_bad,      62098, 
 6 : boss_multi,      62099, 
 7 : boss_normal,      62100, 
 8 : boss_mgcmonster,      62101, 
 9 : boss_sevens,      62102, 
10 : boss_remnant,      62103, 
11 :  boss_last,      62104, 
12 :  boss_last,      62105, 
13 :    btl_win,      62106, 
14 : btl_gameover,      62107, 

