           km_, km_win_condition, 
       sSlabel,    eSSHORT, 
 0 : EV0170_001_BTL,          0, 
 1 : EV0210_001_BTL,          1, 
 2 : EV0250_001_BTL,          2, 
 3 : EV0310_001_BTL,          3, 
 4 : EV0330_001_BTL,          4, 
 5 : EV0610_001_BTL,          5, 
 6 : EV0720_001_BTL,          6, 
 7 : EV0800_001_BTL,          7, 
 8 : EV0830_001_BTL,          8, 
 9 : EV0870_001_BTL,          9, 
10 : EV1150_001_BTL,         10, 
11 : EV1155_001_BTL,         11, 
12 : EV1170_001_BTL,         12, 
13 : EV1175_001_BTL,         13, 
14 : EV1190_001_BTL,         14, 
15 : EV1195_001_BTL,         15, 
16 : EV1210_001_BTL,         16, 
17 : EV1215_001_BTL,         17, 
18 : EV1230_001_BTL,         18, 
19 : EV1235_001_BTL,         19, 
20 : EV1250_001_BTL,         20, 
21 : EV1255_001_BTL,         21, 
22 : EV1265_001_BTL,         22, 
23 : EV1280_001_BTL,         23, 
24 : EV1330_001_BTL,         24, 
25 : EV1420_001_BTL,         25, 
26 : EV1450_001_BTL,         26, 
27 : EV1490_1_001_BTL,         27, 
28 : EV1490_2_001_BTL,         28, 
29 : EV1490_3_001_BTL,         29, 
30 : EV1490_4_001_BTL,         30, 
31 : EV1490_5_001_BTL,         31, 
32 : EV1490_6_001_BTL,         32, 
33 : EV1490_7_001_BTL,         33, 
34 : EV1490_8_001_BTL,         34, 
35 : QE1060_001_BTL,         35, 
36 : QE0020_001_BTL,         36, 
37 : QE0290_001_BTL,         37, 
38 : QE0030_001_BTL,         38, 
39 : QE0040_001_BTL,         39, 
40 : QE0470_001_BTL,         40, 
41 : QE0530_001_BTL,         41, 
42 : QE0540_001_BTL,         42, 
43 : QE0540_002_BTL,         43, 
44 : QE1050_001_BTL,         44, 
45 : QE1050_002_BTL,         45, 
46 : QE1050_003_BTL,         46, 
47 : QE1050_004_BTL,         47, 
48 : QE1050_005_BTL,         48, 
49 : QE1050_006_BTL,         49, 
50 : QE0450_001_BTL,         50, 
51 : QE1220_001_BTL,         51, 
52 : QE0050_001_BTL,         52, 
53 : QE0070_001_BTL,         53, 
54 : QE0070_002_BTL,         54, 
55 : QE0070_003_BTL,         55, 
56 : QE0240_001_BTL,         56, 
57 : QE0250_001_BTL,         57, 
58 : QE0270_001_BTL,         58, 
59 : QE0270_002_BTL,         59, 
60 : QE0270_003_BTL,         60, 
61 : QE0270_004_BTL,         61, 
62 : QE0310_001_BTL,         62, 
63 : QE0310_002_BTL,         63, 
64 : QE0310_003_BTL,         64, 
65 : QE0320_001_BTL,         65, 
66 : QE0480_001_BTL,         66, 
67 : QE1070_001_BTL,         67, 
68 : QE0080_001_BTL,         68, 
69 : QE0120_001_BTL,         69, 
70 : QE0440_001_BTL,         70, 
71 : QE0090_001_BTL,         71, 
72 : QE1230_001_BTL,         72, 
73 : QE0140_001_BTL,         73, 
74 : QE0190_001_BTL,         74, 
75 : QE0190_002_BTL,         75, 
76 : QE0190_003_BTL,         76, 
77 : QE0190_004_BTL,         77, 
78 : QE0190_005_BTL,         78, 
79 : QE0300_001_BTL,         79, 
80 : QE0300_002_BTL,         80, 
81 : QE0300_003_BTL,         81, 
82 : QE0300_004_BTL,         82, 
83 : QE0330_001_BTL,         83, 
84 : QE0390_001_BTL,         84, 
85 : QE0940_001_BTL,         85, 
86 : QE0060_001_BTL,         86, 
87 : QE0060_002_BTL,         87, 
88 : QE0060_003_BTL,         88, 
89 : QE0060_004_BTL,         89, 
90 : QE0840_001_BTL,         90, 
91 : QE1240_001_BTL,         91, 
92 : QE0150_001_BTL,         92, 
93 : QE0150_002_BTL,         93, 
94 : QE0150_003_BTL,         94, 
95 : QE0150_004_BTL,         95, 
96 : QE0160_001_BTL,         96, 
97 : QE0280_001_BTL,         97, 
98 : QE0350_001_BTL,         98, 
99 : QE0350_002_BTL,         99, 
100 : QE0400_001_BTL,        100, 
101 : QE1210_001_BTL,        101, 
102 : QE0180_001_BTL,        102, 
103 : QE0340_001_BTL,        103, 
104 : QE0340_002_BTL,        104, 
105 : QE0340_003_BTL,        105, 
106 : QE0340_004_BTL,        106, 
107 :      DLC01,        107, 
108 :      DLC02,        108, 
109 :      DLC03,        109, 
110 :      DLC04,        110, 
111 :      DLC05,        111, 
112 :      DLC06,        112, 
113 :      DLC07,        113, 
114 :      DLC08,        114, 
115 :     turn03,        115, 
116 :     kill01,        116, 
117 :     kill02,        117, 
118 : turn03_kill01,        118, 

