           km_,    km_turn,   km_mons1,   km_mons2,   km_mons3,   km_mons4,   km_mons5,   km_mons6,   km_mons7,   km_mons8, km_mes_win, km_mes_lose, km_ctrl_win, km_ctrl_lose, 
       sSlabel,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,     eUCHAR,     eUCHAR, 
 0 : EV0170_001_BTL,         -1,        802,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
 1 : EV0210_001_BTL,         -1,        805,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
 2 : EV0250_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
 3 : EV0310_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
 4 : EV0330_001_BTL,         -1,        838,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
 5 : EV0610_001_BTL,         -1,        852,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
 6 : EV0720_001_BTL,         -1,        853,        854,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
 7 : EV0800_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
 8 : EV0830_001_BTL,         -1,        890,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
 9 : EV0870_001_BTL,         -1,        904,        905,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
10 : EV1150_001_BTL,         -1,        966,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
11 : EV1155_001_BTL,         -1,        974,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
12 : EV1170_001_BTL,         -1,       1036,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
13 : EV1175_001_BTL,         -1,       1043,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
14 : EV1190_001_BTL,         -1,       1111,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
15 : EV1195_001_BTL,         -1,       1118,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
16 : EV1210_001_BTL,         -1,       1184,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
17 : EV1215_001_BTL,         -1,       1194,       1195,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
18 : EV1230_001_BTL,         -1,       1264,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
19 : EV1235_001_BTL,         -1,       1269,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
20 : EV1250_001_BTL,         -1,       1347,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
21 : EV1255_001_BTL,         -1,       1352,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
22 : EV1265_001_BTL,         -1,       1380,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          1, 
23 : EV1280_001_BTL,         -1,       1381,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
24 : EV1330_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
25 : EV1420_001_BTL,         -1,       1471,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
26 : EV1450_001_BTL,         -1,       1478,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
27 : EV1490_1_001_BTL,         -1,       1482,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          1,          0, 
28 : EV1490_2_001_BTL,         -1,       1483,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          1,          0, 
29 : EV1490_3_001_BTL,         -1,       1484,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          1,          0, 
30 : EV1490_4_001_BTL,         -1,       1485,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          1,          0, 
31 : EV1490_5_001_BTL,         -1,       1486,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          1,          0, 
32 : EV1490_6_001_BTL,         -1,       1487,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          1,          0, 
33 : EV1490_7_001_BTL,         -1,       1488,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          1,          0, 
34 : EV1490_8_001_BTL,         -1,       1489,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          1,          0, 
35 : QE1060_001_BTL,         -1,       1497,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
36 : QE0020_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
37 : QE0290_001_BTL,         -1,       1503,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
38 : QE0030_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
39 : QE0040_001_BTL,         -1,       1509,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
40 : QE0470_001_BTL,         -1,       1512,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
41 : QE0530_001_BTL,         -1,       1513,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
42 : QE0540_001_BTL,         -1,       1514,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
43 : QE0540_002_BTL,         -1,       1515,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
44 : QE1050_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
45 : QE1050_002_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
46 : QE1050_003_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
47 : QE1050_004_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
48 : QE1050_005_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
49 : QE1050_006_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
50 : QE0450_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
51 : QE1220_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
52 : QE0050_001_BTL,         -1,       1557,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
53 : QE0070_001_BTL,         -1,       1559,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
54 : QE0070_002_BTL,         -1,       1562,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
55 : QE0070_003_BTL,         -1,       1565,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
56 : QE0240_001_BTL,         -1,       1568,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
57 : QE0250_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
58 : QE0270_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
59 : QE0270_002_BTL,         -1,       1579,       1580,       1581,       1582,       1583,       1584,       1585,       1586,         -1,        376,          0,          0, 
60 : QE0270_003_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
61 : QE0270_004_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
62 : QE0310_001_BTL,         -1,       1601,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
63 : QE0310_002_BTL,         -1,       1604,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
64 : QE0310_003_BTL,         -1,       1607,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
65 : QE0320_001_BTL,         -1,       1610,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
66 : QE0480_001_BTL,         -1,       1611,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
67 : QE1070_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
68 : QE0080_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
69 : QE0120_001_BTL,         -1,       1616,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
70 : QE0440_001_BTL,         -1,       1619,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
71 : QE0090_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
72 : QE1230_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
73 : QE0140_001_BTL,         -1,       1663,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
74 : QE0190_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
75 : QE0190_002_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
76 : QE0190_003_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
77 : QE0190_004_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
78 : QE0190_005_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
79 : QE0300_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
80 : QE0300_002_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
81 : QE0300_003_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
82 : QE0300_004_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
83 : QE0330_001_BTL,         -1,       1688,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
84 : QE0390_001_BTL,         -1,       1713,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
85 : QE0940_001_BTL,         -1,       1714,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
86 : QE0060_001_BTL,         -1,       1736,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
87 : QE0060_002_BTL,         -1,       1756,       1757,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
