           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       2829,          0,          0, 
 1 : low_zako_001,       2830,          0,          0, 
 2 : low_zako_002,       2831,          0,          0, 
 3 : low_zako_003,       2832,          0,          0, 
 4 : low_zako_004,       2833,          0,          0, 
 5 : low_zako_005,       2834,          0,          0, 
 6 : low_zako_006,       2835,          0,          0, 
 7 : low_zako_007,       2836,          0,          0, 
 8 : low_zako_008,       2837,          0,          0, 
 9 : low_zako_009,       2838,          0,          0, 
10 : low_zako_010,       2839,          0,          0, 
11 : low_zako_011,       2840,          0,          0, 
12 : low_zako_012,       2841,          0,          0, 
13 : low_zako_013,       2842,          0,          0, 
14 : low_zako_014,       2843,          0,          0, 
15 : low_zako_015,       2844,          0,          0, 
16 : low_zako_016,       2845,          0,          0, 
17 : low_named_001,       2846,          0,          0, 
18 : low_named_002,       2847,          0,          0, 
19 : low_named_003,       2848,          0,          0, 
20 : low_named_004,       2849,          0,          0, 
21 : low_named_031,       2850,          0,          0, 
22 : low_named_032,       2851,          0,          0, 
23 : low_material_001,       2852,          0,          0, 
24 : low_material_002,       2853,          0,          0, 
25 : low_material_003,       2854,          0,          0, 
26 : low_material_004,       2855,          0,          0, 
27 : low_material_005,       2856,          0,          0, 
28 : low_material_006,       2857,          0,          0, 
29 : low_material_007,       2858,          0,          0, 
30 : low_material_008,       2859,          0,          0, 
31 : low_material_009,       2860,          0,          0, 
32 : low_material_010,       2861,          0,          0, 
33 : low_material_011,       2862,          0,          0, 
34 : low_material_012,       2863,          0,          0, 
35 : low_material_013,       2864,          0,          0, 
36 : low_material_014,       2865,          0,          0, 
37 : low_material_015,       2866,          0,          0, 
38 : low_material_016,       2867,          0,          0, 
39 : low_material_017,       2868,          0,          0, 
40 : low_material_018,       2869,          0,          0, 
41 : low_material_019,       2870,          0,          0, 
42 : low_material_020,       2871,          0,          0, 
43 : low_material_021,       2872,          0,          0, 
44 : low_material_022,       2873,          0,          0, 
45 : low_material_023,       2874,          0,          0, 
46 : low_material_024,       2875,          0,          0, 
47 : low_material_025,       2876,          0,          0, 
48 : low_material_026,       2877,          0,          0, 
49 : low_material_027,       2878,          0,          0, 
50 : low_material_028,       2879,          0,          0, 
51 : low_eq_001,       2880,          0,          0, 
52 : low_eq_002,       2881,          0,          0, 
53 : low_member_num_001,       2882,          0,          0, 
54 : low_member_num_002,       2883,          0,          0, 
55 : low_member_personal_001,       2884,          0,          0, 
56 : low_member_personal_002,       2885,          0,          0, 
57 : low_member_personal_003,       2886,          0,          0, 
58 : low_member_personal_004,       2887,          0,          0, 
59 : low_member_personal_005,       2888,          0,          0, 
60 : low_member_personal_006,       2889,          0,          0, 
61 : low_btl_chain_008,       2890,          0,          0, 
62 : low_btl_treasure_008,       2891,          0,          0, 
63 : neutral_zako_001,       2892,          0,          0, 
64 : neutral_zako_002,       2893,          0,          0, 
65 : neutral_zako_003,       2894,          0,          0, 
66 : neutral_zako_004,       2895,          0,          0, 
67 : neutral_zako_005,       2896,          0,          0, 
68 : neutral_zako_006,       2897,          0,          0, 
69 : neutral_zako_007,       2898,          0,          0, 
70 : neutral_zako_008,       2899,          0,          0, 
71 : neutral_zako_009,       2900,          0,          0, 
72 : neutral_zako_010,       2901,          0,          0, 
73 : neutral_zako_011,       2902,          0,          0, 
74 : neutral_zako_012,       2903,          0,          0, 
75 : neutral_named_001,       2904,          0,          0, 
76 : neutral_named_002,       2905,          0,          0, 
77 : neutral_named_003,       2906,          0,          0, 
78 : neutral_named_004,       2907,          0,          0, 
