           km_, km_check_num, km_union_type, km_check_num_1, km_union_id, km_entry_group_set, km_position_x, km_position_y, km_direction, km_wait_no, km_wait_turn, km_is_think, 
       sSlabel,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eGLOBAL,    eSSHORT,    eSSHORT,    eUSHORT,     eSCHAR,     eSCHAR,     eSCHAR, 
 0 : EV0010_001_BTL,          2,          0,          8,          0,        -10,      -1000,          0,          0,          0,          0,          0, 
 1 :          @,          0,          0,          0,          1,        -11,      -1600,       -600,          0,          0,          0,          0, 
 2 :          @,          0,          0,          0,          2,        -12,      -2200,      -1200,          0,          0,          0,          0, 
 3 :          @,          0,          0,          0,          3,        -13,      -1600,      -1800,          0,          0,          0,          0, 
 4 :          @,          0,          0,          0,          4,        -14,      -1600,        600,          0,          0,          0,          0, 
 5 :          @,          0,          0,          0,          5,        -15,      -2200,       1200,          0,          0,          0,          0, 
 6 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
 7 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
 8 :          @,          0,          1,          6,          0,    8069093,       1000,          0,        180,          0,          0,          0, 
 9 :          @,          0,          1,          0,          1,    8069098,       1600,       -600,        180,          0,          0,          0, 
10 :          @,          0,          1,          0,          2,    8069103,       2200,      -1200,        180,          0,          0,          0, 
11 :          @,          0,          1,          0,          3,    8069108,       1600,      -1800,        180,          0,          0,          0, 
12 :          @,          0,          1,          0,          4,    8069113,       3400,        600,        180,          0,          0,          0, 
13 :          @,          0,          1,          0,          5,    8069118,       2200,       1200,        180,          0,          0,          0, 
14 : EV0070_001_BTL,          2,          0,          8,          0,        -10,          0,       1000,        270,          0,          0,          0, 
15 :          @,          0,          0,          0,          1,        -11,       -600,       1600,        270,          0,          0,          0, 
16 :          @,          0,          0,          0,          2,        -12,      -1200,       2200,        270,          0,          0,          0, 
17 :          @,          0,          0,          0,          3,        -13,      -1800,       1600,        270,          0,          0,          0, 
18 :          @,          0,          0,          0,          4,        -14,        600,       1600,        270,          0,          0,          0, 
19 :          @,          0,          0,          0,          5,        -15,       1200,       2200,        270,          0,          0,          0, 
20 :          @,          0,          0,          0,          6,        -16,       1800,       1600,        270,          0,          0,          0, 
21 :          @,          0,          0,          0,          7,        -17,       -600,       2200,        270,          0,          0,          0, 
22 :          @,          0,          1,          1,          0,    8069123,          0,      -1000,         90,          0,          0,          0, 
23 : EV0170_001_BTL,          2,          0,          8,          0,        -10,          0,       1000,        270,          0,          0,          0, 
24 :          @,          0,          0,          0,          1,        -11,       -600,       1600,        270,          0,          0,          0, 
25 :          @,          0,          0,          0,          2,        -12,      -1200,       2200,        270,          0,          0,          0, 
26 :          @,          0,          0,          0,          3,        -13,      -1800,       1600,        270,          0,          0,          0, 
27 :          @,          0,          0,          0,          4,        -14,        600,       1600,        270,          0,          0,          0, 
28 :          @,          0,          0,          0,          5,        -15,       1200,       2200,        270,          0,          0,          0, 
29 :          @,          0,          0,          0,          6,        -16,       1800,       1600,        270,          0,          0,          0, 
30 :          @,          0,          0,          0,          7,        -17,       -600,       2200,        270,          0,          0,          0, 
31 :          @,          0,          1,          3,          0,    8069128,          0,      -1000,         90,          0,          0,          0, 
32 :          @,          0,          1,          0,          1,    8069133,       -600,      -1600,         90,          0,          0,          0, 
33 :          @,          0,          1,          0,          2,    8069138,       1200,      -1200,         90,          0,          0,          0, 
34 : EV0210_001_BTL,          2,          0,          8,          0,        -10,      -1000,          0,          0,          0,          0,          0, 
35 :          @,          0,          0,          0,          1,        -11,      -1600,       -600,          0,          0,          0,          0, 
36 :          @,          0,          0,          0,          2,        -12,      -2200,      -1200,          0,          0,          0,          0, 
37 :          @,          0,          0,          0,          3,        -13,      -1600,      -1800,          0,          0,          0,          0, 
38 :          @,          0,          0,          0,          4,        -14,      -1600,        600,          0,          0,          0,          0, 
39 :          @,          0,          0,          0,          5,        -15,      -2200,       1200,          0,          0,          0,          0, 
40 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
41 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
42 :          @,          0,          1,          3,          0,    8069143,       1000,          0,        180,          0,          0,          0, 
43 :          @,          0,          1,          0,          1,    8069148,       1600,       -600,        180,          0,          0,          0, 
44 :          @,          0,          1,          0,          2,    8069153,       1600,       1200,        180,          0,          0,          0, 
45 : EV0250_001_BTL,          2,          0,          8,          0,        -10,          0,       1200,        270,          0,          0,          0, 
46 :          @,          0,          0,          0,          1,        -11,       -300,       1600,        270,          0,          0,          0, 
47 :          @,          0,          0,          0,          2,        -12,       -600,       2000,        270,          0,          0,          0, 
48 :          @,          0,          0,          0,          3,        -13,       -900,       2400,        270,          0,          0,          0, 
49 :          @,          0,          0,          0,          4,        -14,        300,       1600,        270,          0,          0,          0, 
50 :          @,          0,          0,          0,          5,        -15,        600,       2000,        270,          0,          0,          0, 
51 :          @,          0,          0,          0,          6,        -16,        900,       2400,        270,          0,          0,          0, 
52 :          @,          0,          0,          0,          7,        -17,          0,       2000,        270,          0,          0,          0, 
