           km_,   km_range,    km_turn, 
       sSlabel,    eUSHORT,     eUCHAR, 
 0 :    kyori01,        100,          0, 
 1 :    kyori02,        200,          0, 
 2 :    kyori03,        300,          0, 
 3 :    kyori04,        400,          0, 
 4 :    kyori05,        500,          0, 
 5 :    kyori06,        600,          0, 
 6 :    kyori07,        700,          0, 
 7 :    kyori08,        800,          0, 
 8 :    kyori09,        900,          0, 
 9 :    kyori10,       1000,          1, 
10 :    kyori11,       1100,          1, 
11 :    kyori12,       1200,          1, 
12 :    kyori13,       1300,          1, 
13 :    kyori14,       1400,          1, 
14 :    kyori15,       1500,          1, 
15 :    kyori16,       1600,          1, 
16 :    kyori17,       1700,          1, 
17 :    kyori18,       1800,          1, 
18 :    kyori19,       1900,          1, 
19 :    kyori20,       2000,          2, 
20 :    kyori21,       2100,          2, 
21 :    kyori22,       2200,          2, 
22 :    kyori23,       2300,          2, 
23 :    kyori24,       2400,          2, 
24 :    kyori25,       2500,          2, 
25 :    kyori26,       2600,          2, 
26 :    kyori27,       2700,          2, 
27 :    kyori28,       2800,          2, 
28 :    kyori29,       2900,          2, 
29 :    kyori30,       3000,          3, 
30 :    kyori31,       3100,          3, 
31 :    kyori32,       3200,          3, 
32 :    kyori33,       3300,          3, 
33 :    kyori34,       3400,          3, 
34 :    kyori35,       3500,          3, 
35 :    kyori36,       3600,          3, 
36 :    kyori37,       3700,          3, 
37 :    kyori38,       3800,          3, 
38 :    kyori39,       3900,          3, 
39 :    kyori40,       4000,          4, 
40 :    kyori41,       4100,          4, 
41 :    kyori42,       4200,          4, 
42 :    kyori43,       4300,          4, 
43 :    kyori44,       4400,          4, 
44 :    kyori45,       4500,          4, 
45 :    kyori46,       4600,          4, 
46 :    kyori47,       4700,          4, 
47 :    kyori48,       4800,          4, 
48 :    kyori49,       4900,          4, 
49 :    kyori50,       5000,          5, 
50 :    kyori51,       5100,          5, 
51 :    kyori52,       5200,          5, 
52 :    kyori53,       5300,          5, 
53 :    kyori54,       5400,          5, 
54 :    kyori55,       5500,          5, 
55 :    kyori56,       5600,          5, 
56 :    kyori57,       5700,          5, 
57 :    kyori58,       5800,          5, 
58 :    kyori59,       5900,          5, 
59 :    kyori60,       6000,          6, 
60 :    kyori61,       6100,          6, 
61 :    kyori62,       6200,          6, 
62 :    kyori63,       6300,          6, 
63 :    kyori64,       6400,          6, 

