           km_, km_union_type, km_check_num, km_union_id,   km_namen, km_union_jin, km_unit_id, km_guest_label, 
       sSlabel,    eSSHORT,     eUCHAR,     eUCHAR,    eSSHORT,    eSSHORT,     eUCHAR,    eSSHORT, 
 0 :   Event_00,          0,          5,          1,         -1,          0,          1,          0, 
 1 :          @,          0,          0,          1,         -1,          0,          2,         -1, 
 2 :          @,          0,          0,          1,         -1,          0,          3,         -1, 
 3 :          @,          0,          0,          1,         -1,          0,          4,         -1, 
 4 :          @,          0,          0,          1,         -1,          0,          5,         -1, 
 5 :   Event_01,          0,         25,          1,         -1,         48,          1,          6, 
 6 :          @,          0,          0,          1,         -1,         48,          2,        365, 
 7 :          @,          0,          0,          1,         -1,         48,          3,        366, 
 8 :          @,          0,          0,          1,         -1,         48,          4,        367, 
 9 :          @,          0,          0,          1,         -1,         48,          5,         -1, 
10 :          @,          0,          0,          2,         -1,          0,          1,          5, 
11 :          @,          0,          0,          2,         -1,          0,          2,        368, 
12 :          @,          0,          0,          2,         -1,          0,          3,        369, 
13 :          @,          0,          0,          2,         -1,          0,          4,         -1, 
14 :          @,          0,          0,          2,         -1,          0,          5,         -1, 
15 :          @,          0,          0,          3,         -1,          0,          1,          3, 
16 :          @,          0,          0,          3,         -1,          0,          2,        370, 
17 :          @,          0,          0,          3,         -1,          0,          3,        371, 
18 :          @,          0,          0,          3,         -1,          0,          4,         -1, 
19 :          @,          0,          0,          3,         -1,          0,          5,         -1, 
20 :          @,          0,          0,          4,         -1,         48,          1,          2, 
21 :          @,          0,          0,          4,         -1,         48,          2,        372, 
22 :          @,          0,          0,          4,         -1,         48,          3,        373, 
23 :          @,          0,          0,          4,         -1,         48,          4,        374, 
24 :          @,          0,          0,          4,         -1,         48,          5,         -1, 
25 :          @,          0,          0,          5,         -1,         48,          1,          4, 
26 :          @,          0,          0,          5,         -1,         48,          2,        375, 
27 :          @,          0,          0,          5,         -1,         48,          3,        376, 
28 :          @,          0,          0,          5,         -1,         48,          4,        377, 
29 :          @,          0,          0,          5,         -1,         48,          5,         -1, 
30 :   Event_02,          0,          5,          1,         -1,          0,          1,          0, 
31 :          @,          0,          0,          1,         -1,          0,          2,          2, 
32 :          @,          0,          0,          1,         -1,          0,          3,         -1, 
33 :          @,          0,          0,          1,         -1,          0,          4,         -1, 
34 :          @,          0,          0,          1,         -1,          0,          5,         -1, 
35 :   Event_03,          0,         10,          1,         -1,          0,          1,          3, 
36 :          @,          0,          0,          1,         -1,          0,          2,         -1, 
37 :          @,          0,          0,          1,         -1,          0,          3,         -1, 
38 :          @,          0,          0,          1,         -1,          0,          4,         -1, 
39 :          @,          0,          0,          1,         -1,          0,          5,         -1, 
40 :          @,          0,          0,          2,         -1,          0,          1,          0, 
41 :          @,          0,          0,          2,         -1,          0,          2,        378, 
42 :          @,          0,          0,          2,         -1,          0,          3,        379, 
43 :          @,          0,          0,          2,         -1,          0,          4,         -1, 
44 :          @,          0,          0,          2,         -1,          0,          5,         -1, 
45 :   Event_04,          0,         10,          1,         -1,          0,          1,          4, 
46 :          @,          0,          0,          1,         -1,          0,          2,        380, 
47 :          @,          0,          0,          1,         -1,          0,          3,         -1, 
48 :          @,          0,          0,          1,         -1,          0,          4,         -1, 
49 :          @,          0,          0,          1,         -1,          0,          5,         -1, 
50 :          @,          0,          0,          2,         -1,          0,          1,          0, 
51 :          @,          0,          0,          2,         -1,          0,          2,        381, 
52 :          @,          0,          0,          2,         -1,          0,          3,         -1, 
53 :          @,          0,          0,          2,         -1,          0,          4,         -1, 
54 :          @,          0,          0,          2,         -1,          0,          5,         -1, 
55 :   Event_05,          0,         10,          1,         -1,         48,          1,          5, 
56 :          @,          0,          0,          1,         -1,         48,          2,          4, 
57 :          @,          0,          0,          1,         -1,         48,          3,        382, 
58 :          @,          0,          0,          1,         -1,         48,          4,        383, 
59 :          @,          0,          0,          1,         -1,         48,          5,        384, 
60 :          @,          0,          0,          2,         -1,         48,          1,          2, 
61 :          @,          0,          0,          2,         -1,         48,          2,          3, 
62 :          @,          0,          0,          2,         -1,         48,          3,          0, 
63 :          @,          0,          0,          2,         -1,         48,          4,        385, 
64 :          @,          0,          0,          2,         -1,         48,          5,        386, 
65 :   Event_06,          0,          5,          1,         -1,         -1,          1,          1, 
66 :          @,          0,          0,          1,         -1,         -1,          2,          2, 
67 :          @,          0,          0,          1,         -1,         -1,          3,          5, 
68 :          @,          0,          0,          1,         -1,         -1,          4,          3, 
69 :          @,          0,          0,          1,         -1,         -1,          5,          4, 
70 :   Event_07,          0,          5,          1,         -1,         -1,          1,        162, 
71 :          @,          0,          0,          1,         -1,         -1,          2,         -1, 
72 :          @,          0,          0,          1,         -1,         -1,          3,         -1, 
73 :          @,          0,          0,          1,         -1,         -1,          4,         -1, 
74 :          @,          0,          0,          1,         -1,         -1,          5,         -1, 
75 :   Event_08,          0,          5,          1,         -1,         -1,          1,        293, 
76 :          @,          0,          0,          1,         -1,         -1,          2,         -1, 
77 :          @,          0,          0,          1,         -1,         -1,          3,         -1, 
78 :          @,          0,          0,          1,         -1,         -1,          4,         -1, 
79 :          @,          0,          0,          1,         -1,         -1,          5,         -1, 
