           km_,     km_hno, 
       sSlabel,     eUCHAR, 
 0 :     union1,         68, 
 1 :          @,          0, 
 2 :          @,          0, 
 3 :          @,          0, 
 4 :          @,          0, 
 5 :          @,          0, 
 6 :          @,          0, 
 7 :          @,          0, 
 8 :          @,          0, 
 9 :     union2,         51, 
10 :          @,         69, 
11 :          @,          0, 
12 :          @,          0, 
13 :          @,          0, 
14 :          @,          0, 
15 :          @,          0, 
16 :          @,          0, 
17 :          @,          0, 
18 :     union2,         50, 
19 :          @,         86, 
20 :          @,          0, 
21 :          @,          0, 
22 :          @,          0, 
23 :          @,          0, 
24 :          @,          0, 
25 :          @,          0, 
26 :          @,          0, 
27 :     union2,         54, 
28 :          @,         82, 
29 :          @,          0, 
30 :          @,          0, 
31 :          @,          0, 
32 :          @,          0, 
33 :          @,          0, 
34 :          @,          0, 
35 :          @,          0, 
36 :     union2,         66, 
37 :          @,         70, 
38 :          @,          0, 
39 :          @,          0, 
40 :          @,          0, 
41 :          @,          0, 
42 :          @,          0, 
43 :          @,          0, 
44 :          @,          0, 
45 :     union3,         50, 
46 :          @,         68, 
47 :          @,         86, 
48 :          @,          0, 
49 :          @,          0, 
50 :          @,          0, 
51 :          @,          0, 
52 :          @,          0, 
53 :          @,          0, 
54 :     union3,         68, 
55 :          @,         66, 
56 :          @,         70, 
57 :          @,          0, 
58 :          @,          0, 
59 :          @,          0, 
60 :          @,          0, 
61 :          @,          0, 
62 :          @,          0, 
63 :     union3,         84, 
64 :          @,         50, 
65 :          @,         54, 
66 :          @,          0, 
67 :          @,          0, 
68 :          @,          0, 
69 :          @,          0, 
70 :          @,          0, 
71 :          @,          0, 
72 :     union3,         52, 
73 :          @,         82, 
74 :          @,         86, 
75 :          @,          0, 
76 :          @,          0, 
77 :          @,          0, 
78 :          @,          0, 
79 :          @,          0, 
80 :          @,          0, 
81 :     union4,         50, 
82 :          @,         52, 
83 :          @,         84, 
84 :          @,         86, 
85 :          @,          0, 
86 :          @,          0, 
87 :          @,          0, 
88 :          @,          0, 
89 :          @,          0, 
90 :     union4,         98, 
91 :          @,         67, 
92 :          @,         69, 
93 :          @,         38, 
94 :          @,          0, 
95 :          @,          0, 
96 :          @,          0, 
97 :          @,          0, 
98 :          @,          0, 
99 :     union4,         50, 
100 :          @,         54, 
101 :          @,         83, 
102 :          @,         85, 
103 :          @,          0, 
104 :          @,          0, 
105 :          @,          0, 
106 :          @,          0, 
107 :          @,          0, 
108 :     union4,         50, 
109 :          @,         54, 
110 :          @,         82, 
111 :          @,         86, 
112 :          @,          0, 
113 :          @,          0, 
114 :          @,          0, 
115 :          @,          0, 
116 :          @,          0, 
117 :     union5,         68, 
118 :          @,         34, 
119 :          @,         37, 
120 :          @,         99, 
121 :          @,        102, 
122 :          @,          0, 
123 :          @,          0, 
124 :          @,          0, 
125 :          @,          0, 
126 :     union5,         52, 
127 :          @,         66, 
128 :          @,         70, 
129 :          @,         99, 
130 :          @,        101, 
131 :          @,          0, 
132 :          @,          0, 
133 :          @,          0, 
134 :          @,          0, 
135 :     union5,         68, 
136 :          @,         34, 
137 :          @,         38, 
138 :          @,         98, 
139 :          @,        102, 
140 :          @,          0, 
141 :          @,          0, 
142 :          @,          0, 
143 :          @,          0, 
144 :     union5,         36, 
145 :          @,         67, 
146 :          @,         69, 
147 :          @,         98, 
148 :          @,        102, 
149 :          @,          0, 
150 :          @,          0, 
151 :          @,          0, 
152 :          @,          0, 
153 :     union6,         36, 
154 :          @,         50, 
155 :          @,         54, 
156 :          @,         82, 
157 :          @,        100, 
158 :          @,         86, 
159 :          @,          0, 
160 :          @,          0, 
161 :          @,          0, 
162 :     union7,         68, 
163 :          @,         34, 
164 :          @,         38, 
165 :          @,         65, 
166 :          @,         98, 
167 :          @,        102, 
168 :          @,         71, 
169 :          @,          0, 
170 :          @,          0, 

