           km_,   km_namen,    km_icon, km_eq_type, km_eq_sword, km_eq_katana,  km_eq_axe, km_eq_mace, km_eq_spear, km_eq_staff, km_eq_shield, km_eq_accessory,  km_size_s,  km_size_m,  km_size_l, km_size_ll,  km_eq_sub, km_eq_twoh, km_eq_subonly, km_eqset_qsitis, km_eqset_mitras, km_eqset_yamas, km_eqset_sovanis, km_eqonly_qsitis, km_eqonly_mitras, km_eqonly_yamas, km_eqonly_sovanis, km_eqonly_chara, 
       sSlabel,    eSSHORT,     eUCHAR,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT, 
 0 :      sword,          1,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1, 
 1 :    sword_S,          2,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          2,          0,          0,          0,          1,          0,          0,          0,         -1, 
 2 :    sword_M,          3,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          2,          0,          3,          0,          0,          0,          0,         -1, 
 3 :    sword_L,          4,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          2,          4,          0,          0,          0,          0,         -1, 
 4 :   sword_LL,          5,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,         -1, 
 5 : qsitis_sword_S,          2,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          2,          0,          0,          0,          1,          0,          0,          0,         -1, 
 6 : qsitis_sword_M,          3,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,         -1, 
 7 : qsitis_sword_L,          4,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1, 
 8 : qsitis_sword_LL,          5,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1, 
 9 : mitras_sword_S,          2,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         -1, 
10 : mitras_sword_M,          3,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          2,          0,          0,          0,          1,          0,          0,         -1, 
11 : mitras_sword_L,          4,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,         -1, 
12 : mitras_sword_LL,          5,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         -1, 
13 : yamas_sword_S,          2,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,         -1, 
14 : yamas_sword_M,          3,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,         -1, 
15 : yamas_sword_L,          4,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          2,          0,          0,          0,          1,          0,         -1, 
16 : yamas_sword_LL,          5,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,         -1, 
17 : sovanis_sword_S,          2,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1, 
18 : sovanis_sword_M,          3,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          3,          0,          0,          0,          1,         -1, 
19 : sovanis_sword_L,          4,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          4,          0,          0,          0,          1,         -1, 
20 : sovanis_sword_LL,          5,         11,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1, 
21 :     katana,          6,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1, 
22 :   katana_S,          7,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          2,          0,          0,          0,          1,          0,          0,          0,         -1, 
23 :   katana_M,          8,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          2,          0,          3,          0,          0,          0,          0,         -1, 
24 :   katana_L,          9,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          2,          4,          0,          0,          0,          0,         -1, 
25 :  katana_LL,         10,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,         -1, 
26 : qsitis_katana_S,          7,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          2,          0,          0,          0,          1,          0,          0,          0,         -1, 
27 : qsitis_katana_M,          8,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,         -1, 
28 : qsitis_katana_L,          9,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1, 
29 : qsitis_katana_LL,         10,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1, 
30 : mitras_katana_S,          7,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         -1, 
31 : mitras_katana_M,          8,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          2,          0,          0,          0,          1,          0,          0,         -1, 
32 : mitras_katana_L,          9,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,         -1, 
33 : mitras_katana_LL,         10,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         -1, 
34 : yamas_katana_S,          7,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,         -1, 
35 : yamas_katana_M,          8,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,         -1, 
36 : yamas_katana_L,          9,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          2,          0,          0,          0,          1,          0,         -1, 
37 : yamas_katana_LL,         10,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,         -1, 
38 : sovanis_katana_S,          7,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1, 
39 : sovanis_katana_M,          8,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          3,          0,          0,          0,          1,         -1, 
40 : sovanis_katana_L,          9,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          4,          0,          0,          0,          1,         -1, 
41 : sovanis_katana_LL,         10,         12,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1, 
42 :        axe,         11,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1, 
43 :      axe_S,         12,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          2,          0,          0,          0,          1,          0,          0,          0,         -1, 
44 :      axe_M,         13,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          2,          0,          3,          0,          0,          0,          0,         -1, 
45 :      axe_L,         14,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          2,          4,          0,          0,          0,          0,         -1, 
46 :     axe_LL,         15,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,         -1, 
47 : qsitis_axe_S,         12,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          2,          0,          0,          0,          1,          0,          0,          0,         -1, 
48 : qsitis_axe_M,         13,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,         -1, 
49 : qsitis_axe_L,         14,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1, 
50 : qsitis_axe_LL,         15,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1, 
51 : mitras_axe_S,         12,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         -1, 
52 : mitras_axe_M,         13,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          2,          0,          0,          0,          1,          0,          0,         -1, 
53 : mitras_axe_L,         14,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,         -1, 
54 : mitras_axe_LL,         15,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         -1, 
55 : yamas_axe_S,         12,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,         -1, 
56 : yamas_axe_M,         13,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,         -1, 
57 : yamas_axe_L,         14,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          2,          0,          0,          0,          1,          0,         -1, 
58 : yamas_axe_LL,         15,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,         -1, 
59 : sovanis_axe_S,         12,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1, 
60 : sovanis_axe_M,         13,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          3,          0,          0,          0,          1,         -1, 
61 : sovanis_axe_L,         14,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          4,          0,          0,          0,          1,         -1, 
62 : sovanis_axe_LL,         15,         13,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1, 
63 :       mace,         16,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1, 
64 :     mace_S,         17,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          2,          0,          0,          0,          1,          0,          0,          0,         -1, 
65 :     mace_M,         18,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          2,          0,          3,          0,          0,          0,          0,         -1, 
66 :     mace_L,         19,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          2,          4,          0,          0,          0,          0,         -1, 
67 :    mace_LL,         20,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,         -1, 
68 : qsitis_mace_S,         17,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          2,          0,          0,          0,          1,          0,          0,          0,         -1, 
69 : qsitis_mace_M,         18,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,         -1, 
70 : qsitis_mace_L,         19,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1, 
71 : qsitis_mace_LL,         20,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1, 
72 : mitras_mace_S,         17,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         -1, 
73 : mitras_mace_M,         18,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          2,          0,          0,          0,          1,          0,          0,         -1, 
74 : mitras_mace_L,         19,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,         -1, 
75 : mitras_mace_LL,         20,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         -1, 
76 : yamas_mace_S,         17,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,         -1, 
77 : yamas_mace_M,         18,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,         -1, 
78 : yamas_mace_L,         19,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          2,          0,          0,          0,          1,          0,         -1, 
79 : yamas_mace_LL,         20,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,         -1, 
80 : sovanis_mace_S,         17,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1, 
81 : sovanis_mace_M,         18,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          3,          0,          0,          0,          1,         -1, 
82 : sovanis_mace_L,         19,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          4,          0,          0,          0,          1,         -1, 
83 : sovanis_mace_LL,         20,         14,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1, 
84 :      spear,         21,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1, 
85 :    spear_S,         22,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          0,          0,         -1, 
86 :    spear_M,         23,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          1,          1,          0,          4,          0,          0,          0,          0,         -1, 
87 :    spear_L,         24,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          1,          4,          0,          0,          0,          0,         -1, 
88 :   spear_LL,         25,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          0,          0,          1,          0,         -1, 
89 : qsitis_spear_S,         22,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          0,          0,         -1, 
90 : qsitis_spear_M,         23,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          0,          0,         -1, 
91 : qsitis_spear_L,         24,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1, 
92 : qsitis_spear_LL,         25,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1, 
93 : mitras_spear_S,         22,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,         -1, 
94 : mitras_spear_M,         23,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          1,          0,          0,         -1, 
95 : mitras_spear_L,         24,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          0,          0,          0,          1,          0,          0,         -1, 
96 : mitras_spear_LL,         25,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,         -1, 
97 : yamas_spear_S,         22,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,         -1, 
98 : yamas_spear_M,         23,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,         -1, 
99 : yamas_spear_L,         24,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          1,          0,         -1, 
100 : yamas_spear_LL,         25,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          0,          0,          1,          0,         -1, 
101 : sovanis_spear_S,         22,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1, 
102 : sovanis_spear_M,         23,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          4,          0,          0,          0,          1,         -1, 
103 : sovanis_spear_L,         24,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          4,          0,          0,          0,          1,         -1, 
104 : sovanis_spear_LL,         25,         15,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1, 
105 :      staff,         26,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1, 
106 :    staff_S,         27,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          0,          0,         -1, 
107 :    staff_M,         28,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          1,          0,          1,          1,          0,          4,          0,          0,          0,          0,         -1, 
108 :    staff_L,         29,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          1,          4,          0,          0,          0,          0,         -1, 
109 :   staff_LL,         30,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          0,          0,          1,          0,         -1, 
110 : qsitis_staff_S,         27,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          0,          0,         -1, 
111 : qsitis_staff_M,         28,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          0,          0,         -1, 
112 : qsitis_staff_L,         29,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1, 
