           km_,   km_namen,    km_help, km_primary_model, km_primary_material_id, km_primary_bind_effect_id, km_secondly_model, km_secondly_material_id, km_secondly_bind_effect_id,    km_icon,  km_sortid,   km_price,    km_sell, km_break_cost, km_no_sell, km_no_break, km_no_menu, km_ep_remnant, km_category, km_add_attribute, km_add_impress, km_internal_attr_fire, km_internal_attr_thunder, km_internal_attr_ice, km_internal_attr_acid, km_internal_attr_poison, km_internal_attr_dr_null0, km_internal_attr_dr_null1, km_internal_attr_dr_null2, km_internal_attr_dr_null3, km_internal_attr_dr_null4, km_internal_attr_dr_null5, km_internal_attr_dr_null6, km_internal_attr_dr_null7, km_internal_attr_dr_null8, km_internal_attr_dr_null9, km_internal_attr_control_flag18, km_set_status, km_reset_status, km_prg_num_new, km_lvup_type,      km_ct, km_ap_butsu,  km_ap_mgc, km_dp_butsu,  km_dp_mgc, km_eva_butsu, km_eva_mgc, km_cro_onrate, km_cro_scrate, km_crd_onrate, km_crd_scrate, km_critical_lv, km_exp_eq_style, km_exp_eq_category, km_exp_mgc_category, km_exp_item_category, km_exp_arts_skill, km_exp_technique, km_exp_power, km_exp_magic_skill, km_exp_item_skill, km_exp_master,   km_item1,    km_num1,   km_item2,    km_num2,   km_item3,    km_num3,   km_item4,    km_num4, km_eq_rank, km_eq_not_aim, km_eq_release_mep, km_eq_not_force_replace,  km_heikin,   km_butsu,     km_mgc, km_butsu_ac,  km_mgc_ac,      km_hp,      km_ap,     km_str,     km_mys,     km_spd,     km_unq, km_butsu_at,  km_mgc_at, 
       sSlabel,    eSSHORT,    eSSHORT,    eSSHORT,     eUCHAR,    eSSHORT,    eSSHORT,     eUCHAR,    eSSHORT,    eUSHORT,    eUSHORT,     eULONG,     eULONG,     eULONG,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,    eSSHORT,    eSSHORT,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,    eSSHORT,    eSSHORT,    eUSHORT,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eGLOBAL,     eUCHAR,    eGLOBAL,     eUCHAR,    eGLOBAL,     eUCHAR,    eGLOBAL,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 :       sude,          1,          1,         -1,          0,         -1,         -1,          0,         -1,          0,          0,          0,          0,          0,          1,          1,          1,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,         -1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 1 : sword_m_WMA030_custom,          2,          2,          5,          0,         -1,         -1,          0,         -1,         11,       2700,       1500,         75,         38,          1,          0,          0,          0,          2,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         20,          1,          4,         34,         21,         16,         10,          5,          0,         29,         80,         46,         80,          1,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,          8,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 2 : sword_m_WMA040_custom,          3,          3,          6,          0,         -1,         -1,          0,         -1,         11,       2800,       1300,         65,         33,          1,          0,          0,          0,          2,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         20,          1,          4,         27,         29,         11,         11,          5,          0,         29,         80,         46,         80,          1,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,          8,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 3 : Leraje_0_custom,          4,          4,          3,          0,         -1,          3,          0,         -1,         11,      25600,       2000,        100,         50,          1,          0,          0,          0,         18,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         20,          1,          6,         31,         32,         10,          8,          8,          0,         29,         80,         46,         80,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,          8,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 4 : remnant_lance__WME040_schiavona,          6,          6,         85,          0,         -1,         -1,          0,         -1,         15,        110,          0,          0,          0,          1,          1,          0,          1,         94,         12,        936,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         15,         -1,         24,          0,         12,        110,         72,         33,         21,          9,          0,         35,         80,         55,         80,         17,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        230,          0,       5000,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 5 : remnant_sword__WLA060_koorinoken,          7,          7,         79,          0,          2,         -1,          0,         -1,         11,        120,          0,          0,          0,          1,          1,          0,          1,         11,          3,        938,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,         -1,         20,          0,          8,         98,        101,         28,         30,          9,          0,         34,         80,         53,         80,          2,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        230,          0,       5600,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 6 : remnant_sword__WXA030_obushidan,          8,          8,         80,          0,         -1,         -1,          0,         -1,         11,        130,          0,          0,          0,          1,          1,          0,          1,         16,          3,        940,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         20,          0,         10,        106,        106,         25,         24,          7,          0,         31,         80,         50,         80,          3,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        230,          0,       5600,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 7 : remnant_katana_WMB040_gekabijin,          9,          9,         81,          0,         -1,         -1,          0,         -1,         12,        140,          0,          0,          0,          1,          1,          0,          1,         31,          3,        942,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         16,         -1,         21,          0,          5,        122,        120,         10,          9,         10,          0,         30,         80,         48,         80,          5,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        230,          0,       5600,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 8 : remnant_axe____WXC030_bilqis,          5,          5,         82,          0,         11,         -1,          0,         -1,         13,        100,          0,          0,          0,          1,          1,          0,          1,         58,          9,        944,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,         -1,         22,          0,         10,        139,         93,         30,         18,          5,          0,         31,         80,         50,         80,         11,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        230,          0,       6200,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
