           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       3031,          0,          0, 
 1 : taimanohiseki,       3032,          0,          0, 
 2 : MAR_KEY_001,       3033,          0,          0, 
 3 : QE0040_D_000,       3034,          0,          0, 
 4 : QE0080_D_000,       3035,          0,          0, 
 5 : QE0090_D_000,       3036,          0,          0, 
 6 : QE0120_D_001,       3037,          0,          0, 
 7 : QE0160_D_000,       3038,          0,          0, 
 8 : QE0170_D_000,       3039,          0,          0, 
 9 : QE0170_D_001,       3040,          0,          0, 
10 : QE0170_D_002,       3041,          0,          0, 
11 : QE0170_D_003,       3042,          0,          0, 
12 : QE0170_D_004,       3043,          0,          0, 
13 : QE0170_D_005,       3044,          0,          0, 
14 : QE0170_D_006,       3045,          0,          0, 
15 : QE0170_D_007,       3046,          0,          0, 
16 : QE0180_D_000,       3047,          0,          0, 
17 : QE0190_D_000,       3048,          0,          0, 
18 : QE0220_D_000,       3049,          0,          0, 
19 : QE0220_D_001,       3050,          0,          0, 
20 : QE0230_D_000,       3051,          0,          0, 
21 : QE0230_D_001,       3052,          0,          0, 
22 : QE0230_D_002,       3053,          0,          0, 
23 : QE0230_D_003,       3054,          0,          0, 
24 : QE0230_D_004,       3055,          0,          0, 
25 : QE0230_D_005,       3056,          0,          0, 
26 : QE0230_D_006,       3057,          0,          0, 
27 : QE0240_D_000,       3058,          0,          0, 
28 : QE0250_D_000,       3059,          0,          0, 
29 : QE0250_D_001,       3060,          0,          0, 
30 : QE0250_D_002,       3061,          0,          0, 
31 : QE0250_D_003,       3062,          0,          0, 
32 : QE0260_D_000,       3063,          0,          0, 
33 : QE0260_D_001,       3064,          0,          0, 
34 : QE0270_D_000,       3065,          0,          0, 
35 : QE0290_D_000,       3066,          0,          0, 
36 : QE0300_D_000,       3067,          0,          0, 
37 : QE0310_D_000,       3068,          0,          0, 
38 : QE0390_D_000,       3069,          0,          0, 
39 : QE0440_D_000,       3070,          0,          0, 
40 : QE0460_D_000,       3071,          0,          0, 
41 : QE0460_D_001,       3072,          0,          0, 
42 : QE0470_D_000,       3073,          0,          0, 
43 : QE0650_D_000,       3074,          0,          0, 
44 : QE0650_D_001,       3075,          0,          0, 
45 : QE1020_D_000,       3076,          0,          0, 
46 : QE1020_D_002,       3077,          0,          0, 
47 : QE1020_D_003,       3078,          0,          0, 
48 : QE1020_D_004,       3079,          0,          0, 
49 : QE1020_D_005,       3080,          0,          0, 
50 : QE1020_D_006,       3081,          0,          0, 
51 : QE1070_D_000,       3082,          0,          0, 
52 : QE1080_D_000,       3083,          0,          0, 
53 : QE1090_D_000,       3084,          0,          0, 
54 : QE1100_D_000,       3085,          0,          0, 
55 : QE1250_D_000,       3086,          0,          0, 
56 : QE0120_R_000,       3087,          0,          0, 
57 : QE0130_R_000,       3088,          0,          0, 
58 : QE0000_M_001,       3089,          0,          0, 
59 : QE0000_M_002,       3090,          0,          0, 
60 : QE0540_R_000,       3091,          0,          0, 
61 : QE0000_M_003,       3092,          0,          0, 
62 :   QEOTHR_D,       3093,          0,          0, 
63 :   QEOTHR_D,       3094,          0,          0, 
64 :   QEOTHR_D,       3095,          0,          0, 
65 :   QEOTHR_D,       3096,          0,          0, 
66 :   QEOTHR_D,       3097,          0,          0, 
67 :   QEOTHR_D,       3098,          0,          0, 
68 :   QEOTHR_D,       3099,          0,          0, 
69 :   QEOTHR_D,       3100,          0,          0, 
70 :   QEOTHR_D,       3101,          0,          0, 
71 :   QEOTHR_D,       3102,          0,          0, 
72 :   QEOTHR_D,       3103,          0,          0, 
73 :   QEOTHR_D,       3104,          0,          0, 
74 :   QEOTHR_D,       3105,          0,          0, 
75 :   QEOTHR_D,       3106,          0,          0, 
76 :   QEOTHR_D,       3107,          0,          0, 
77 :   QEOTHR_D,       3108,          0,          0, 
78 :   QEOTHR_D,       3109,          0,          0, 
79 :   QEOTHR_D,       3110,          0,          0, 
