           km_, km_StrNo_SkeletalMesh, km_StrNo_AnimSet, km_StrNo_AnimTree, km_StrNo_effect_upk, km_StrNo_se_upk,  km_w_root, km_w_range, km_menu_scale,  km_menu_x,  km_menu_y, 
       sSlabel,    eString,    eString,    eString,    eString,    eString,    eUSHORT,    eUSHORT,    eUSHORT,    eSSHORT,    eSSHORT, 
 0 :     WSA010,      62108,      62109,      62110,      62111,      62112,        160,        460,        350,         75,        -80, 
 1 :     WSA020,      62113,      62114,      62115,      62116,      62117,        100,        500,        350,         75,        -80, 
 2 :     WSA030,      62118,      62119,      62120,      62121,      62122,        100,        500,        350,         75,        -80, 
 3 :     WMA010,      62123,      62124,      62125,      62126,      62127,        100,        880,        300,         60,        -60, 
 4 :     WMA020,      62128,      62129,      62130,      62131,      62132,        400,        800,        300,         60,        -60, 
 5 :     WMA030,      62133,      62134,      62135,      62136,      62137,        160,        800,        300,         60,        -60, 
 6 :     WMA040,      62138,      62139,      62140,      62141,      62142,        150,        830,        300,         60,        -60, 
 7 :     WMA050,      62143,      62144,      62145,      62146,      62147,        200,        750,        300,         60,        -60, 
 8 :     WMA060,      62148,      62149,      62150,      62151,      62152,        230,        950,        300,         60,        -60, 
 9 :     WLA010,      62153,      62154,      62155,      62156,      62157,        250,       1160,        300,         10,        -10, 
10 :     WLA020,      62158,      62159,      62160,      62161,      62162,        750,        920,        300,         10,        -10, 
11 :     WLA030,      62163,      62164,      62165,      62166,      62167,        200,       1160,        300,         10,        -10, 
12 :     WLA040,      62168,      62169,      62170,      62171,      62172,        200,       1220,        300,         10,        -10, 
13 :     WXA010,      62173,      62174,      62175,      62176,      62177,        150,       3030,        200,        -10,         10, 
14 :     WXA020,      62178,      62179,      62180,      62181,      62182,        230,       3000,        200,        -10,         10, 
15 :     WSB010,      62183,      62184,      62185,      62186,      62187,        180,        500,        350,         75,        -65, 
16 :     WSB020,      62188,      62189,      62190,      62191,      62192,        100,        450,        350,         75,        -80, 
17 :     WSB030,      62193,      62194,      62195,      62196,      62197,         80,        530,        350,         75,        -80, 
18 :     WMB010,      62198,      62199,      62200,      62201,      62202,         80,        900,        300,         60,        -60, 
19 :     WMB020,      62203,      62204,      62205,      62206,      62207,        140,        820,        300,         60,        -60, 
20 :     WMB030,      62208,      62209,      62210,      62211,      62212,         80,        930,        300,         60,        -60, 
21 :     WLB010,      62213,      62214,      62215,      62216,      62217,        330,       1350,        300,         10,        -10, 
22 :     WLB020,      62218,      62219,      62220,      62221,      62222,        210,       1170,        300,         10,        -10, 
23 :     WXB010,      62223,      62224,      62225,      62226,      62227,        750,       2500,        200,        -10,         10, 
24 :     WSC010,      62228,      62229,      62230,      62231,      62232,        100,        320,        350,         75,        -90, 
25 :     WSC020,      62233,      62234,      62235,      62236,      62237,          0,        380,        350,         75,       -135, 
26 :     WMC010,      62238,      62239,      62240,      62241,      62242,        100,        580,        300,         75,        -90, 
27 :     WMC020,      62243,      62244,      62245,      62246,      62247,        170,        380,        300,         75,        -90, 
28 :     WMC030,      62248,      62249,      62250,      62251,      62252,         50,        550,        300,         75,        -90, 
29 :     WMC040,      62253,      62254,      62255,      62256,      62257,         70,        560,        300,         75,       -110, 
30 :     WLC010,      62258,      62259,      62260,      62261,      62262,        100,        900,        300,         60,        -75, 
31 :     WLC020,      62263,      62264,      62265,      62266,      62267,        570,        790,        300,         10,        -10, 
32 :     WLC030,      62268,      62269,      62270,      62271,      62272,        540,        860,        300,         10,        -10, 
33 :     WXC010,      62273,      62274,      62275,      62276,      62277,        900,       1280,        175,        120,        -90, 
34 :     WXC020,      62278,      62279,      62280,      62281,      62282,        870,       1810,        200,        -20,         20, 
35 :     WSD010,      62283,      62284,      62285,      62286,      62287,        270,        340,        350,         75,        -75, 
36 :     WSD020,      62288,      62289,      62290,      62291,      62292,        110,        300,        350,         75,        -90, 
37 :     WMD010,      62293,      62294,      62295,      62296,      62297,        510,        440,        300,         60,        -60, 
38 :     WMD020,      62298,      62299,      62300,      62301,      62302,        210,        670,        300,         60,        -60, 
39 :     WMD030,      62303,      62304,      62305,      62306,      62307,        100,        510,        300,         60,        -75, 
40 :     WLD010,      62308,      62309,      62310,      62311,      62312,        550,        570,        300,         10,        -10, 
41 :     WLD020,      62313,      62314,      62315,      62316,      62317,        160,       1130,        300,         10,        -10, 
42 :     WLD030,      62318,      62319,      62320,      62321,      62322,        240,        920,        300,         10,        -10, 
43 :     WLD040,      62323,      62324,      62325,      62326,      62327,        670,        730,        300,          0,          0, 
