           km_,   km_moral, 
       sSlabel,    eSSHORT, 
 0 : EV0310_001_MORALE_01,       -200, 
 1 : EV0310_001_MORALE_02,        200, 
 2 : EV0720_001_MORALE_01,        -50, 
 3 : EV0720_001_MORALE_02,        -50, 
 4 : EV1150_001_MORALE_01,       -200, 
 5 : EV1150_001_MORALE_02,          0, 
 6 : EV1150_001_MORALE_03,        -50, 
 7 : EV1150_001_MORALE_04,        -50, 
 8 : EV1150_001_MORALE_05,       -200, 
 9 : EV1150_001_MORALE_06,         50, 
10 : EV1150_001_MORALE_07,        -50, 
11 : EV1170_001_MORALE_01,        200, 
12 : EV1170_001_MORALE_02,        -50, 
13 : EV1170_001_MORALE_03,        -50, 
14 : EV1170_001_MORALE_04,       -200, 
15 : EV1190_001_MORALE_01,          0, 
16 : EV1190_001_MORALE_02,        -50, 
17 : EV1190_001_MORALE_03,        -50, 
18 : EV1190_001_MORALE_04,        -50, 
19 : EV1190_001_MORALE_05,       -200, 
20 : EV1190_001_MORALE_06,       -200, 
21 : EV1190_001_MORALE_07,          0, 
22 : EV1190_001_MORALE_08,        -50, 
23 : EV1210_001_MORALE_01,        -50, 
24 : EV1210_001_MORALE_02,       -200, 
25 : EV1210_001_MORALE_03,       -200, 
26 : EV1210_001_MORALE_04,        200, 
27 : EV1210_001_MORALE_05,       -200, 
28 : EV1230_001_MORALE_01,         50, 
29 : EV1230_001_MORALE_02,        -50, 
30 : EV1230_001_MORALE_03,       -200, 
31 : EV1230_001_MORALE_04,          0, 
32 : EV1230_001_MORALE_05,        -50, 
33 : EV1230_001_MORALE_06,       -200, 
34 : EV1230_001_MORALE_07,         50, 
35 : EV1250_001_MORALE_01,       -200, 
36 : EV1250_001_MORALE_02,          0, 
37 : EV1250_001_MORALE_03,       -200, 
38 : EV1250_001_MORALE_04,       -200, 
39 : EV1250_001_MORALE_05,       -200, 
40 : EV1280_001_MORALE_01,       -200, 
41 : EV1280_001_MORALE_02,        -50, 
42 : EV1280_001_MORALE_03,          0, 
43 : EV1280_001_MORALE_04,       -200, 
44 : EV1280_001_MORALE_05,       -200, 
45 : EV1280_001_MORALE_06,        200, 
46 : EV1420_001_MORALE_01,          0, 
47 : EV1420_001_MORALE_02,        -50, 
48 : EV1420_001_MORALE_03,          0, 
49 : EV1420_001_MORALE_04,        -50, 
50 : EV1420_001_MORALE_05,        -50, 
51 : EV1420_001_MORALE_06,       -200, 
52 : EV1420_001_MORALE_07,       -200, 
53 : EV1420_001_MORALE_08,       -200, 
54 : EV1420_001_MORALE_09,       -200, 
55 : QE0060_001_MORALE_01,        -50, 
56 : QE0060_001_MORALE_02,        -50, 
57 : QE0060_002_MORALE_01,       -200, 
58 : QE0060_002_MORALE_02,       -200, 
59 : QE0060_002_MORALE_03,         50, 
60 : QE0060_003_MORALE_01,        -50, 
61 : QE0060_003_MORALE_02,        -50, 
62 : QE0060_004_MORALE_01,       -200, 
63 : QE0060_004_MORALE_02,       -200, 
64 : QE0060_004_MORALE_03,         50, 
65 : QE0090_001_MORALE_01,        -50, 
66 : QE0090_001_MORALE_02,        -50, 
67 : QE0090_001_MORALE_03,        -50, 
68 : QE0090_001_MORALE_04,        -50, 
69 : QE0090_001_MORALE_05,       -200, 
70 : QE0090_001_MORALE_06,       -200, 
71 : QE0090_001_MORALE_07,       -200, 
72 : QE0090_001_MORALE_08,       -200, 
73 : QE0090_001_MORALE_09,       -200, 
74 : QE0090_001_MORALE,       -200, 
75 : QE0090_001_MORALE,       -200, 
76 : QE0090_001_MORALE,         50, 
77 : QE0090_001_MORALE,         50, 
78 : QE0090_001_MORALE,         50, 
79 : QE0450_001_MORALE_01,         50, 
80 : QE0840_001_MORALE_01,       -200, 
81 : QE0840_001_MORALE_02,       -200, 
82 : QE0840_001_MORALE_03,       -200, 
83 : QE0840_001_MORALE_04,       -200, 
84 : QE0840_001_MORALE_05,       -200, 
85 : QE0840_001_MORALE_06,       -200, 
86 : QE1210_001_MORALE_01,        -50, 
87 : QE1210_001_MORALE_02,        -50, 
88 : QE1210_001_MORALE_03,       -200, 
89 : QE1210_001_MORALE_04,       -200, 
90 : QE1210_001_MORALE_05,       -200, 
91 : QE1220_001_MORALE_01,       -200, 
92 : QE1220_001_MORALE_02,       -200, 
93 : QE1220_001_MORALE_03,        -50, 
94 : QE1220_001_MORALE_04,       -200, 
95 : QE1230_001_MORALE_01,       -200, 
96 : QE1230_001_MORALE_02,       -200, 
97 : QE1240_001_MORALE_01,          0, 
98 : QE1240_001_MORALE_02,       -200, 
99 : QE1240_001_MORALE_03,       -200, 
100 : QE1240_001_MORALE_04,        -50, 
101 : QE1240_001_MORALE_05,       -200, 
102 : QE1240_001_MORALE_06,       -200, 
103 : QE1240_001_MORALE_07,        200, 
104 : QE1240_001_MORALE_08,        200, 

