           km_,   km_money,   km_item1,    km_num1,   km_item2,    km_num2,   km_item3,    km_num3,   km_item4,    km_num4, 
       sSlabel,     eULONG,    eGLOBAL,     eUCHAR,    eGLOBAL,     eUCHAR,    eGLOBAL,     eUCHAR,    eGLOBAL,     eUCHAR, 
 0 : QE1090_P_000,          0,    8912948,          1,         -1,          0,         -1,          0,         -1,          0, 
 1 : QE0210_P_000,          0,    9044263,          1,         -1,          0,         -1,          0,         -1,          0, 
 2 : QE1110_P_000,        500,         -1,          0,         -1,          0,         -1,          0,         -1,          0, 
 3 : QE1120_P_000,       1000,         -1,          0,         -1,          0,         -1,          0,         -1,          0, 
 4 : QE1130_P_000,       1500,         -1,          0,         -1,          0,         -1,          0,         -1,          0, 
 5 : QE1250_P_000,          0,    8912950,          1,         -1,          0,         -1,          0,         -1,          0, 
 6 : QE0170_P_010,          0,    8912903,          1,         -1,          0,         -1,          0,         -1,          0, 
 7 : QE0170_P_020,          0,    8912904,          1,         -1,          0,         -1,          0,         -1,          0, 
 8 : QE0170_P_030,          0,    8912905,          1,         -1,          0,         -1,          0,         -1,          0, 
 9 : QE0170_P_040,          0,    8912906,          1,         -1,          0,         -1,          0,         -1,          0, 
10 : QE0170_P_050,          0,    8912907,          1,         -1,          0,         -1,          0,         -1,          0, 
11 : QE0170_P_060,          0,    8912908,          1,         -1,          0,         -1,          0,         -1,          0, 
12 : QE0170_P_070,          0,    8912909,          1,         -1,          0,         -1,          0,         -1,          0, 
13 : QE0170_P_080,          0,    8912910,          1,         -1,          0,         -1,          0,         -1,          0, 
14 : QE0470_P_020,          0,    8912915,          1,    8912913,          1,    8912932,          1,         -1,          0, 
15 : QE0470_P_021,          0,    8912923,          1,    8912927,          1,    8912929,          1,         -1,          0, 
16 : QE0470_P_022,          0,    8912930,          1,    8912931,          1,    8912936,          1,         -1,          0, 
17 : QE1150_P_000,       4000,         -1,          0,         -1,          0,         -1,          0,         -1,          0, 
18 : QE0230_P_000,          0,    8912916,          1,    8912917,          1,    8912918,          1,         -1,          0, 
19 : QE0230_P_001,          0,    8912919,          1,    8912920,          1,    8912921,          1,         -1,          0, 
20 : QE0250_P_000,          0,    8912925,          1,         -1,          0,         -1,          0,         -1,          0, 
21 : QE0260_P_000,          0,    8912928,          1,         -1,          0,         -1,          0,         -1,          0, 
22 : QE1070_P_000,          0,    8912946,          1,         -1,          0,         -1,          0,         -1,          0, 
23 : QE0220_P_000,          0,    8912914,          1,         -1,          0,         -1,          0,         -1,          0, 
24 : QE1140_P_000,       6000,         -1,          0,         -1,          0,         -1,          0,         -1,          0, 
25 : QE1020_P_000,          0,    8912940,          1,         -1,          0,         -1,          0,         -1,          0, 
26 : QE1020_P_001,          0,    8912945,          1,         -1,          0,         -1,          0,         -1,          0, 
27 : QE1020_P_002,          0,    8912942,          1,         -1,          0,         -1,          0,         -1,          0, 
28 : QE1020_P_003,          0,    8912944,          1,         -1,          0,         -1,          0,         -1,          0, 
29 : QE1020_P_020,          0,    8912943,          1,         -1,          0,         -1,          0,         -1,          0, 
30 : QE1020_P_030,      10000,         -1,          0,         -1,          0,         -1,          0,         -1,          0, 
31 : QE1020_P_040,          0,    9044245,         10,         -1,          0,         -1,          0,         -1,          0, 
32 : QE1080_P_000,          0,    8912947,          1,         -1,          0,         -1,          0,         -1,          0, 
33 : QE0140_P_000,          0,    8912898,          1,         -1,          0,         -1,          0,         -1,          0, 
34 : QE0140_P_001,          0,    8912939,          1,         -1,          0,         -1,          0,         -1,          0, 
35 : QE0140_P_002,          0,    8912941,          1,         -1,          0,         -1,          0,         -1,          0, 
36 : QE0820_P_000,          0,    9043968,          5,    9043969,          4,    9043970,          3,         -1,          0, 
37 : QE0820_P_001,          0,    9043968,         10,    9043970,          5,    9043971,          2,         -1,          0, 
38 : QE0820_P_002,          0,    9043969,         10,    9043971,          3,    9043972,          1,         -1,          0, 
39 : QE1170_P_000,       8000,         -1,          0,         -1,          0,         -1,          0,         -1,          0, 
40 : QE1180_P_000,      12000,         -1,          0,         -1,          0,         -1,          0,         -1,          0, 
41 : QE1190_P_000,      20000,         -1,          0,         -1,          0,         -1,          0,         -1,          0, 
42 : QE1200_P_000,      18000,         -1,          0,         -1,          0,         -1,          0,         -1,          0, 
43 : QE1160_P_000,      20000,         -1,          0,         -1,          0,         -1,          0,         -1,          0, 
44 : QE0180_P_010,          0,    8912911,          1,         -1,          0,         -1,          0,         -1,          0, 
45 : QE0130_P_001,      50000,         -1,          0,         -1,          0,         -1,          0,         -1,          0, 
46 : QE0130_P_002,      80000,         -1,          0,         -1,          0,         -1,          0,         -1,          0, 
47 : QE0130_P_003,     120000,         -1,          0,         -1,          0,         -1,          0,         -1,          0, 
48 : QE0130_P_004,     200000,         -1,          0,         -1,          0,         -1,          0,         -1,          0, 
49 :    ASC_001,        100,    9044235,          1,    9044235,          1,    9044235,          1,    8912948,          1, 
50 :    ASC_002,          0,    9044235,          1,    9044235,          1,    9044235,          1,    9044235,          1, 
51 :    ASC_003,          0,    9044235,          1,         -1,          0,         -1,          0,         -1,          0, 
52 :    ASC_004,       1000,         -1,          0,         -1,          0,         -1,          0,         -1,          0, 

