           km_,   km_money,   km_item1,   km_eqlv1,    km_num1,   km_item2,   km_eqlv2,    km_num2,   km_item3,   km_eqlv3,    km_num3,   km_item4,   km_eqlv4,    km_num4, 
       sSlabel,     eULONG,    eGLOBAL,     eSCHAR,     eUCHAR,    eGLOBAL,     eSCHAR,     eUCHAR,    eGLOBAL,     eSCHAR,     eUCHAR,    eGLOBAL,     eSCHAR,     eUCHAR, 
 0 :    RBC_001,          0,    8913099,         99,          1,    8913022,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
 1 :    GAS_001,          0,    8913025,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
 2 : QE1090_R_000,        100,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
 3 : QE1090_R_001,          0,    8912948,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
 4 : QE1060_R_000,        500,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
 5 : QE1110_R_000,          0,    8978442,         99,          3,    8978445,         99,          3,         -1,         -1,          0,         -1,         -1,          0, 
 6 : QE1120_R_000,          0,    8978432,         99,          7,    8978438,         99,          7,         -1,         -1,          0,         -1,         -1,          0, 
 7 :    CPC_001,          0,    8323120,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
 8 : QE0290_R_000,       1500,    8912930,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
 9 : QE0020_R_000,       1000,    9044243,         99,          2,    9044358,         99,          3,         -1,         -1,          0,         -1,         -1,          0, 
10 : QE1130_R_000,          0,    8978461,         99,          4,    8978466,         99,          4,         -1,         -1,          0,         -1,         -1,          0, 
11 : QE1250_R_000,          0,    8913102,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
12 : QE1250_R_001,          0,    8912950,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
