           km_,   km_namen,    km_icon, km_type_dougu, km_type_material, km_type_mons, km_type_daiji, 
       sSlabel,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 : type_dougu,          1,         41,          1,          0,          0,          0, 
 1 : type_material,          2,         51,          0,          1,          0,          0, 
 2 :  type_mons,          4,         61,          0,          0,          1,          0, 
 3 : type_daiji,          3,         71,          0,          0,          0,          1, 
 4 : type_dougu_yakusou,          5,         42,          1,          0,          0,          0, 
 5 : type_dougu_potion,          6,         43,          1,          0,          0,          0, 
 6 : type_dougu_cream,          7,         44,          1,          0,          0,          0, 
 7 : type_dougu_handhibom,          8,         45,          1,          0,          0,          0, 
 8 : type_dougu_scroll,          9,         46,          1,          0,          0,          0, 
 9 : type_dougu_spatk,         10,         47,          1,          0,          0,          0, 
10 : type_material_kobutu,         11,         52,          0,          1,          0,          0, 
11 : type_material_syokubutu,         12,         53,          0,          1,          0,          0, 
12 : type_material_kikinzoku,         13,         54,          0,          1,          0,          0, 
13 : type_material_tennen,         14,         55,          0,          1,          0,          0, 
14 : type_material_doubutu,         15,         56,          0,          1,          0,          0, 
15 : type_material_etc,         16,         57,          0,          1,          0,          0, 
16 : type_mons_ikedori,         19,         61,          0,          0,          1,          0, 
17 : type_daiji_daijinamono,         17,         71,          0,          0,          0,          1, 
18 : type_daiji_gijyutusyo,         18,         72,          0,          0,          0,          1, 

