           km_,   km_namen,    km_help, km_sys_msg, km_categoryid,    km_icon,  km_sortid,   km_price,    km_sell, km_no_sell, km_no_menu,  km_is_dlc, km_continue_count, km_getskill_magic1, km_getskill_magic2, km_getskill_magic3, km_getskill_magic4, km_getskill_magic5, km_getskill_magic6, km_getskill_magic7, km_getskill_item1, km_getskill_item2, km_getskill_item3, km_getskill_item4, km_getskill_item5, km_getskill_item6, 
       sSlabel,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eUSHORT,    eUSHORT,     eULONG,     eULONG,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 : taimanohiseki,          1,          1,        338,         17,         71,       1006,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 1 : MAR_KEY_001,          2,          2,        338,         17,         71,       1001,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 2 : QE0040_D_000,          3,          3,        338,         17,         71,       1003,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 3 : QE0080_D_000,          4,          4,        338,         17,         71,       1100,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 4 : QE0090_D_000,          5,          5,        338,         17,         71,       1805,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 5 : QE0120_D_001,          6,          6,        338,         17,         71,       1101,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 6 : QE0160_D_000,          7,          7,        338,         17,         71,       2000,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 7 : QE0170_D_000,          8,          8,        338,         17,         71,       1300,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 8 : QE0170_D_001,          9,          9,        338,         17,         71,       1301,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 9 : QE0170_D_002,         10,         10,        338,         17,         71,       1302,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
10 : QE0170_D_003,         11,         11,        338,         17,         71,       1303,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
11 : QE0170_D_004,         12,         12,        338,         17,         71,       1304,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
12 : QE0170_D_005,         13,         13,        338,         17,         71,       1305,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
13 : QE0170_D_006,         14,         14,        338,         17,         71,       1306,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
14 : QE0170_D_007,         15,         15,        338,         17,         71,       1307,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
15 : QE0180_D_000,         16,         16,        338,         17,         71,       1602,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
16 : QE0190_D_000,         17,         17,        338,         17,         71,       1103,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
17 : QE0220_D_000,         18,         18,        338,         17,         71,       1205,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
18 : QE0220_D_001,         19,         19,        338,         17,         71,       1601,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
19 : QE0230_D_000,         20,         20,        338,         17,         71,       1203,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
20 : QE0230_D_001,         21,         21,        338,         17,         71,       1150,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
21 : QE0230_D_002,         22,         22,        338,         17,         71,       1151,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
22 : QE0230_D_003,         23,         23,        338,         17,         71,       1152,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
23 : QE0230_D_004,         24,         24,        338,         17,         71,       1153,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
24 : QE0230_D_005,         25,         25,        338,         17,         71,       1154,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
25 : QE0230_D_006,         26,         26,        338,         17,         71,       1155,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
26 : QE0240_D_000,         27,         27,        338,         17,         71,       1802,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
27 : QE0250_D_000,         28,         28,        338,         17,         71,       1200,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
28 : QE0250_D_001,         29,         29,        338,         17,         71,       1603,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
29 : QE0250_D_002,         30,         30,        338,         17,         71,       1704,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
30 : QE0250_D_003,         31,         31,        338,         17,         71,       1104,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
31 : QE0260_D_000,         32,         32,        338,         17,         71,       1202,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
32 : QE0260_D_001,         33,         33,        338,         17,         71,       1701,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
33 : QE0270_D_000,         34,         34,        338,         17,         71,       1201,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
