           km_,   km_namen,    km_help, km_categoryid,    km_icon,  km_sortid,   km_price,    km_sell, km_no_sell, km_no_menu, km_use_action_1, km_use_action_2, km_use_action_3, 
       sSlabel,    eSSHORT,    eSSHORT,    eSSHORT,    eUSHORT,    eUSHORT,     eULONG,     eULONG,     eUCHAR,     eUCHAR,    eSSHORT,    eSSHORT,    eSSHORT, 
 0 : dougu_yakusou_1_01,          1,          1,          4,         42,       1000,         30,          2,          0,          0,        105,         -1,         -1, 
 1 : dougu_yakusou_1_02,          2,          2,          4,         42,       1001,         80,          4,          0,          0,        107,         -1,         -1, 
 2 : dougu_yakusou_1_03,          3,          3,          4,         42,       1002,        150,          6,          0,          0,        108,         -1,         -1, 
 3 : dougu_yakusou_1_04,          4,          4,          4,         42,       1003,        250,          9,          0,          0,        106,         -1,         -1, 
 4 : dougu_yakusou_1_05,          5,          5,          4,         42,       1004,        360,         13,          0,          0,        109,         -1,         -1, 
 5 : dougu_yakusou_1_06,          6,          6,          4,         42,       1005,        480,         17,          0,          0,        110,         -1,         -1, 
 6 : dougu_yakusou_2_01,          7,          7,          4,         42,       1100,         50,          3,          0,          0,        105,        106,         -1, 
 7 : dougu_yakusou_2_02,          8,          8,          4,         42,       1101,        110,          5,          0,          0,        107,         -1,         -1, 
 8 : dougu_yakusou_2_03,          9,          9,          4,         42,       1102,        210,          8,          0,          0,        108,        109,         -1, 
 9 : dougu_yakusou_2_04,         10,         10,          4,         42,       1103,        520,         18,          0,          0,        110,         -1,         -1, 
10 : dougu_potion_1_01,         11,         11,          5,         43,       2000,         40,          2,          0,          0,        111,        112,        113, 
11 : dougu_potion_1_02,         12,         12,          5,         43,       2001,        210,          8,          0,          0,        114,        115,         -1, 
12 : dougu_potion_1_03,         13,         13,          5,         43,       2002,        310,         11,          0,          0,        116,         -1,         -1, 
13 : dougu_potion_2_01,         14,         14,          5,         43,       2100,        130,          5,          0,          0,        111,         -1,         -1, 
14 : dougu_potion_2_02,         15,         15,          5,         43,       2101,        120,          5,          0,          0,        112,         -1,         -1, 
