           km_,   km_namen,    km_help, km_categoryid,    km_icon,  km_sortid,   km_price,    km_sell, km_no_sell,  km_no_buy, km_no_menu, km_mons_dissec, km_continue_count, 
       sSlabel,    eSSHORT,    eSSHORT,    eSSHORT,    eUSHORT,    eUSHORT,     eULONG,     eULONG,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 : QE0820_M_000,          1,          1,          1,         55,       1000,       3200,         32,          0,          1,          0,          0,          0, 
 1 : QE0820_M_001,          2,          2,          1,         55,       1001,       2500,         25,          0,          1,          0,          0,          0, 
 2 : QE0820_M_002,          3,          3,          1,         53,       1002,       4000,         40,          0,          1,          0,          0,          0, 
 3 : QE0820_M_003,          4,          4,          1,         52,       1003,       1500,         15,          0,          1,          0,          0,          0, 
 4 : QE0820_M_004,          5,          5,          1,         53,       1004,       1200,         12,          0,          1,          0,          0,          0, 
 5 : QE0840_M_000,          6,          6,          1,         56,       1005,        800,          8,          0,          1,          0,          0,          0, 
 6 : QE1020_M_000,          7,          7,          1,         52,       1006,       5000,         50,          0,          1,          0,          0,          0, 
 7 : QEOTHR_M_000,          8,          8,          1,         52,       1007,       3000,         30,          0,          1,          0,          0,          0, 
 8 : nakama_talk_001,          9,          9,          1,         53,       1008,       3300,         33,          0,          1,          0,          0,          0, 
 9 : recipe_weapon_001,         10,         10,         15,         57,       2000,        100,          1,          0,          1,          0,          0,        100, 
10 : recipe_weapon_002,         11,         11,         15,         57,       2001,        200,          2,          0,          1,          0,          0,        100, 
11 : recipe_weapon_003,         12,         12,         15,         57,       2002,        300,          3,          0,          1,          0,          0,        100, 
12 : recipe_weapon_004,         13,         13,         15,         57,       2003,        400,          4,          0,          1,          0,          0,        100, 
13 : recipe_weapon_005,         14,         14,         15,         57,       2004,        500,          5,          0,          1,          0,          0,        100, 
14 : recipe_weapon_006,         15,         15,         15,         57,       2005,        600,          6,          0,          1,          0,          0,        100, 
15 : recipe_weapon_007,         16,         16,         15,         57,       2006,        700,          7,          0,          1,          0,          0,        100, 
16 : recipe_weapon_008,         17,         17,         15,         57,       2007,        800,          8,          0,          1,          0,          0,        100, 
17 : recipe_weapon_009,         18,         18,         15,         57,       2008,        900,          9,          0,          1,          0,          0,        100, 
18 : recipe_weapon_010,         19,         19,         15,         57,       2009,       1000,         10,          0,          1,          0,          0,        100, 
19 : recipe_weapon_011,         20,         20,         15,         57,       2010,       1100,         11,          0,          1,          0,          0,        100, 
