           km_,   km_namen,    km_help, km_categoryid,    km_icon,  km_sortid,   km_price,    km_sell, km_no_sell, km_no_menu,   km_item1,    km_num1,   km_odds1,   km_item2,    km_num2,   km_odds2,   km_item3,    km_num3,   km_odds3,   km_item4,    km_num4,   km_odds4, km_sozai_type1, km_sozai_type2, km_sozai_type3, km_sozai_type4, km_sozai_type5, km_sozai_type6, km_sozai_type7, km_sozai_type8, 
       sSlabel,    eSSHORT,    eSSHORT,    eSSHORT,    eUSHORT,    eUSHORT,     eULONG,     eULONG,     eUCHAR,     eUCHAR,    eGLOBAL,     eUCHAR,     eUCHAR,    eGLOBAL,     eUCHAR,     eUCHAR,    eGLOBAL,     eUCHAR,     eUCHAR,    eGLOBAL,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 : mons_MF0010_100_clr0,          1,          1,         16,         61,       1000,        400,        182,          0,          0,    9044494,          3,         40,    9044495,          3,         40,    9044399,          3,         40,    9044450,          2,         30,          1,          0,          0,          0,          1,          1,          0,          0, 
 1 : mons_MF0010_100_clr1,          2,          2,         16,         61,       1001,       3840,       1745,          0,          0,    9044401,          3,         40,    9044425,          3,         40,    9044496,          2,         30,    9044497,          1,         10,          1,          0,          0,          0,          1,          1,          0,          0, 
 2 : mons_MF0010_100_clr2,          3,          3,         16,         61,       1002,       4160,       1891,          0,          0,    9044383,          3,         40,    9044425,          3,         40,    9044496,          2,         30,    9044497,          1,         10,          1,          0,          0,          0,          1,          1,          0,          0, 
 3 : mons_MF0011_120_clr0,          4,          4,         16,         61,       1003,        600,        273,          0,          0,    9044494,          4,         50,    9044495,          4,         50,    9044399,          4,         50,    9044450,          3,         40,          1,          0,          0,          0,          1,          1,          0,          0, 
 4 : mons_MF0011_120_clr1,          5,          5,         16,         61,       1004,       4800,       2182,          0,          0,    9044401,          4,         50,    9044385,          3,         40,    9044496,          3,         40,    9044497,          1,         20,          1,          0,          0,          0,          1,          1,          0,          0, 
 5 : mons_MF0011_120_clr2,          6,          6,         16,         61,       1005,       4800,       2182,          0,          0,    9044383,          4,         50,    9044385,          3,         40,    9044496,          3,         40,    9044497,          1,         20,          1,          0,          0,          0,          1,          1,          0,          0, 
 6 : mons_MF0010_NM_001,          7,          7,         16,         61,       1010,      27900,      12680,          0,          0,    9044497,          1,         20,    9044385,          3,         40,    9044410,          2,         30,    9044175,          1,          5,          3,          0,          0,          0,          3,          3,          0,          1, 
 7 : mons_MF0010_NM_002,          8,          8,         16,         61,       1011,       1650,        750,          0,          0,    9044495,          4,         50,    9044450,          3,         40,    9044409,          2,         30,    9044384,          2,         30,          2,          0,          0,          0,          2,          2,          0,          1, 
 8 : mons_MF0010_NM_003,          9,          9,         16,         61,       1012,      13440,       6110,          0,          0,    9044450,          4,         50,    9044425,          3,         40,    9044497,          1,         20,    9044171,          1,          5,          3,          0,          0,          0,          3,          3,          0,          1, 
 9 : mons_MF0010_NM_004,         10,         10,         16,         61,       1013,      12670,       5760,          0,          0,    9044450,          4,         50,    9044425,          3,         40,    9044497,          1,         20,    9044171,          1,          5,          3,          0,          0,          0,          3,          3,          0,          1, 
10 : mons_MF0010_NM_005,         11,         11,         16,         61,       1014,      12930,       5880,          0,          0,    9044497,          1,         20,    9044385,          3,         40,    9044410,          2,         30,    9044173,          1,          5,          2,          0,          0,          0,          2,          2,          0,          1, 
11 : mons_MF0010_NM_006,         12,         12,         16,         61,       1015,      13820,       6280,          0,          0,    9044450,          4,         50,    9044383,          3,         40,    9044497,          1,         20,    9044171,          1,          5,          3,          0,          0,          0,          3,          3,          0,          1, 
12 : mons_MF0010_NM_007,         13,         13,         16,         61,       1016,      12670,       5760,          0,          0,    9044450,          4,         50,    9044383,          3,         40,    9044497,          1,         20,    9044171,          1,          5,          3,          0,          0,          0,          3,          3,          0,          1, 
13 : mons_MF0010_NM_008,         14,         14,         16,         61,       1017,       9890,       4500,          0,          0,    9044496,          3,         40,    9044497,          1,         20,    9044401,          3,         40,    9044174,          1,          5,          2,          0,          0,          0,          2,          2,          0,          1, 
14 : mons_MG0010_100_clr0,         15,         15,         16,         61,       1100,       1600,        727,          0,          0,    9044430,          3,         40,    9044456,          3,         40,    9044314,          1,         10,    9044304,          1,         10,          1,          0,          0,          0,          1,          0,          1,          0, 
15 : mons_MG0010_100_clr1,         16,         16,         16,         61,       1101,       7680,       3491,          0,          0,    9044465,          3,         40,    9044413,          3,         40,    9044508,          2,         30,    9044174,          1,          3,          1,          0,          0,          0,          1,          0,          1,          0, 
16 : mons_MG0010_100_clr2,         17,         17,         16,         61,       1102,      12480,       5673,          0,          0,    9044363,          2,         30,    9044483,          3,         40,    9044492,          2,         30,    9044181,          1,          3,          1,          0,          0,          0,          1,          0,          1,          0, 
17 : mons_MG0010_NM_001,         18,         18,         16,         61,       1110,      27140,      12340,          0,          0,    9044413,          4,         50,    9044483,          3,         40,    9044492,          2,         30,    9044176,          1,          5,          2,          0,          0,          0,          2,          0,          2,          1, 
18 : mons_MG0010_NM_002,         19,         19,         16,         61,       1111,       6850,       3110,          0,          0,    9044430,          4,         50,    9044456,          4,         50,    9044314,          2,         30,    9044304,          2,         30,          2,          0,          0,          0,          2,          0,          2,          1, 
19 : mons_MG0010_NM_003,         20,         20,         16,         61,       1112,      13180,       5990,          0,          0,    9044456,          4,         50,    9044409,          4,         50,    9044507,          3,         40,    9044169,          1,          5,          3,          0,          0,          0,          3,          0,          3,          1, 
20 : mons_MG0010_NM_004,         21,         21,         16,         61,       1113,      39550,      17980,          0,          0,    9044483,          4,         50,    9044492,          3,         40,    9044414,          3,         40,    9044188,          1,          5,          2,          0,          0,          0,          2,          0,          2,          1, 
21 : mons_MG0010_NM_005,         22,         22,         16,         61,       1114,      50690,      23040,          0,          0,    9044363,          4,         50,    9044483,          3,         40,    9044492,          2,         30,    9044178,          1,          5,          3,          0,          0,          0,          3,          0,          3,          1, 
22 : mons_MG0010_NM_006,         23,         23,         16,         61,       1115,      25860,      11750,          0,          0,    9044456,          4,         50,    9044409,          4,         50,    9044508,          1,         10,    9044169,          1,          5,          3,          0,          0,          0,          3,          0,          3,          1, 
23 : mons_MG0010_NM_007,         24,         24,         16,         61,       1116,      13060,       5940,          0,          0,    9044409,          4,         50,    9044465,          3,         40,    9044508,          2,         30,    9044169,          1,          5,          2,          0,          0,          0,          2,          0,          2,          1, 
24 : mons_MG0010_NM_008,         25,         25,         16,         61,       1117,      26620,      12100,          0,          0,    9044465,          4,         50,    9044483,          3,         40,    9044492,          2,         30,    9044176,          1,          5,          2,          0,          0,          0,          2,          0,          2,          1, 
25 : mons_MJ0010_100_clr0,         26,         26,         16,         61,       1200,        495,        225,          0,          0,    9044515,          3,         40,    9044423,          3,         40,    9044395,          3,         40,    9044521,          1,          5,          1,          0,          0,          1,          0,          1,          0,          0, 
26 : mons_MJ0010_100_clr1,         27,         27,         16,         61,       1201,       1188,        540,          0,          0,    9044399,          3,         40,    9044451,          3,         40,    9044382,          3,         40,    9044522,          1,          5,          1,          0,          0,          1,          0,          1,          0,          0, 
27 : mons_MJ0010_100_clr2,         28,         28,         16,         61,       1202,       5148,       2340,          0,          0,    9044412,          3,         40,    9044398,          3,         40,    9044517,          2,         30,    9044523,          1,          5,          1,          0,          0,          1,          0,          1,          0,          0, 
28 : mons_MJ0011_120_clr0,         29,         29,         16,         61,       1203,       5940,       2700,          0,          0,    9044419,          4,         50,    9044517,          3,         40,    9044518,          1,         20,    9044524,          1,         10,          1,          0,          0,          1,          0,          1,          0,          0, 
29 : mons_MJ0011_120_clr1,         30,         30,         16,         61,       1204,       1485,        675,          0,          0,    9044399,          3,         40,    9044451,          3,         40,    9044409,          2,         30,    9044522,          1,          5,          1,          0,          0,          1,          0,          1,          0,          0, 
30 : mons_MJ0011_120_clr2,         31,         31,         16,         61,       1205,       5940,       2700,          0,          0,    9044432,          3,         40,    9044419,          3,         40,    9044517,          2,         30,    9044523,          1,          5,          1,          0,          0,          1,          0,          1,          0,          0, 
31 : mons_MJ0010_NM_001,         32,         32,         16,         61,       1210,       8550,       3890,          0,          0,    9044419,          3,         40,    9044517,          2,         30,    9044521,          1,         20,    9044169,          1,          5,          3,          0,          0,          3,          0,          3,          0,          1, 
32 : mons_MJ0010_NM_002,         33,         33,         16,         61,       1211,      16470,       7490,          0,          0,    9044419,          4,         50,    9044518,          1,         20,    9044476,          2,         30,    9044176,          1,          5,          2,          0,          0,          2,          0,          2,          0,          1, 
33 : mons_MJ0010_NM_003,         34,         34,         16,         61,       1212,       7920,       3600,          0,          0,    9044384,          4,         50,    9044518,          1,         10,    9044522,          1,         10,    9044169,          1,          5,          3,          0,          0,          3,          0,          3,          0,          1, 
34 : mons_MJ0010_NM_004,         35,         35,         16,         61,       1213,      25900,      11770,          0,          0,    9044476,          3,         40,    9044388,          3,         40,    9044381,          2,         30,    9044179,          1,          5,          2,          0,          0,          2,          0,          2,          0,          1, 
35 : mons_MJ0010_NM_005,         36,         36,         16,         61,       1214,      16790,       7630,          0,          0,    9044517,          3,         40,    9044518,          1,         20,    9044522,          1,         20,    9044176,          1,          5,          2,          0,          0,          2,          0,          2,          0,          1, 
36 : mons_MJ0010_NM_006,         37,         37,         16,         61,       1215,       2080,        950,          0,          0,    9044515,          4,         50,    9044451,          4,         50,    9044409,          2,         30,    9044384,          2,         30,          2,          0,          0,          2,          0,          2,          0,          1, 
37 : mons_MJ0010_NM_007,         38,         38,         16,         61,       1216,      17420,       7920,          0,          0,    9044416,          4,         50,    9044476,          3,         40,    9044523,          1,         10,    9044174,          1,          5,          2,          0,          0,          2,          0,          2,          0,          1, 
38 : mons_MJ0010_NM_008,         39,         39,         16,         61,       1217,      26140,      11880,          0,          0,    9044476,          3,         40,    9044523,          1,         20,    9044381,          2,         30,    9044188,          1,          5,          2,          0,          0,          2,          0,          2,          0,          1, 
39 : mons_MJ1010_100_clr0,         40,         40,         16,         61,       1300,        405,        184,          0,          0,    9044525,          3,         40,    9044451,          3,         40,    9044382,          3,         40,    9044531,          1,          3,          1,          0,          1,          0,          0,          0,          1,          0, 
40 : mons_MJ1010_100_clr1,         41,         41,         16,         61,       1301,       1944,        884,          0,          0,    9044526,          3,         40,    9044459,          3,         40,    9044412,          1,         20,    9044532,          1,          5,          1,          0,          1,          0,          0,          0,          1,          0, 
41 : mons_MJ1010_100_clr2,         42,         42,         16,         61,       1302,       6318,       2872,          0,          0,    9044476,          2,         30,    9044527,          3,         40,    9044528,          1,         10,    9044533,          1,          5,          1,          0,          1,          0,          0,          0,          1,          0, 
42 : mons_MJ1011_120_clr0,         43,         43,         16,         61,       1303,        607,        276,          0,          0,    9044525,          3,         40,    9044451,          2,         30,    9044531,          1,          5,         -1,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0, 
