           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       3450,          0,          0, 
 1 : dougu_yakusou_1_01,       3451,          0,          0, 
 2 : dougu_yakusou_1_02,       3452,          0,          0, 
 3 : dougu_yakusou_1_03,       3453,          0,          0, 
 4 : dougu_yakusou_1_04,       3454,          0,          0, 
 5 : dougu_yakusou_1_05,       3455,          0,          0, 
 6 : dougu_yakusou_1_06,       3456,          0,          0, 
 7 : dougu_yakusou_2_01,       3457,          0,          0, 
 8 : dougu_yakusou_2_02,       3458,          0,          0, 
 9 : dougu_yakusou_2_03,       3459,          0,          0, 
10 : dougu_yakusou_2_04,       3460,          0,          0, 
11 : dougu_potion_1_01,       3461,          0,          0, 
12 : dougu_potion_1_02,       3462,          0,          0, 
13 : dougu_potion_1_03,       3463,          0,          0, 
14 : dougu_potion_2_01,       3464,          0,          0, 
15 : dougu_potion_2_02,       3465,          0,          0, 
16 : dougu_potion_2_03,       3466,          0,          0, 
17 : dougu_potion_2_04,       3467,          0,          0, 
18 : dougu_potion_2_05,       3468,          0,          0, 
19 : dougu_potion_2_06,       3469,          0,          0, 
20 : dougu_cream_1_01,       3470,          0,          0, 
21 : dougu_cream_1_02,       3471,          0,          0, 
22 : dougu_cream_1_03,       3472,          0,          0, 
23 : dougu_cream_1_04,       3473,          0,          0, 
24 : dougu_cream_2_01,       3474,          0,          0, 
25 : dougu_cream_2_02,       3475,          0,          0, 
26 : dougu_cream_2_03,       3476,          0,          0, 
27 : dougu_cream_2_04,       3477,          0,          0, 
28 : dougu_cream_2_05,       3478,          0,          0, 
29 : dougu_cream_2_06,       3479,          0,          0, 
30 : dougu_handhibom_1_01,       3480,          0,          0, 
31 : dougu_handhibom_1_02,       3481,          0,          0, 
32 : dougu_handhibom_1_03,       3482,          0,          0, 
33 : dougu_handhibom_1_04,       3483,          0,          0, 
34 : dougu_handhibom_1_05,       3484,          0,          0, 
35 : dougu_handhibom_2_01,       3485,          0,          0, 
36 : dougu_handhibom_2_02,       3486,          0,          0, 
37 : dougu_handhibom_2_03,       3487,          0,          0, 
38 : dougu_handhibom_2_04,       3488,          0,          0, 
39 : dougu_handhibom_2_05,       3489,          0,          0, 
40 : dougu_handhibom_2_06,       3490,          0,          0, 
41 : dougu_scroll_1_01,       3491,          0,          0, 
42 : dougu_scroll_1_02,       3492,          0,          0, 
43 : dougu_scroll_1_03,       3493,          0,          0, 
44 : dougu_scroll_1_04,       3494,          0,          0, 
45 : dougu_scroll_2_01,       3495,          0,          0, 
46 : dougu_scroll_2_02,       3496,          0,          0, 
47 : dougu_scroll_2_03,       3497,          0,          0, 
48 : dougu_scroll_2_04,       3498,          0,          0, 
49 : dougu_scroll_2_05,       3499,          0,          0, 
50 : dougu_scroll_2_06,       3500,          0,          0, 
51 : dougu_spatk_1_01,       3501,          0,          0, 
52 : dougu_spatk_1_02,       3502,          0,          0, 
53 : dougu_spatk_1_03,       3503,          0,          0, 
54 : dougu_spatk_2_01,       3504,          0,          0, 
55 : dougu_spatk_2_02,       3505,          0,          0, 
56 : dougu_spatk_2_03,       3506,          0,          0, 
57 : dougu_spatk_2_04,       3507,          0,          0, 
58 : dougu_spatk_2_05,       3508,          0,          0, 
59 : QE0820_S_000,       3509,          0,          0, 
60 : QE1020_S_000,       3510,          0,          0, 

