           km_, km_sp_ctrl_15, km_sp_ctrl_14, km_sp_ctrl_13, km_sp_ctrl_12, km_sp_ctrl_11, km_sp_ctrl_10, km_sp_ctrl_9, km_sp_ctrl_8, km_sp_ctrl_7, km_sp_ctrl_6, km_sp_ctrl_5, km_sp_ctrl_4, km_sp_ctrl_3, km_sp_ctrl_2, km_sp_ctrl_1, km_sp_ctrl_0, km_majidesu, km_action_attr_31, km_action_attr_30, km_action_attr_29, km_action_attr_28, km_action_attr_27, km_action_attr_26, km_action_attr_25, km_action_attr_24, km_action_attr_23, km_action_attr_22, km_action_attr_21, km_action_attr_20, km_action_attr_19, km_action_attr_18, km_action_attr_17, km_action_attr_16, km_action_attr_15, km_action_attr_14, km_action_attr_13, km_action_attr_12, km_action_attr_11, km_action_attr_10, km_action_attr_9, km_action_attr_8, km_action_attr_7, km_action_attr_6, km_action_attr_5, km_action_attr_4, km_action_attr_3, km_action_attr_2, km_action_attr_1, km_action_attr_0, 
       sSlabel,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     eUCHAR,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit, 
 0 :   CANT_USE,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 1 :     Attack,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 2 :  ST_ATTACK,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 3 :    HP_CURE,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 4 :    AP_CURE,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 5 : STATUS_CURE,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 6 : ATK_SUPPORT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 7 : DEF_SUPPORT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 8 : FYS_ATTACK,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
