           km_, km_check_num,   km_namen, km_rank_under, km_rank_top,    km_link, 
       sSlabel,     eUCHAR,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT, 
 0 : arts_one_one,         10,        258,          6,         15,         -1, 
 1 :          @,          0,        259,         15,         24,         -1, 
 2 :          @,          0,        260,         24,         33,         -1, 
 3 :          @,          0,        261,         33,         42,         -1, 
 4 :          @,          0,        262,         42,        999,         -1, 
 5 :          @,          0,        283,         17,         26,         -1, 
 6 :          @,          0,        284,         26,         35,         -1, 
 7 :          @,          0,        285,         35,         44,         -1, 
 8 :          @,          0,        286,         44,         53,         -1, 
 9 :          @,          0,        287,         53,        999,         -1, 
10 : arts_one_one_p1,         10,        263,         15,         24,         -1, 
11 :          @,          0,        264,         24,         33,         -1, 
12 :          @,          0,        265,         33,         42,         -1, 
13 :          @,          0,        266,         42,         51,         -1, 
14 :          @,          0,        267,         51,        999,         -1, 
15 :          @,          0,        288,         26,         35,         -1, 
16 :          @,          0,        289,         35,         44,         -1, 
17 :          @,          0,        290,         44,         53,         -1, 
18 :          @,          0,        291,         53,         62,         -1, 
19 :          @,          0,        292,         62,        999,         -1, 
20 : arts_one_one_p2,         10,        268,         24,         33,         -1, 
21 :          @,          0,        269,         33,         42,         -1, 
22 :          @,          0,        270,         42,         51,         -1, 
23 :          @,          0,        271,         51,         60,         -1, 
24 :          @,          0,        272,         60,        999,         -1, 
25 :          @,          0,        293,         35,         44,         -1, 
26 :          @,          0,        294,         44,         53,         -1, 
27 :          @,          0,        295,         53,         62,         -1, 
28 :          @,          0,        296,         62,         71,         -1, 
29 :          @,          0,        297,         71,        999,         -1, 
30 : arts_one_one_m1,         10,        273,         15,         24,         -1, 
31 :          @,          0,        274,         24,         33,         -1, 
32 :          @,          0,        275,         33,         42,         -1, 
33 :          @,          0,        276,         42,         51,         -1, 
34 :          @,          0,        277,         51,        999,         -1, 
35 :          @,          0,        298,         26,         35,         -1, 
36 :          @,          0,        299,         35,         44,         -1, 
