           km_,      km_id, 
       sSlabel,     eUCHAR, 
 0 : object_000,          0, 
 1 : object_u_001,          0, 
 2 : object_u_002,          0, 
 3 : object_u_003,          0, 
 4 : object_u_004,          0, 
 5 : object_u_005,          0, 
 6 : object_u_006,          0, 
 7 : object_u_007,          0, 
 8 : object_u_008,          0, 
 9 : object_u_009,          0, 
10 : object_u_010,          0, 
11 : object_u_011,          0, 
12 : object_u_012,          0, 
13 : object_n_001,          0, 
14 : object_n_002,          0, 
15 : object_n_003,          0, 
16 : object_n_004,          0, 
17 : object_n_005,          0, 
18 : object_n_006,          0, 
19 : object_n_007,          0, 
20 : object_n_008,          0, 
21 : object_n_009,          0, 
22 : object_n_010,          0, 
23 : object_n_011,          0, 
24 : object_n_012,          0, 

