           km_, km_check_num, km_command, km_logic_target_unit, km_logic_ctrl_15, km_logic_ctrl_14, km_logic_ctrl_13, km_logic_ctrl_12, km_logic_ctrl_11, km_logic_ctrl_10, km_logic_ctrl_9, km_logic_ctrl_8, km_logic_ctrl_7, km_logic_ctrl_6, km_logic_ctrl_5, km_logic_ctrl_4, km_logic_ctrl_3, km_logic_ctrl_2, km_logic_ctrl_1, km_logic_ctrl_0,   km_ratio,    km_tgt1,   km_cond1,  km_arg1_1,  km_arg1_2,    km_tgt2,   km_cond2,  km_arg2_1,  km_arg2_2,    km_tgt3,   km_cond3,  km_arg3_1,  km_arg3_2,  km_ex_tgt, km_ex_cond, km_ex_arg_1, km_ex_arg_2, 
       sSlabel,     eUCHAR,    eSSHORT,    eSSHORT,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     eUCHAR,    eSSHORT,    eSSHORT,    eGLOBAL,    eSSHORT,    eSSHORT,    eSSHORT,    eGLOBAL,    eSSHORT,    eSSHORT,    eSSHORT,    eGLOBAL,    eSSHORT,    eSSHORT,    eSSHORT,    eGLOBAL,    eSSHORT, 
 0 :       None,          1,          8,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         13,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 1 :     ANMOKU,          2,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 2 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 3 : ev0310_gaebolg,          5,          4,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          1,        100,         18,         10,         -1,         -1,         13,        556,   16974640,        999,         13,        394,         30,         -1,         13,        672,         30,         -1, 
 4 :          @,          0,          4,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          1,        100,         15,         10,         -1,         -1,         13,        556,   16974640,        999,         13,        394,         30,         -1,         13,        672,         30,         -1, 
 5 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 6 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 7 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 8 : CALL_FRIEND_PRE01,          1,          5,          6,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         13,        482,          4,         -1,         -1,         -1,         -1,         -1,         13,        555,          3,          8,          0,        675,          3,          1, 
