           km_, km_check_num, km_btl_action, km_logic_ctrl_15, km_logic_ctrl_14, km_logic_ctrl_13, km_logic_ctrl_12, km_logic_ctrl_11, km_logic_ctrl_10, km_logic_ctrl_9, km_logic_ctrl_8, km_logic_ctrl_7, km_logic_ctrl_6, km_logic_ctrl_5, km_logic_ctrl_4, km_logic_ctrl_3, km_logic_ctrl_2, km_logic_ctrl_1, km_logic_ctrl_0,   km_ratio,    km_tgt1,   km_cond1,  km_arg1_1,  km_arg1_2,    km_tgt2,   km_cond2,  km_arg2_1,  km_arg2_2,    km_tgt3,   km_cond3,  km_arg3_1,  km_arg3_2,  km_ex_tgt, km_ex_cond, km_ex_arg_1, km_ex_arg_2, 
       sSlabel,     eUCHAR,    eGLOBAL,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     eUCHAR,    eSSHORT,    eSSHORT,    eGLOBAL,    eSSHORT,    eSSHORT,    eSSHORT,    eGLOBAL,    eSSHORT,    eSSHORT,    eSSHORT,    eGLOBAL,    eSSHORT,    eSSHORT,    eSSHORT,    eGLOBAL,    eSSHORT, 
 0 :     ANMOKU,          1,    4915203,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 1 :       None,          1,    4718598,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 2 :      ev_01,          2,    4718620,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,        100,          4,        158,         -1,         -1,          1,        146,   17039366,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 3 :          @,          0,    4718598,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,        100,          1,          0,         -1,         -1,          4,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 4 : ev0310_gaebolg,          2,    4915364,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,        100,          4,        158,         -1,         -1,          1,        146,   17039361,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 5 :          @,          0,    4718598,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,        100,          1,          0,         -1,         -1,          4,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 6 : CALL_FRIEND,          1,    4915475,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          1,        157,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 7 : OVER_DRIVE,          1,    4915482,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          1,        157,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 8 : fifty_arts,          2,    9175077,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
