           km_, km_saisyu_type,   km_item1,   km_odds1,   km_item2,   km_odds2,   km_item3,   km_odds3,   km_item4,   km_odds4, km_rare_item, km_rare_odds, 
       sSlabel,    eSSHORT,    eGLOBAL,     eUCHAR,    eGLOBAL,     eUCHAR,    eGLOBAL,     eUCHAR,    eGLOBAL,     eUCHAR,    eGLOBAL,     eUCHAR, 
 0 : RBC_0101_M001,          0,         -2,         10,    9044251,         55,    9044235,         35,         -1,          0,    9044358,         10, 
 1 : RBC_0101_M002,          0,         -2,         10,    9044251,         55,    9044235,         35,         -1,          0,    9044358,         10, 
 2 : RBC_0201_H001,         32,         -2,         10,    9044358,         80,    9044495,         10,         -1,          0,    9044318,         10, 
 3 : GAS_0101_C001,          8,         -2,         10,    9044327,         80,    9044682,         10,         -1,          0,    9044358,         10, 
 4 : GAS_0101_M002,          0,         -2,         10,    9044235,         50,    9044263,         20,    9044243,         20,    9044358,         10, 
 5 : GAS_0101_H001,         24,         -2,         10,    9044358,         80,    9044494,         10,         -1,          0,    9044318,         10, 
 6 : DLP_0101_C001,          8,         -2,         10,    9044327,         70,    9044330,         20,         -1,          0,    9044358,         10, 
 7 : DLP_0101_C002,          8,         -2,         10,    9044330,         80,    9044682,         10,         -1,          0,    9044358,         10, 
 8 : DLP_0101_C003,          8,         -2,         10,    9044327,         40,    9044330,         40,    9044682,         10,    9044358,         10, 
 9 : DLP_0101_C004,          8,         -2,         10,    9044330,         40,    9044327,         40,    9044358,         10,    9044340,         10, 
10 : DLP_0101_M001,          0,         -2,         10,    9044251,         80,    9044515,         10,         -1,          0,    9044318,         10, 
11 : DLP_0101_M002,          0,         -2,         10,    9044235,         80,    9044525,         10,         -1,          0,    9044318,         10, 
12 : DLP_0101_M003,          0,         -2,         10,    9044235,         40,    9044251,         30,    9044263,         20,    9044318,         10, 
13 : GAS_0101_M001,          0,    9044263,        100,         -1,          0,         -1,          0,         -1,          0,         -1,          0, 
14 : BDL_0101_M001,          0,         -2,         10,    9044235,         70,    9044263,         20,         -1,          0,    9044358,         10, 
15 : BDL_0101_M002,          0,         -2,         10,    9044251,         70,    9044263,         20,         -1,          0,    9044358,         10, 
16 : BDL_0201_M001,          0,         -2,         10,    9044243,         80,    9044458,         10,         -1,          0,    9044358,         10, 
17 : BDL_0301_H001,         24,         -2,         10,    9044358,         80,    9044451,         10,         -1,          0,    9044354,         10, 
18 : RBC_0101_M004,          0,         -2,         10,    9044243,         70,    9044251,         20,         -1,          0,    9044358,         10, 
19 : RBC_0101_H002,         32,         -2,         10,    9044358,         80,    9044399,         10,         -1,          0,    9044354,         10, 
20 : RBC_0301_M001,          0,         -2,         10,    9044243,         70,    9044263,         20,         -1,          0,    9044358,         10, 
21 : RBC_0301_M002,          0,         -2,         10,    9044243,         40,    9044263,         30,    9044236,         20,    9044358,         10, 
22 : RBC_0301_H001,         32,         -2,         10,    9044358,         80,    9044251,         10,         -1,          0,    9044354,         10, 
23 : BTE_0101_C001,          8,         -2,         10,    9044330,         50,    9044340,         40,         -1,          0,    9044358,         10, 
24 : BTE_0101_C002,          8,         -2,         10,    9044340,         80,    9044415,         10,         -1,          0,    9044358,         10, 
25 : BTE_0101_C003,          8,         -2,         10,    9044340,         80,    9044345,         10,         -1,          0,    9044358,         10, 
26 : BTE_0101_C004,          8,         -2,         10,    9044340,         80,    9044411,         10,         -1,          0,    9044358,         10, 
27 : BTE_0101_M001,          0,         -2,         10,    9044263,         30,    9044243,         30,    9044236,         30,    9044318,         10, 
28 : BTE_0101_M002,          0,         -2,         10,    9044243,         20,    9044236,         50,    9044263,         20,    9044318,         10, 
29 : SBC_0102_C001,          8,         -2,         10,    9044345,         80,    9044382,         10,         -1,          0,    9044324,         10, 
30 : SBC_0102_C002,          8,         -2,         10,    9044345,         80,    9044683,         10,         -1,          0,    9044324,         10, 
31 : SBC_0102_M001,          0,         -2,         10,    9044263,         50,    9044243,         40,         -1,          0,    9044358,         10, 
32 : SBC_0102_M002,          0,         -2,         10,    9044263,         50,    9044243,         40,         -1,          0,    9044358,         10, 
33 : SBC_0102_M003,          0,         -2,         10,    9044263,         80,    9044624,         10,         -1,          0,    9044358,         10, 
34 : SBC_0102_M004,          0,         -2,         10,    9044263,         40,    9044236,         50,         -1,          0,    9044358,         10, 
35 : SBC_0102_M005,          0,         -2,         10,    9044243,         40,    9044236,         50,         -1,          0,    9044358,         10, 
36 : SBC_0102_H001,         32,         -2,         10,    9044324,         80,    9044420,         10,         -1,          0,    9043981,         10, 
37 : SBC_0201_M001,          0,         -2,         10,    9044236,         50,    9044264,         40,         -1,          0,    9044358,         10, 
38 : ETB_0101_C001,          9,         -2,         10,    9044334,         80,    9044420,         10,         -1,          0,    9044348,         10, 
39 : ETB_0101_C002,          9,         -2,         10,    9044346,         80,    9044443,         10,         -1,          0,    9044348,         10, 
40 : ETB_0101_C003,          9,         -2,         10,    9044334,         50,    9044346,         40,         -1,          0,    9044348,         10, 
41 : ETB_0101_C004,          9,         -2,         10,    9044334,         40,    9044346,         50,         -1,          0,    9044348,         10, 
42 : ETB_0101_M001,          1,         -2,         10,    9044236,         70,    9044264,         20,         -1,          0,    9044304,         10, 
43 : ETB_0101_M002,          1,         -2,         10,    9044236,         50,    9044264,         40,         -1,          0,    9044191,         10, 
44 : BHK_0101_M001,          1,         -2,         10,    9044236,         70,    9044264,         20,         -1,          0,    9044314,         10, 
45 : BHK_0101_M002,          1,         -2,         10,    9044236,         50,    9044264,         40,         -1,          0,    9044191,         10, 
46 : BHK_0102_M001,          1,         -2,         10,    9044264,         80,    9044450,         10,         -1,          0,    9044304,         10, 
47 : BHK_0102_H001,         33,         -2,         10,    9044236,         40,    9044264,         30,    9044192,         20,    9044194,         10, 
48 : BHK_0102_H002,         33,         -2,         10,    9044236,         40,    9044264,         30,    9044192,         20,    9044194,         10, 
49 : BHK_0104_M001,          1,         -2,         10,    9044264,         80,    9044400,         10,         -1,          0,    9044304,         10, 
50 : GSD_0101_C001,          9,         -2,         10,    9044334,         80,    9044459,         10,         -1,          0,    9044348,         10, 
51 : GSD_0201_C001,          9,         -2,         10,    9044334,         80,    9044407,         10,         -1,          0,    9044348,         10, 
52 : GSD_0201_C002,          9,         -2,         10,    9044346,         80,    9044418,         10,         -1,          0,    9044348,         10, 
53 : GSD_0201_C003,          9,         -2,         10,    9044334,         70,    9044346,         20,         -1,          0,    9044331,         10, 
54 : GSD_0201_C004,          9,         -2,         10,    9044334,         70,    9044348,         20,         -1,          0,    9044331,         10, 
55 : GSD_0201_C005,          9,         -2,         10,    9044346,         70,    9044348,         20,         -1,          0,    9044331,         10, 
56 : GSD_0201_H001,         33,         -2,         10,    9044354,         50,    9044192,         40,         -1,          0,    9044193,         10, 
57 : GSD_0301_C001,          9,         -2,         10,    9044346,         70,    9044324,         20,         -1,          0,    9044348,         10, 
58 : GSD_0301_M001,          1,         -2,         10,    9044392,         80,    9044251,         10,         -1,          0,    9044314,         10, 
59 : GSD_0301_H001,         33,         -2,         10,    9044354,         80,    9044459,         10,         -1,          0,    9044314,         10, 
60 : GSD_0301_H002,         25,         -2,         10,    9044365,         70,    9044191,         20,         -1,          0,    9044193,         10, 
61 : GSS_0102_C001,          9,         -2,         10,    9044337,         70,    9044334,         20,         -1,          0,    9044369,         10, 
62 : GSS_0102_C002,          9,         -2,         10,    9044337,         80,    9044438,         10,         -1,          0,    9044369,         10, 
63 : GSS_0102_C003,          9,         -2,         10,    9044337,         80,    9044418,         10,         -1,          0,    9044331,         10, 
64 : GSS_0102_H001,         33,         -2,         10,    9044354,         80,    9044379,         10,         -1,          0,    9044304,         10, 
65 : GSS_0102_H002,         33,         -2,         10,    9044354,         50,    9044346,         40,         -1,          0,    9044304,         10, 
66 : GSS_0102_H003,         33,         -2,         10,    9044354,         50,    9044346,         40,         -1,          0,    9044314,         10, 
67 : GSS_0102_H004,         33,         -2,         10,    9044354,         40,    9044264,         50,         -1,          0,    9044304,         10, 
68 : STR_0101_M001,          1,         -2,         10,    9044253,         60,    9044362,         30,         -1,          0,    9044319,         10, 
69 : STR_0101_M002,          1,         -2,         10,    9044236,         50,    9044253,         40,         -1,          0,    9044304,         10, 
70 : STR_0101_M003,          1,         -2,         10,    9044253,         80,    9044404,         10,         -1,          0,    9044304,         10, 
71 : STR_0101_M004,          1,         -2,         10,    9044253,         80,    9044395,         10,         -1,          0,    9044314,         10, 
72 : STR_0101_H001,         33,         -2,         10,    9044362,         80,    9044379,         10,         -1,          0,    9044305,         10, 
73 : STR_0102_H001,         33,         -2,         10,    9044362,         50,    9044365,         40,         -1,          0,    9044319,         10, 
74 : STR_0102_H002,         33,         -2,         10,    9044362,         50,    9044191,         40,         -1,          0,    9044194,         10, 
75 : STB_0101_C001,          9,         -2,         10,    9044334,         80,    9044459,         10,         -1,          0,    9044369,         10, 
76 : STB_0101_C002,          9,         -2,         10,    9044346,         80,    9044489,         10,         -1,          0,    9044331,         10, 
77 : STB_0101_C003,          9,         -2,         10,    9044348,         70,    9044341,         20,         -1,          0,    9044319,         10, 
78 : STB_0101_C004,          9,         -2,         10,    9044348,         70,    9044341,         20,         -1,          0,    9044319,         10, 
79 : STB_0101_M001,          1,         -2,         10,    9044392,         70,    9044237,         20,         -1,          0,    9044362,         10, 
80 : STB_0101_M002,          1,         -2,         10,    9044236,         50,    9044264,         20,    9044237,         20,    9044304,         10, 
81 : STB_0101_M003,          1,         -2,         10,    9044236,         50,    9044237,         40,         -1,          0,    9044191,         10, 
82 : STB_0101_H001,         25,         -2,         10,    9044365,         50,    9044191,         40,         -1,          0,    9044193,         10, 
83 : STB_0101_H002,         33,         -2,         10,    9044354,         50,    9044192,         40,         -1,          0,    9044305,         10, 
84 : SBM_0203_C001,          9,         -2,         10,    9044324,         80,    9044411,         10,         -1,          0,    9044369,         10, 
85 : SBM_0203_C002,          9,         -2,         10,    9044324,         80,    9044382,         10,         -1,          0,    9044369,         10, 
86 : SBM_0203_M001,          1,         -2,         10,    9044236,         50,    9044324,         40,         -1,          0,    9044392,         10, 
87 : SBM_0203_M002,          1,         -2,         10,    9044236,         40,    9044324,         50,         -1,          0,    9044191,         10, 
88 : SBM_0203_M003,          1,         -2,         10,    9044264,         50,    9044237,         40,         -1,          0,    9044191,         10, 
89 : SBM_0203_M004,          1,         -2,         10,    9044264,         50,    9044192,         40,         -1,          0,    9044194,         10, 
90 : SBM_0203_H001,         33,         -2,         10,    9044324,         40,    9044354,         50,         -1,          0,    9044314,         10, 
91 : GAS_0201_C001,          9,         -2,         10,    9044348,         70,    9044369,         20,         -1,          0,    9044319,         10, 
92 : GAS_0201_C002,          9,         -2,         10,    9044348,         70,    9044369,         20,         -1,          0,    9044319,         10, 
93 : GAS_0201_C003,          9,         -2,         10,    9044348,         50,    9044369,         40,         -1,          0,    9044319,         10, 
94 : GAS_0201_M001,          1,         -2,         10,    9044392,         80,    9044438,         10,         -1,          0,    9044310,         10, 
95 : GAS_0201_M002,          1,         -2,         10,    9044236,         40,    9044264,         30,    9044237,         20,    9044310,         10, 
96 : GAS_0101_C002,          9,         -2,         10,    9044348,         50,    9044331,         40,         -1,          0,    9044319,         10, 
97 : GAS_0101_C003,          9,         -2,         10,    9044348,         40,    9044331,         50,         -1,          0,    9044319,         10, 
98 : GAS_0101_M003,          1,         -2,         10,    9044392,         80,    9044399,         10,         -1,          0,    9044319,         10, 
99 : GAS_0301_C001,          9,         -2,         10,    9044348,         40,    9044331,         50,         -1,          0,    9044319,         10, 
100 : GAS_0301_C002,          9,         -2,         10,    9044331,         80,    9044683,         10,         -1,          0,    9044319,         10, 
101 : GAS_0301_C003,          9,         -2,         10,    9044331,         80,    9044415,         10,         -1,          0,    9044319,         10, 
102 : GAS_0301_M001,          1,         -2,         10,    9044392,         70,    9044237,         20,         -1,          0,    9044310,         10, 
103 : GAS_0301_M002,          1,         -2,         10,    9044392,         40,    9044237,         50,         -1,          0,    9044310,         10, 
104 : GAS_0301_M003,          1,         -2,         10,    9044237,         80,    9044450,         10,         -1,          0,    9044310,         10, 
105 : UMD_0101_M001,          2,         -2,         10,    9044237,         50,    9044369,         30,    9044400,         10,    9044305,         10, 
106 : UMD_0101_H001,         34,         -2,         10,    9044310,         50,    9044193,         40,         -1,          0,    9044195,         10, 
107 : UMD_0102_M001,          2,         -2,         10,    9044237,         30,    9044369,         30,    9044265,         30,    9044305,         10, 
108 : UMD_0102_M002,          2,         -2,         10,    9044237,         30,    9044319,         30,    9044265,         30,    9044305,         10, 
109 : UMD_0102_H001,         34,         -2,         10,    9044310,         50,    9044193,         40,         -1,          0,    9044195,         10, 
110 : NUD_0101_M001,          2,         -2,         10,    9044237,         50,    9044265,         40,         -1,          0,    9044193,         10, 
111 : NUD_0101_M002,          2,         -2,         10,    9044237,         40,    9044265,         30,    9044244,         20,    9044194,         10, 
112 : NUD_0201_M001,          2,         -2,         10,    9044265,         70,    9044244,         20,         -1,          0,    9044193,         10, 
113 : NUD_0201_M002,          2,         -2,         10,    9044265,         50,    9044244,         40,         -1,          0,    9044194,         10, 
114 : NUD_0201_M003,          2,         -2,         10,    9044194,         50,    9044244,         30,    9044396,         10,    9044196,         10, 
115 : NUD_0201_H001,         34,         -2,         10,    9044305,         50,    9044194,         40,         -1,          0,    9044196,         10, 
116 : GTN_0101_C001,         11,         -2,         10,    9044328,         60,    9044352,         30,         -1,          0,    9044349,         10, 
117 : GTN_0101_C002,         11,         -2,         10,    9044328,         60,    9044352,         30,         -1,          0,    9044349,         10, 
118 : GTN_0101_C003,         11,         -2,         10,    9044335,         80,    9044416,         10,         -1,          0,    9044349,         10, 
119 : GTN_0101_C004,         11,         -2,         10,    9044335,         80,    9044461,         10,         -1,          0,    9044349,         10, 
120 : GTN_0101_H001,         27,         -2,         10,    9044366,         70,    9044195,         20,         -1,          0,    9044306,         10, 
