           km_,   km_namen, km_getxp_str, km_getxp_art, km_getxp_see, 
       sSlabel,    eSSHORT,    eUSHORT,    eUSHORT,    eUSHORT, 
 0 : type_saikutu1,          1,         30,         15,          5, 
 1 : type_saikutu2,          1,         36,         18,          6, 
 2 : type_saikutu3,          1,         43,         21,          7, 
 3 : type_saikutu4,          1,         51,         25,          8, 
 4 : type_saikutu5,          1,         61,         30,          9, 
 5 : type_saikutu6,          1,         73,         36,         10, 
 6 : type_saikutu7,          1,         87,         43,         12, 
 7 : type_saikutu8,          1,        104,         51,         14, 
 8 : type_bassai1,          2,         15,         30,          5, 
 9 : type_bassai2,          2,         18,         36,          6, 
10 : type_bassai3,          2,         21,         43,          7, 
11 : type_bassai4,          2,         25,         51,          8, 
12 : type_bassai5,          2,         30,         61,          9, 
13 : type_bassai6,          2,         36,         73,         10, 
14 : type_bassai7,          2,         43,         87,         12, 
15 : type_bassai8,          2,         51,        104,         14, 
16 : type_choyaku1,          3,         20,         30,         50, 
17 : type_choyaku2,          3,         24,         36,         60, 
18 : type_choyaku3,          3,         28,         43,         72, 
19 : type_choyaku4,          3,         33,         51,         86, 
20 : type_choyaku5,          3,         39,         61,        103, 
21 : type_choyaku6,          3,         46,         73,        123, 
22 : type_choyaku7,          3,         55,         87,        147, 
23 : type_choyaku8,          3,         66,        104,        176, 
24 : type_sensui1,          4,         20,         20,         10, 
25 : type_sensui2,          4,         24,         24,         12, 
26 : type_sensui3,          4,         28,         28,         14, 
27 : type_sensui4,          4,         33,         33,         16, 
28 : type_sensui5,          4,         39,         39,         19, 
29 : type_sensui6,          4,         46,         46,         22, 
30 : type_sensui7,          4,         55,         55,         26, 
31 : type_sensui8,          4,         66,         66,         31, 
32 : type_moguri1,          5,         20,         10,         20, 
33 : type_moguri2,          5,         24,         12,         24, 
34 : type_moguri3,          5,         28,         14,         28, 
35 : type_moguri4,          5,         33,         16,         33, 
36 : type_moguri5,          5,         39,         19,         39, 
37 : type_moguri6,          5,         46,         22,         46, 
38 : type_moguri7,          5,         55,         26,         55, 
39 : type_moguri8,          5,         66,         31,         66, 
40 : type_zaiho1,          6,          5,          5,         40, 
41 : type_zaiho2,          6,          6,          6,         48, 
42 : type_zaiho3,          6,          7,          7,         57, 
43 : type_zaiho4,          6,          8,          8,         68, 
44 : type_zaiho5,          6,          9,          9,         81, 
45 : type_zaiho6,          6,         10,         10,         97, 
46 : type_zaiho7,          6,         12,         12,        116, 
47 : type_zaiho8,          6,         14,         14,        139, 

