           km_, km_saisyu_type,  km_money1,   km_item1,   km_eqlv1,  km_money2,   km_item2,   km_eqlv2,  km_money3,   km_item3,   km_eqlv3,  km_money4,   km_item4,   km_eqlv4, 
       sSlabel,    eSSHORT,     eULONG,    eGLOBAL,     eSCHAR,     eULONG,    eGLOBAL,     eSCHAR,     eULONG,    eGLOBAL,     eSCHAR,     eULONG,    eGLOBAL,     eSCHAR, 
 0 : RBC_0101_D001,         40,          0,    9044399,         99,         46,    9044399,         99,         56,    9044399,         99,         65,    9044399,         99, 
 1 : RBC_0201_D001,         40,          0,    9043978,         99,         46,    9043978,         99,         56,    9043978,         99,         65,    9043978,         99, 
 2 : GAS_0101_D001,         40,          0,    9043977,         99,         46,    9043977,         99,         56,    9043977,         99,         65,    9043977,         99, 
 3 : DLP_0101_D001,         40,         75,         -1,         99,         93,    8978432,         99,        112,    9044399,         99,        131,    9044304,         99, 
 4 : DLP_0101_D002,         40,          0,    9044049,         99,         46,    9044049,         99,         56,    9044049,         99,         65,    9044049,         99, 
 5 : DLP_0101_D006,         40,          0,    8913081,         99,          0,    8913081,         99,          0,    8913081,         99,          0,    8913081,         99, 
 6 : BDL_0101_D001,         40,          0,    9044399,         99,         46,    9044399,         99,         56,    9044399,         99,         65,    9044399,         99, 
 7 : BDL_0201_D001,         40,          0,    8913082,         99,          0,    8913082,         99,          0,    8913082,         99,          0,    8913082,         99, 
 8 : BDL_0201_D002,         40,          0,    9043980,         99,         46,    9043980,         99,         56,    9043980,         99,         65,    9043980,         99, 
 9 : BDL_0301_D001,         40,         75,         -1,         99,         93,    8978432,         99,        112,    8978438,         99,        131,    9044314,         99, 
10 : RBC_0101_D002,         40,          0,    9043981,         99,        116,    9043981,         99,        140,    9043981,         99,        163,    9043981,         99, 
11 : RBC_0301_D001,         40,        187,         -1,         99,        233,    8978438,         99,        280,    9044314,         99,        327,    9044319,         99, 
12 : SBC_0102_D001,         40,          0,    9043982,         99,        116,    9043982,         99,        140,    9043982,         99,        163,    9043982,         99, 
13 : SBC_0102_D002,         40,          0,    9044314,         99,        116,    9044314,         99,        140,    9044314,         99,        163,    9044314,         99, 
14 : SBC_0201_D001,         40,          0,    9043983,         99,        116,    9043983,         99,        140,    9043983,         99,        163,    9043983,         99, 
15 : BTE_0101_D001,         40,        187,         -1,         99,        233,    8978432,         99,        280,    9044305,         99,        327,    9044310,         99, 
16 : BTE_0101_D002,         40,          0,    9043984,         99,        116,    9043984,         99,        140,    9043984,         99,        163,    9043984,         99, 
17 : ETB_0101_D001,         41,          0,    9043987,         99,        328,    9043987,         99,        393,    9043987,         99,        459,    9043987,         99, 
18 : ETB_0101_D002,         41,          0,    9044314,         99,        328,    9044314,         99,        393,    9044314,         99,        459,    9044314,         99, 
19 : BHK_0101_D001,         41,        525,    9044263,         99,        656,    9044263,         99,        787,    9044263,         99,        918,    9044263,         99, 
20 : BHK_0101_D002,         41,          0,    9044304,         99,        328,    9044304,         99,        393,    9044304,         99,        459,    9044304,         99, 
21 : BHK_0102_D001,         41,          0,    8913094,         99,          0,    8913094,         99,          0,    8913094,         99,          0,    8913094,         99, 
22 : BHK_0102_D002,         41,          0,    9043988,         99,        328,    9043988,         99,        393,    9043988,         99,        459,    9043988,         99, 
23 : BHK_0102_D003,         41,          0,    9044304,         99,        328,    9044304,         99,        393,    9044304,         99,        459,    9044304,         99, 
24 : BHK_0103_D001,         43,          0,    9044090,         99,        328,    9044090,         99,        393,    9044090,         99,        459,    9044090,         99, 
25 : GSD_0101_D001,         41,          0,    9044314,         99,        328,    9044314,         99,        393,    9044314,         99,        459,    9044314,         99, 
26 : GSD_0201_D001,         41,          0,    8913089,         99,          0,    8913089,         99,          0,    8913089,         99,          0,    8913089,         99, 
27 : GSD_0201_D002,         41,          0,    9044304,         99,        328,    9044304,         99,        393,    9044304,         99,        459,    9044304,         99, 
28 : GSD_0301_D001,         41,          0,    9043989,         99,        328,    9043989,         99,        393,    9043989,         99,        459,    9043989,         99, 
29 : GSS_0102_D001,         41,          0,    8913090,         99,          0,    8913090,         99,          0,    8913090,         99,          0,    8913090,         99, 
30 : GSS_0102_D002,         41,        525,         -1,         99,        656,    8978435,         99,        787,    9044305,         99,        918,    9044193,         99, 
31 : GSS_0102_D003,         41,          0,    9043990,         99,        328,    9043990,         99,        393,    9043990,         99,        459,    9043990,         99, 
32 : GSS_0102_D004,         41,          0,    9044304,         99,        328,    9044304,         99,        393,    9044304,         99,        459,    9044304,         99, 
33 : STR_0101_D001,         41,          0,    9044304,         99,        328,    9044304,         99,        393,    9044304,         99,        459,    9044304,         99, 
34 : STR_0101_D002,         41,          0,    9043991,         99,        328,    9043991,         99,        393,    9043991,         99,        459,    9043991,         99, 
35 : STR_0102_D001,         41,          0,    8913091,         99,          0,    8913091,         99,          0,    8913091,         99,          0,    8913091,         99, 
36 : STR_0102_D002,         41,        525,         -1,         99,        656,    8978435,         99,        787,    9044237,         99,        918,    9044400,         99, 
37 : STB_0101_D001,         41,          0,    9044314,         99,        328,    9044314,         99,        393,    9044314,         99,        459,    9044314,         99, 
38 : STB_0101_D002,         41,          0,    9043992,         99,        328,    9043992,         99,        393,    9043992,         99,        459,    9043992,         99, 
39 : SBM_0201_D002,         41,          0,    9043993,         99,        679,    9043993,         99,        798,    9043993,         99,        951,    9043993,         99, 
40 : SBM_0203_D001,         41,          0,    9044314,         99,        328,    9044314,         99,        393,    9044314,         99,        459,    9044314,         99, 
41 : SBM_0203_D002,         41,          0,    9044310,         99,        328,    9044310,         99,        393,    9044310,         99,        459,    9044310,         99, 
42 : GAS_0201_D001,         41,          0,    9043985,         99,        328,    9043985,         99,        393,    9043985,         99,        459,    9043985,         99, 
43 : GAS_0101_D002,         41,          0,    9044319,         99,        328,    9044319,         99,        393,    9044319,         99,        459,    9044319,         99, 
44 : GAS_0301_D001,         41,          0,    9043995,         99,        328,    9043995,         99,        393,    9043995,         99,        459,    9043995,         99, 
45 : UMD_0101_D001,         42,          0,    9044305,         99,        679,    9044305,         99,        815,    9044305,         99,        951,    9044305,         99, 
46 : UMD_0102_D001,         42,          0,    8913083,         99,          0,    8913083,         99,          0,    8913083,         99,          0,    8913083,         99, 
47 : UMD_0102_D002,         42,          0,    9043996,         99,        679,    9043996,         99,        798,    9043996,         99,        951,    9043996,         99, 
48 : NUD_0101_D001,         42,          0,    9043998,         99,        679,    9043998,         99,        798,    9043998,         99,        951,    9043998,         99, 
49 : NUD_0201_D001,         42,          0,    9044305,         99,        679,    9044305,         99,        815,    9044305,         99,        951,    9044305,         99, 
50 : NUD_0201_D002,         42,          0,    9044051,         99,        679,    9044051,         99,        798,    9044051,         99,        951,    9044051,         99, 
51 : GTN_0101_D001,         43,          0,    8913084,         99,          0,    8913084,         99,          0,    8913084,         99,          0,    8913084,         99, 
52 : GTN_0101_D002,         43,          0,    9044001,         99,       1171,    9044001,         99,       1406,    9044001,         99,       1640,    9044001,         99, 
53 : GTN_0101_D003,         43,          0,    9044306,         99,       1171,    9044306,         99,       1406,    9044306,         99,       1640,    9044306,         99, 
54 : ETV_0101_D001,         43,          0,    9044004,         99,       1171,    9044004,         99,       1406,    9044004,         99,       1640,    9044004,         99, 
55 : CRK_0101_D001,         43,          0,    8913087,         99,          0,    8913087,         99,          0,    8913087,         99,          0,    8913087,         99, 
56 : CRK_0101_D002,         43,          0,    9044005,         99,       1171,    9044005,         99,       1406,    9044005,         99,       1640,    9044005,         99, 
57 : CRK_0101_D003,         43,          0,    9044306,         99,       1171,    9044306,         99,       1406,    9044306,         99,       1640,    9044306,         99, 
58 : SBM_0101_D001,         41,          0,    9044311,         99,       1171,    9044311,         99,       1406,    9044311,         99,       1640,    9044311,         99, 
59 : UMD_0103_D001,         43,          0,    9044006,         99,       1171,    9044006,         99,       1406,    9044006,         99,       1640,    9044006,         99, 
60 : UMD_0103_D002,         43,          0,    9044007,         99,       1171,    9044007,         99,       1406,    9044007,         99,       1640,    9044007,         99, 
61 : UMD_0104_D001,         43,          0,    9044311,         99,       1171,    9044311,         99,       1406,    9044311,         99,       1640,    9044311,         99, 
62 : BHK_0103_D002,         43,          0,    9044306,         99,       1171,    9044306,         99,       1406,    9044306,         99,       1640,    9044306,         99, 
63 : BHK_0104_D001,         43,          0,    9044315,         99,       1171,    9044315,         99,       1406,    9044315,         99,       1640,    9044315,         99, 
64 : BHK_0104_D002,         43,          0,    9044009,         99,       1171,    9044009,         99,       1406,    9044009,         99,       1640,    9044009,         99, 
65 : DKF_0101_D001,         43,          0,    9044010,         99,       1171,    9044010,         99,       1406,    9044010,         99,       1640,    9044010,         99, 
66 : BDL_0501_D001,         43,          0,    9044276,         99,       1171,    9044276,         99,       1406,    9044276,         99,       1640,    9044276,         99, 
67 : BDL_0601_D001,         43,          0,    9044011,         99,       1171,    9044011,         99,       1406,    9044011,         99,       1640,    9044011,         99, 
68 : DLD_0101_D001,         44,          0,    8913088,         99,          0,    8913088,         99,          0,    8913088,         99,          0,    8913088,         99, 
69 : DLD_0101_D002,         44,          0,    9044012,         99,       1804,    9044012,         99,       2165,    9044012,         99,       2526,    9044012,         99, 
70 : DLD_0101_D003,         44,          0,    9044315,         99,       1804,    9044315,         99,       2165,    9044315,         99,       2526,    9044315,         99, 
71 : DLD_0101_D004,         44,          0,    9044277,         99,       1804,    9044277,         99,       2165,    9044277,         99,       2526,    9044277,         99, 
72 : SBM_0101_D002,         44,          0,    9044013,         99,       2578,    9044013,         99,       3093,    9044013,         99,       3609,    9044013,         99, 
73 : SBM_0201_D001,         44,          0,    8913093,         99,          0,    8913093,         99,          0,    8913093,         99,          0,    8913093,         99, 
74 : NUD_0401_D001,         44,          0,    9044278,         99,       1804,    9044278,         99,       2165,    9044278,         99,       2526,    9044278,         99, 
75 : NUD_0401_D002,         44,          0,    9044255,         99,       1804,    9044255,         99,       2165,    9044255,         99,       2526,    9044255,         99, 
76 : NUD_0401_D003,         44,          0,    9044282,         99,       1804,    9044282,         99,       2165,    9044282,         99,       2526,    9044282,         99, 
77 : NWD_0101_D001,         44,          0,    9044017,         99,       2578,    9044017,         99,       3093,    9044017,         99,       3609,    9044017,         99, 
78 : NWD_0102_D001,         44,          0,    9044316,         99,       2578,    9044316,         99,       3093,    9044316,         99,       3609,    9044316,         99, 
79 : NWD_0103_D001,         45,          0,    9044018,         99,       3491,    9044018,         99,       4190,    9044018,         99,       4888,    9044018,         99, 
80 : NWD_0104_D001,         45,          0,    9044321,         99,       3491,    9044321,         99,       4190,    9044321,         99,       4888,    9044321,         99, 
81 : GST_0101_D001,         45,          0,    9044019,         99,       3491,    9044019,         99,       4190,    9044019,         99,       4888,    9044019,         99, 
82 : GST_0101_D002,         45,       5587,         -1,         99,       6983,    8978434,         99,       8380,    8978435,         99,       9777,    9044204,         99, 
83 : GST_0101_D003,         45,          0,    9044308,         99,       3491,    9044308,         99,       4190,    9044308,         99,       4888,    9044308,         99, 
84 : GST_0102_D001,         45,          0,    9044316,         99,       3491,    9044316,         99,       4190,    9044316,         99,       4888,    9044316,         99, 
85 : GST_0102_D002,         45,          0,    9044289,         99,       3491,    9044289,         99,       4190,    9044289,         99,       4888,    9044289,         99, 
86 : GST_0103_D001,         45,       5587,         -1,         99,       6983,    8978440,         99,       8380,    9044321,         99,       9777,    9044201,         99, 
87 : GST_0103_D002,         45,          0,    9044020,         99,       3491,    9044020,         99,       4190,    9044020,         99,       4888,    9044020,         99, 
88 : GST_0103_D003,         45,          0,    9044288,         99,       3491,    9044288,         99,       4190,    9044288,         99,       4888,    9044288,         99, 
89 : GST_0103_D004,         45,          0,    9044286,         99,       3491,    9044286,         99,       4190,    9044286,         99,       4888,    9044286,         99, 
90 : BND_0101_D001,         45,          0,    9044021,         99,       3491,    9044021,         99,       4190,    9044021,         99,       4888,    9044021,         99, 
91 : BND_0101_D002,         45,       5587,         -1,         99,       6983,    8978443,         99,       8380,    9044308,         99,       9777,    9044202,         99, 
92 : BND_0101_D003,         45,       5587,         -1,         99,       6983,    8978434,         99,       8380,    8978472,         99,       9777,    9044203,         99, 
93 : FRN_0101_D001,         45,          0,    9044308,         99,       3491,    9044308,         99,       4190,    9044308,         99,       4888,    9044308,         99, 
94 : FRN_0102_D001,         45,          0,    8913085,         99,          0,    8913085,         99,          0,    8913085,         99,          0,    8913085,         99, 
95 : FRN_0102_D002,         45,       5587,         -1,         99,       6983,    8978440,         99,       8380,    9044316,         99,       9777,    9044312,         99, 
96 : FRN_0103_D001,         45,          0,    9044022,         99,       3491,    9044022,         99,       4190,    9044022,         99,       4888,    9044022,         99, 
97 : RBC_0101_D003,         45,          0,    9044316,         99,       3491,    9044316,         99,       4190,    9044316,         99,       4888,    9044316,         99, 
98 : RBC_0101_D004,         45,          0,    9044321,         99,       3491,    9044321,         99,       4190,    9044321,         99,       4888,    9044321,         99, 
99 : RBC_0101_D005,         45,          0,    9044023,         99,       3491,    9044023,         99,       4190,    9044023,         99,       4888,    9044023,         99, 
100 : RBC_0101_D006,         45,          0,    8913080,         99,          0,    8913080,         99,          0,    8913080,         99,          0,    8913080,         99, 
101 : RBC_0401_D001,         45,          0,    9044046,         99,       3491,    9044046,         99,       4190,    9044046,         99,       4888,    9044046,         99, 
102 : DLD_0101_D005,         46,          0,    9044025,         99,       4546,    9044025,         99,       5456,    9044025,         99,       6365,    9044025,         99, 
103 : SBF_0102_D001,         45,          0,    8913092,         99,          0,    8913092,         99,          0,    8913092,         99,          0,    8913092,         99, 
104 : SBF_0102_D002,         45,          0,    9044026,         99,       3491,    9044026,         99,       6890,    9044026,         99,       4888,    9044026,         99, 
105 : SBF_0102_D003,         45,          0,    9044293,         99,       3491,    9044293,         99,       4190,    9044293,         99,       4888,    9044293,         99, 
106 : SBF_0201_D001,         45,          0,    9044027,         99,       3491,    9044027,         99,       4190,    9044027,         99,       4888,    9044027,         99, 
107 : BDL_0401_D001,         46,          0,    9044312,         99,       4546,    9044312,         99,       5456,    9044312,         99,       6365,    9044312,         99, 
108 : NUD_0301_D001,         46,          0,    9044079,         99,       4546,    9044079,         99,       5456,    9044079,         99,       6365,    9044079,         99, 
109 : NUD_0301_D002,         46,          0,    9044312,         99,       4546,    9044312,         99,       5456,    9044312,         99,       6365,    9044312,         99, 
110 : SBN_0102_D001,         46,          0,    9044029,         99,       5741,    9044029,         99,       6890,    9044029,         99,       8038,    9044029,         99, 
