           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       3511,          0,          0, 
 1 : QE0820_M_000,       3512,          0,          0, 
 2 : QE0820_M_001,       3513,          0,          0, 
 3 : QE0820_M_002,       3514,          0,          0, 
 4 : QE0820_M_003,       3515,          0,          0, 
 5 : QE0820_M_004,       3516,          0,          0, 
 6 : QE0840_M_000,       3517,          0,          0, 
 7 : QE1020_M_000,       3518,          0,          0, 
 8 : QEOTHR_M_000,       3519,          0,          0, 
 9 : nakama_talk_001,       3520,          0,          0, 
10 : recipe_weapon_001,       3521,          0,          0, 
11 : recipe_weapon_002,       3522,          0,          0, 
12 : recipe_weapon_003,       3523,          0,          0, 
13 : recipe_weapon_004,       3524,          0,          0, 
14 : recipe_weapon_005,       3525,          0,          0, 
15 : recipe_weapon_006,       3526,          0,          0, 
16 : recipe_weapon_007,       3527,          0,          0, 
17 : recipe_weapon_008,       3528,          0,          0, 
18 : recipe_weapon_009,       3529,          0,          0, 
19 : recipe_weapon_010,       3530,          0,          0, 
20 : recipe_weapon_011,       3531,          0,          0, 
21 : recipe_weapon_012,       3532,          0,          0, 
22 : recipe_weapon_013,       3533,          0,          0, 
23 : recipe_weapon_014,       3534,          0,          0, 
24 : recipe_weapon_015,       3535,          0,          0, 
25 : recipe_weapon_016,       3536,          0,          0, 
26 : recipe_weapon_017,       3537,          0,          0, 
27 : recipe_weapon_018,       3538,          0,          0, 
28 : recipe_weapon_019,       3539,          0,          0, 
29 : recipe_weapon_020,       3540,          0,          0, 
30 : recipe_weapon_021,       3541,          0,          0, 
31 : recipe_weapon_022,       3542,          0,          0, 
32 : recipe_weapon_023,       3543,          0,          0, 
33 : recipe_weapon_024,       3544,          0,          0, 
34 : recipe_weapon_025,       3545,          0,          0, 
35 : recipe_weapon_026,       3546,          0,          0, 
36 : recipe_weapon_027,       3547,          0,          0, 
37 : recipe_weapon_028,       3548,          0,          0, 
38 : recipe_weapon_029,       3549,          0,          0, 
39 : recipe_weapon_030,       3550,          0,          0, 
40 : recipe_weapon_031,       3551,          0,          0, 
41 : recipe_weapon_032,       3552,          0,          0, 
42 : recipe_weapon_033,       3553,          0,          0, 
43 : recipe_weapon_034,       3554,          0,          0, 
44 : recipe_weapon_035,       3555,          0,          0, 
45 : recipe_weapon_036,       3556,          0,          0, 
46 : recipe_weapon_037,       3557,          0,          0, 
47 : recipe_weapon_038,       3558,          0,          0, 
48 : recipe_weapon_039,       3559,          0,          0, 
49 : recipe_weapon_040,       3560,          0,          0, 
50 : recipe_weapon_041,       3561,          0,          0, 
51 : recipe_weapon_042,       3562,          0,          0, 
52 : recipe_weapon_043,       3563,          0,          0, 
53 : recipe_weapon_044,       3564,          0,          0, 
54 : recipe_weapon_045,       3565,          0,          0, 
55 : recipe_weapon_046,       3566,          0,          0, 
56 : recipe_weapon_047,       3567,          0,          0, 
57 : recipe_weapon_048,       3568,          0,          0, 
58 : recipe_weapon_049,       3569,          0,          0, 
59 : recipe_weapon_050,       3570,          0,          0, 
60 : recipe_weapon_051,       3571,          0,          0, 
61 : recipe_weapon_052,       3572,          0,          0, 
62 : recipe_weapon_053,       3573,          0,          0, 
63 : recipe_weapon_054,       3574,          0,          0, 
64 : recipe_weapon_055,       3575,          0,          0, 
65 : recipe_weapon_056,       3576,          0,          0, 
66 : recipe_weapon_057,       3577,          0,          0, 
67 : recipe_weapon_058,       3578,          0,          0, 
68 : recipe_weapon_059,       3579,          0,          0, 
69 : recipe_weapon_060,       3580,          0,          0, 
70 : recipe_weapon_061,       3581,          0,          0, 
71 : recipe_weapon_062,       3582,          0,          0, 
72 : recipe_weapon_063,       3583,          0,          0, 
73 : recipe_weapon_064,       3584,          0,          0, 
74 : recipe_necklace_001,       3585,          0,          0, 
75 : recipe_necklace_002,       3586,          0,          0, 
76 : recipe_necklace_003,       3587,          0,          0, 
77 : recipe_necklace_004,       3588,          0,          0, 
78 : recipe_necklace_005,       3589,          0,          0, 
79 : recipe_necklace_006,       3590,          0,          0, 
80 : recipe_necklace_007,       3591,          0,          0, 
81 : recipe_necklace_008,       3592,          0,          0, 
82 : recipe_ring_001,       3593,          0,          0, 
83 : recipe_ring_002,       3594,          0,          0, 
84 : recipe_ring_003,       3595,          0,          0, 
85 : recipe_ring_004,       3596,          0,          0, 
86 : recipe_ring_005,       3597,          0,          0, 
87 : recipe_ring_006,       3598,          0,          0, 
88 : recipe_ring_007,       3599,          0,          0, 
89 : recipe_ring_008,       3600,          0,          0, 
90 : recipe_bangle_001,       3601,          0,          0, 
91 : recipe_bangle_002,       3602,          0,          0, 
92 : recipe_bangle_003,       3603,          0,          0, 
93 : recipe_bangle_004,       3604,          0,          0, 
94 : recipe_bangle_005,       3605,          0,          0, 
95 : recipe_bangle_006,       3606,          0,          0, 
96 : recipe_bangle_007,       3607,          0,          0, 
97 : recipe_bangle_008,       3608,          0,          0, 
98 : recipe_earring_001,       3609,          0,          0, 
99 : recipe_earring_002,       3610,          0,          0, 
100 : recipe_earring_003,       3611,          0,          0, 
101 : recipe_earring_004,       3612,          0,          0, 
102 : recipe_earring_005,       3613,          0,          0, 
103 : recipe_earring_006,       3614,          0,          0, 
104 : recipe_earring_007,       3615,          0,          0, 
105 : recipe_earring_008,       3616,          0,          0, 
106 : recipe_belt_001,       3617,          0,          0, 
107 : recipe_belt_002,       3618,          0,          0, 
108 : recipe_belt_003,       3619,          0,          0, 
109 : recipe_belt_004,       3620,          0,          0, 
110 : recipe_belt_005,       3621,          0,          0, 
111 : recipe_belt_006,       3622,          0,          0, 
112 : recipe_belt_007,       3623,          0,          0, 
113 : recipe_belt_008,       3624,          0,          0, 
114 : recipe_anklet_001,       3625,          0,          0, 
115 : recipe_anklet_002,       3626,          0,          0, 
116 : recipe_anklet_003,       3627,          0,          0, 
117 : recipe_anklet_004,       3628,          0,          0, 
118 : recipe_anklet_005,       3629,          0,          0, 
119 : recipe_anklet_006,       3630,          0,          0, 
120 : recipe_anklet_007,       3631,          0,          0, 
121 : recipe_anklet_008,       3632,          0,          0, 
122 : recipe_amulet_001,       3633,          0,          0, 
123 : recipe_amulet_002,       3634,          0,          0, 
124 : recipe_amulet_003,       3635,          0,          0, 
125 : recipe_amulet_004,       3636,          0,          0, 
126 : recipe_amulet_005,       3637,          0,          0, 
127 : recipe_amulet_006,       3638,          0,          0, 
128 : recipe_amulet_007,       3639,          0,          0, 
129 : recipe_amulet_008,       3640,          0,          0, 
130 : recipe_jewel_001,       3641,          0,          0, 
131 : recipe_jewel_002,       3642,          0,          0, 
132 : recipe_jewel_003,       3643,          0,          0, 
133 : recipe_jewel_004,       3644,          0,          0, 
134 : recipe_jewel_005,       3645,          0,          0, 
135 : recipe_jewel_006,       3646,          0,          0, 
136 : recipe_jewel_007,       3647,          0,          0, 
137 : recipe_jewel_008,       3648,          0,          0, 
138 : recipe_blueprint_001,       3649,          0,          0, 
139 : recipe_blueprint_002,       3650,          0,          0, 
140 : recipe_blueprint_003,       3651,          0,          0, 
141 : recipe_blueprint_004,       3652,          0,          0, 
142 : recipe_blueprint_005,       3653,          0,          0, 
143 : recipe_blueprint_006,       3654,          0,          0, 
144 : recipe_blueprint_007,       3655,          0,          0, 
