           km_,   km_ms_lv, km_needxp_str, km_help_str, km_needxp_art, km_help_art, km_needxp_see, km_help_see, 
       sSlabel,     eUCHAR,     eULONG,    eSSHORT,     eULONG,    eSSHORT,     eULONG,    eSSHORT, 
 0 :       lv01,          1,          0,         29,          0,         45,          0,         61, 
 1 :       lv02,          2,        210,         30,        200,         46,        160,         62, 
 2 :       lv03,          3,        473,         31,        450,         47,        360,         63, 
 3 :       lv04,          4,        840,         32,        800,         48,        640,         64, 
 4 :       lv05,          5,       1313,         33,       1250,         49,       1000,         65, 
 5 :       lv06,          6,       1890,         34,       1800,         50,       1440,         66, 
 6 :       lv07,          7,       2573,         35,       2450,         51,       1960,         67, 
 7 :       lv08,          8,       3360,         36,       3200,         52,       2560,         68, 
 8 :       lv09,          9,       4253,         37,       4050,         53,       3240,         69, 
 9 :       lv10,         10,       5250,         38,       5000,         54,       4000,         70, 
10 :       lv11,         11,       6353,         39,       6050,         55,       4840,         71, 
11 :       lv12,         12,       7560,         40,       7200,         56,       5760,         72, 
12 :       lv13,         13,       8873,         41,       8450,         57,       6760,         73, 
13 :       lv14,         14,      10290,         42,       9800,         58,       7840,         74, 
14 :       lv15,         15,      11813,         43,      11250,         59,       9000,         75, 
15 :       lv16,         16,      13440,         44,      12800,         60,      10240,         76, 

