           km_,   km_namen,    km_help, km_skill_type, km_skill_lv, km_need_str, km_need_art, km_need_see,  km_kaisu0,  km_kaisu1,  km_kaisu2,  km_kaisu3, km_normal_num0, km_normal_num1, km_normal_num2, km_normal_num3, km_rare_odds0, km_rare_odds1, km_rare_odds2, km_rare_odds3, km_rare_num0, km_rare_num1, km_rare_num2, km_rare_num3, km_tre_rank_chk0, km_tre_rank_chk1, km_tre_rank_chk2, km_tre_rank_chk3, km_tre_num0, km_tre_num1, km_tre_num2, km_tre_num3, km_tre_money0, km_tre_money1, km_tre_money2, km_tre_money3, 
       sSlabel,    eSSHORT,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 :      bonus,         -1,         -1,          0,          0,          0,          0,          0,         20,         40,         60,         89,          0,          1,          2,          3,          0,          1,          3,          5,          0,          1,          2,          3,          0,          0,          0,          0,          0,          1,          2,          3,          0,         10,         30,         50, 
 1 : pick_kaisu0,          1,          1,          1,          0,          0,          0,          0,         85,         15,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 2 : pick_kaisu1,          2,          2,          1,          1,          2,          0,          2,         75,         25,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 3 : pick_kaisu2,          3,          3,          1,          2,          6,          0,          6,         60,         25,         15,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 4 : pick_kaisu3,          4,          4,          1,          3,         10,          0,         10,         50,         25,         20,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 5 : pick_normal_num0,          5,          5,          2,          0,          0,          0,          0,          0,          0,          0,          0,         95,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 6 : pick_normal_num1,          6,          6,          2,          1,          0,          3,          0,          0,          0,          0,          0,         90,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 7 : pick_normal_num2,          7,          7,          2,          2,          0,          8,          0,          0,          0,          0,          0,         80,         15,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 8 : pick_normal_num3,          8,          8,          2,          3,          0,         12,          0,          0,          0,          0,          0,         70,         15,         10,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
