           km_, km_get_item, km_get_eplv,    km_cost, km_auto_only,  km_sortid,   km_daiji, km_material_1, km_material_1_num, km_material_1_key, km_material_2, km_material_2_num, km_material_2_key, km_material_3, km_material_3_num, km_material_3_key, km_material_4, km_material_4_num, km_material_4_key, 
       sSlabel,    eGLOBAL,     eSCHAR,     eULONG,     eUCHAR,    eUSHORT,    eSSHORT,    eGLOBAL,     eUCHAR,     eUCHAR,    eGLOBAL,     eUCHAR,     eUCHAR,    eGLOBAL,     eUCHAR,     eUCHAR,    eGLOBAL,     eUCHAR,     eUCHAR, 
 0 : sword_s_uniq_07,    8323156,          0,       2450,          0,        100,         -1,    9044251,          3,          0,    9044399,          3,          0,    9044382,          4,          0,         -1,          0,          0, 
 1 : sword_s_uniq,    8323158,          0,       3670,          0,        101,         -1,    9044263,          2,          1,    9044506,          7,          0,    9044541,          2,          0,         -1,          0,          0, 
 2 : sword_m_uniq_05,    8323234,          0,      70950,          0,        102,        287,    9044246,          2,          1,    9044179,          1,          0,    9044180,          1,          0,         -1,          0,          0, 
 3 : sword_m_uniq_09,    8323236,          0,      90300,          0,        103,         -1,    9044779,          1,          1,    9044269,          1,          0,         -1,          0,          0,         -1,          0,          0, 
 4 : sword_m_uniq_06,    8323237,          0,     109650,          0,        104,        287,    9044257,          1,          1,    9044207,          1,          0,    9044471,          3,          0,         -1,          0,          0, 
 5 : sword_l_uniq_08,    8323283,          0,       4690,          0,        105,         -1,    9044263,          2,          1,    9044555,          4,          0,    9044428,          3,          0,         -1,          0,          0, 
 6 : sword_l_uniq_07,    8323288,          0,      81590,          0,        106,         -1,    9044783,          1,          1,    9044273,          1,          0,         -1,          0,          0,         -1,          0,          0, 
 7 : sword_l_WLA020_fine_01,    8323268,          0,     107640,          0,        107,         -1,    9044765,          1,          1,    9044241,          1,          0,    9044631,          2,          0,         -1,          0,          0, 
 8 : sword_x_uniq_03,    8323316,          0,      15470,          0,        108,         -1,    9044266,          3,          1,    9044305,          2,          0,    9044558,          2,          0,         -1,          0,          0, 
 9 : sword_x_uniq_01,    8323319,          0,     318630,          0,        109,        288,    9044275,          2,          0,    9044647,          4,          1,    9044344,          2,          0,         -1,          0,          0, 
10 : katana_m_uniq_03,    8323390,          0,      72770,          0,        200,         -1,    9044291,          1,          1,    9044562,          2,          0,    9044312,          2,          0,         -1,          0,          0, 
11 : katana_l_uniq_01,    8323418,          0,      33660,          0,        201,         -1,    9044239,          1,          1,    9044609,          2,          0,    9044484,          3,          0,         -1,          0,          0, 
12 : katana_l_uniq_04,    8323422,          0,     294120,          0,        202,        288,    9044275,          2,          0,    9044618,          4,          1,    9044378,          2,          0,         -1,          0,          0, 
13 : katana_x_uniq_03,    8323438,          0,     140330,          0,        203,         -1,    9044309,          1,          1,    9044601,          2,          0,    9044241,          1,          0,         -1,          0,          0, 
14 : axe_s_uniq_01,    8323464,          0,      10200,          0,        300,         -1,    9044251,         10,          1,    9044341,          3,          0,    9044615,          3,          0,         -1,          0,          0, 
15 : axe_m_uniq_01,    8323511,          0,     149000,          0,        301,        287,    9044242,          1,          1,    9044427,          4,          0,    9044655,          2,          0,         -1,          0,          0, 
16 : axe_l_uniq_01_01,    8323544,          0,      43310,          0,        302,         -1,    9044010,          1,          1,    9044413,          3,          0,    9044320,          2,          0,         -1,          0,          0, 
17 : axe_l_uniq_03,    8323546,          0,     137060,          0,        303,         -1,    9044785,          1,          1,    9044257,          1,          0,         -1,          0,          0,         -1,          0,          0, 
18 : axe_x_uniq_06,    8323573,          0,      71610,          0,        304,         -1,    9044261,          2,          1,    9044201,          1,          0,    9044488,          3,          0,         -1,          0,          0, 
19 : hammer_s_uniq_02,    8323603,          0,      94820,          0,        400,        287,    9044293,          1,          1,    9044240,          1,          0,    9044206,          1,          0,         -1,          0,          0, 
20 : hammer_l_uniq_04,    8323682,          0,     318630,          0,        401,        288,    9044275,          2,          0,    9044628,          4,          1,    9044403,          2,          0,         -1,          0,          0, 
21 : hammer_x_uniq_02,    8323721,          0,     196400,          0,        402,        287,    9044242,          1,          1,    9044592,          2,          0,    9044491,          1,          0,         -1,          0,          0, 
22 : lance_m_uniq_03,    8323775,          0,      13260,          0,        500,         -1,    9044265,          3,          1,    9044331,          3,          0,    9044702,          3,          0,         -1,          0,          0, 
23 : lance_m_uniq_05,    8323778,          0,      66500,          0,        501,         -1,    9044260,          2,          1,    9044202,          1,          0,    9044437,          2,          0,         -1,          0,          0, 
24 : lance_m_uniq_02,    8323779,          0,      90090,          0,        502,         -1,    9044027,          1,          0,    9044367,          3,          1,         -1,          0,          0,         -1,          0,          0, 
25 : lance_m_uniq_01,    8323780,          0,     142550,          0,        503,         -1,    9044781,          1,          1,    9044274,          1,          0,         -1,          0,          0,         -1,          0,          0, 
26 : lance_l_uniq_02,    8323823,          0,      25880,          0,        504,         -1,    9044278,          1,          1,    9044315,          2,          0,    9044370,          3,          0,         -1,          0,          0, 
27 : lance_x_uniq_01,    8323851,          0,      36890,          0,        505,         -1,    9044280,          1,          1,    9044245,          1,          0,    9044238,          1,          0,         -1,          0,          0, 
28 : lance_x_uniq_05,    8323854,          0,     209950,          0,        506,        287,    9044242,          1,          1,    9044474,          1,          0,    9044771,          2,          0,         -1,          0,          0, 
29 : staff_m_uniq_01,    8323935,          0,       3260,          0,        600,         -1,    9044251,          1,          0,    9044318,          3,          0,    9044506,          7,          0,         -1,          0,          0, 
30 : staff_l_uniq_04,    8323963,          0,      69050,          0,        601,         -1,    9044258,          2,          1,    9044203,          1,          0,    9044429,          3,          0,         -1,          0,          0, 
31 : staff_l_uniq_01,    8323966,          0,     253940,          0,        602,        287,    9044275,          2,          0,    9044638,          4,          1,    9044368,          2,          0,         -1,          0,          0, 
32 : staff_x_uniq_1_01,    8323979,          0,     367650,          0,        603,        288,    9044275,          2,          0,    9044589,          4,          1,    9044371,          2,          0,         -1,          0,          0, 
33 : staff_x_uniq_1_02,    8323979,          0,     306380,          0,        604,        288,    9044275,          2,          0,    9044755,          4,          1,    9044371,          2,          0,         -1,          0,          0, 
34 : shield_m_uniq_02,    8324150,          0,       6800,          0,       1000,         -1,    9044253,          2,          0,    9044252,          2,          0,    9044324,          3,          0,         -1,          0,          0, 
35 : shield_m_uniq_03,    8324155,          0,     103950,          0,       1001,        287,    9044454,          1,          1,    9044586,          3,          0,    9044241,          5,          0,         -1,          0,          0, 
36 : shield_l_uniq_04,    8324189,          0,      72240,          0,       1002,        286,    9044282,          1,          1,    9044272,          1,          0,    9044307,          1,          0,         -1,          0,          0, 
37 : shield_l_uniq_01,    8324192,          0,     100980,          0,       1003,         -1,    9044296,          1,          1,    9044393,          3,          0,    9044347,          1,          0,         -1,          0,          0, 
