           km_, km_get_item,    km_cost, km_base_item,   km_daiji, km_material_1, km_material_1_num, km_material_1_key, km_material_2, km_material_2_num, km_material_2_key, km_material_3, km_material_3_num, km_material_3_key, km_material_4, km_material_4_num, km_material_4_key, 
       sSlabel,    eGLOBAL,     eULONG,    eGLOBAL,    eSSHORT,    eGLOBAL,     eUCHAR,     eUCHAR,    eGLOBAL,     eUCHAR,     eUCHAR,    eGLOBAL,     eUCHAR,     eUCHAR,    eGLOBAL,     eUCHAR,     eUCHAR, 
 0 : sword_s_WSA010_battle,    8323127,       1150,    8323126,         -1,    9044235,          2,          0,    9044593,          2,          0,    9044683,          4,          0,         -1,          0,          0, 
 1 : sword_m_WMA010_battle,    8323171,       1280,    8323170,         -1,    9044235,          2,          0,    9044593,          2,          0,    9044624,          5,          0,         -1,          0,          0, 
 2 : sword_l_WLA010_battle,    8323243,       1470,    8323242,         -1,    9044235,          2,          0,    9044593,          2,          0,    9044566,          6,          0,         -1,          0,          0, 
 3 : katana_s_WSB020_battle,    8323321,       1220,    8323320,         -1,    9044235,          2,          0,    9044682,          4,          0,    9044594,          4,          0,         -1,          0,          0, 
 4 : katana_m_WMB010_battle,    8323354,       1340,    8323353,         -1,    9044235,          2,          0,    9044682,          4,          0,    9044423,          7,          0,         -1,          0,          0, 
 5 : katana_l_WLB010_battle,    8323395,       1540,    8323394,         -1,    9044235,          2,          0,    9044682,          4,          0,    9044458,          3,          0,         -1,          0,          0, 
 6 : axe_s_WSC010_battle,    8323441,       1280,    8323440,         -1,    9044235,          2,          0,    9044623,          3,          0,    9044515,          4,          0,         -1,          0,          0, 
 7 : axe_m_WMC020_battle,    8323468,       1410,    8323467,         -1,    9044235,          2,          0,    9044623,          3,          0,    9044451,          7,          0,         -1,          0,          0, 
 8 : axe_l_WLC020_battle,    8323513,       1600,    8323512,         -1,    9044235,          2,          0,    9044623,          3,          0,    9044395,          3,          0,         -1,          0,          0, 
 9 : hammer_s_WSD010_battle,    8323579,       1340,    8323578,         -1,    9044235,          2,          0,    9044565,          5,          0,    9044397,          4,          0,         -1,          0,          0, 
10 : hammer_m_WMD010_battle,    8323605,       1470,    8323604,         -1,    9044235,          2,          0,    9044565,          5,          0,    9044415,          4,          0,         -1,          0,          0, 
11 : hammer_l_WLD010_battle,    8323638,       1660,    8323637,         -1,    9044235,          2,          0,    9044565,          5,          0,    9044468,          6,          0,         -1,          0,          0, 
12 : lance_s_WSE020_battle,    8323724,       1540,    8323723,         -1,    9044235,          2,          0,    9044525,          6,          0,    9044495,          5,          0,         -1,          0,          0, 
13 : lance_m_WME030_battle,    8323745,       1660,    8323744,         -1,    9044235,          2,          0,    9044525,          6,          0,    9044411,          6,          0,         -1,          0,          0, 
14 : lance_l_WLE010_battle,    8323782,       1860,    8323781,         -1,    9044235,          2,          0,    9044525,          6,          0,    9044399,          6,          0,         -1,          0,          0, 
15 : staff_s_WSF010_battle,    8323857,       1410,    8323856,         -1,    9044235,          2,          0,    9044494,          4,          0,    9044535,          3,          0,         -1,          0,          0, 
16 : staff_m_WMF010_battle,    8323894,       1540,    8323893,         -1,    9044235,          2,          0,    9044494,          4,          0,    9044516,          3,          0,         -1,          0,          0, 
17 : sword_s_uniq_01,    8323155,       2450,    8323126,         -1,    9044235,          2,          0,    9044614,          5,          0,    9044688,          2,          0,         -1,          0,          0, 
18 : sword_s_WSA010_warriors,    8323128,       2590,    8323127,         -1,    9044243,          2,          0,    9044614,          5,          0,    9044683,          4,          0,         -1,          0,          0, 
19 : sword_m_WMA010_warriors,    8323172,       2880,    8323171,         -1,    9044243,          2,          0,    9044263,          1,          0,    9044692,          3,          0,         -1,          0,          0, 
20 : sword_m_WMA020_battle,    8323183,       1920,    8323182,         -1,    9044243,          2,          0,    9044263,          1,          0,    9044460,          3,          0,         -1,          0,          0, 
21 : sword_l_WLA010_warriors,    8323244,       3310,    8323243,         -1,    9044243,          2,          0,    9044340,          4,          0,    9044566,          6,          0,         -1,          0,          0, 
22 : sword_x_WXA010_battle,    8323294,       2500,    8323293,         -1,    9044243,          2,          0,    9044263,          1,          0,    9044420,          6,          0,         -1,          0,          0, 
23 : katana_s_WSB020_warriors,    8323322,       2740,    8323321,         -1,    9044243,          2,          0,    9044340,          4,          0,    9044594,          4,          0,         -1,          0,          0, 
24 : katana_m_WMB010_warriors,    8323355,       3020,    8323354,         -1,    9044243,          2,          0,    9044614,          5,          0,    9044423,          7,          0,         -1,          0,          0, 
25 : katana_l_WLB010_warriors,    8323396,       3460,    8323395,         -1,    9044243,          2,          0,    9044340,          4,          0,    9044458,          3,          0,         -1,          0,          0, 
26 : katana_x_WXB010_battle,    8323424,       2590,    8323423,         -1,    9044243,          2,          0,    9044263,          1,          0,    9044692,          3,          0,         -1,          0,          0, 
27 : axe_s_WSC010_warriors,    8323442,       2880,    8323441,         -1,    9044243,          2,          0,    9044340,          4,          0,    9044515,          4,          0,         -1,          0,          0, 
28 : axe_m_WMC020_warriors,    8323469,       3170,    8323468,         -1,    9044243,          2,          0,    9044340,          4,          0,    9044451,          7,          0,         -1,          0,          0, 
29 : axe_m_WMC030_battle,    8323480,       2110,    8323479,         -1,    9044243,          2,          0,    9044263,          1,          0,    9044420,          6,          0,         -1,          0,          0, 
30 : axe_l_WLC020_warriors,    8323514,       3600,    8323513,         -1,    9044243,          2,          0,    9044614,          5,          0,    9044395,          3,          0,         -1,          0,          0, 
31 : axe_x_WXC010_battle,    8323549,       2690,    8323548,         -1,    9044243,          2,          0,    9044263,          1,          0,    9044460,          3,          0,         -1,          0,          0, 
32 : hammer_s_WSD010_warriors,    8323580,       3020,    8323579,         -1,    9044243,          2,          0,    9044340,          4,          0,    9044397,          4,          0,         -1,          0,          0, 
