           km_,   km_namen,    km_help, km_adv_rank, km_adv_number, km_adv_reward, km_scenario_flag, km_s_numup, km_s_numdown, km_event_flag, km_e_numup, km_e_numdown, km_daijinamono, km_btl_lvup, km_btl_lvdown, km_read_only, km_guild_c, km_guild_n, km_guild_l, km_event_flag_rw, km_e_num_rw, km_target_type, km_type1_monster, km_type1_num, km_type2_item, km_type2_param_id, km_type2_param_num, km_type2_num, km_type3_class, km_type3_param_id, km_type3_param_num, km_type3_num, km_type4_num, km_type5_num, 
       sSlabel,    eSSHORT,    eSSHORT,     eUCHAR,     eUCHAR,    eSSHORT,     eSLONG,     eULONG,     eULONG,     eSLONG,     eULONG,     eULONG,    eSSHORT,     eULONG,     eULONG,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eSLONG,     eULONG,     eUCHAR,    eSSHORT,    eUSHORT,    eGLOBAL,     eUCHAR,    eUSHORT,    eUSHORT,    eSSHORT,     eUCHAR,    eUSHORT,    eUSHORT,    eUSHORT,    eUSHORT, 
 0 : low_zako_001,          1,          1,          1,          1,          0,          0,       1600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          1,         46,          6,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
 1 : low_zako_002,          2,          2,          1,          2,          1,          0,       1600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          1,        264,          5,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
 2 : low_material_001,         23,         23,          1,         21,          2,          0,       1600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044450,          0,          0,          4,         -1,          0,          0,          0,          0,          0, 
 3 : low_material_002,         24,         24,          1,         22,          3,          0,       1600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044459,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
 4 : low_material_003,         25,         25,          1,         23,          4,          0,       1600,          0,         -1,          0,          0,        291,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044489,          0,          0,          2,         -1,          0,          0,          0,          0,          0, 
 5 : low_member_num_001,         53,         53,          1,         51,          5,          0,       1600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          3,         -1,          0,         -1,          0,          0,          0,          2,          0,          0,          1,          0,          0, 
 6 : low_zako_003,          3,          3,          1,          3,          6,          0,       2600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          1,         60,          6,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
 7 : low_zako_004,          4,          4,          2,          4,          7,          0,       2600,          0,         -1,          0,          0,        291,          0,          0,          1,          0,          0,          1,         -1,          0,          1,        198,          7,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
 8 : low_material_004,         26,         26,          1,         24,          8,          0,       2600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044432,          0,          0,          5,         -1,          0,          0,          0,          0,          0, 
 9 : low_material_005,         27,         27,          1,         25,          9,          0,       2600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044443,          0,          0,          4,         -1,          0,          0,          0,          0,          0, 
10 : low_material_006,         28,         28,          1,         26,         10,          0,       2600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044485,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
11 : low_material_007,         29,         29,          2,         27,         11,          0,       2600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044422,          0,          0,          4,         -1,          0,          0,          0,          0,          0, 
12 : low_material_008,         30,         30,          2,         28,         12,          0,       2600,          0,         -1,          0,          0,        291,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044478,          0,          0,          2,         -1,          0,          0,          0,          0,          0, 
13 : low_eq_001,         51,         51,          2,         49,         13,          0,       2600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    8323161,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
14 : low_zako_005,          5,          5,          2,          5,         14,          0,       3100,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          1,        288,          3,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
15 : low_zako_006,          6,          6,          2,          6,         15,          0,       3100,          0,         -1,          0,          0,        292,          0,          0,          1,          0,          0,          1,         -1,          0,          1,         34,          5,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
16 : low_named_001,         17,         17,          2,         17,         16,          0,       3100,          0,         -1,          0,          0,        291,          0,          0,          1,          0,          0,          1,         -1,          0,          1,        261,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
17 : low_material_009,         31,         31,          2,         29,         17,          0,       3100,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044425,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
18 : low_material_010,         32,         32,          2,         30,         18,          0,       3100,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044465,          0,          0,          4,         -1,          0,          0,          0,          0,          0, 
19 : low_material_011,         33,         33,          2,         31,         19,          0,       3100,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044419,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
20 : low_material_012,         34,         34,          2,         32,         20,          0,       3100,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044435,          0,          0,          2,         -1,          0,          0,          0,          0,          0, 
21 : low_material_013,         35,         35,          2,         33,         21,          0,       3100,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044484,          0,          0,          2,         -1,          0,          0,          0,          0,          0, 
22 : low_material_014,         36,         36,          2,         34,         22,          0,       3100,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044461,          0,          0,          4,         -1,          0,          0,          0,          0,          0, 
23 : low_member_personal_001,         55,         55,          3,         53,         23,          0,       3100,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          3,         -1,          0,         -1,          0,          0,          0,         -1,          2,         35,          1,          0,          0, 
