           km_,   km_money,   km_item1,   km_eqlv1,    km_num1,   km_item2,   km_eqlv2,    km_num2,   km_item3,   km_eqlv3,    km_num3,   km_item4,   km_eqlv4,    km_num4, 
       sSlabel,     eULONG,    eGLOBAL,     eSCHAR,     eUCHAR,    eGLOBAL,     eSCHAR,     eUCHAR,    eGLOBAL,     eSCHAR,     eUCHAR,    eGLOBAL,     eSCHAR,     eUCHAR, 
 0 : low_zako_001,       1800,    9044106,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
 1 : low_zako_002,          0,    8913187,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
 2 : low_material_001,       1500,    9044106,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
 3 : low_material_002,       1600,    9044106,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
 4 : low_material_003,          0,    8913247,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
 5 : low_member_num_001,       1400,    9044106,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
 6 : low_zako_003,       2800,    9044106,         99,          3,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
 7 : low_zako_004,       2700,    9044106,         99,          3,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
 8 : low_material_004,          0,    8913225,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
 9 : low_material_005,       2500,    9044106,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
10 : low_material_006,          0,    8913206,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
11 : low_material_007,       2600,    9044106,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
12 : low_material_008,          0,    8913266,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
13 : low_eq_001,       2900,    9044106,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
14 : low_zako_005,       3800,    9044106,         99,          3,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
15 : low_zako_006,          0,    8913249,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
16 : low_named_001,          0,    8913188,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
17 : low_material_009,       3100,    9044106,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
18 : low_material_010,       3600,    9044106,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
19 : low_material_011,          0,    8913132,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
20 : low_material_012,       3200,    9044106,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
21 : low_material_013,       3500,    9044106,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
22 : low_material_014,       3400,    9044106,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
23 : low_member_personal_001,       3600,    9044106,         99,          4,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
24 : low_zako_007,          0,    8913219,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
25 : low_zako_008,          0,    8913278,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
26 : low_named_002,       5000,    9044106,         99,          5,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
27 : low_material_015,          0,    8913134,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
28 : low_material_016,       4400,    9044106,         99,          3,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
29 : low_material_017,       4600,    9044106,         99,          3,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
