           km_,   km_chara,     km_pay, km_scenario_flag, km_s_numup, km_s_numdown, km_event_flag, km_e_numup, km_e_numdown, km_need_clear_adventure, km_daijinamono, km_btl_lvup, km_btl_lvdown, km_read_only, km_respawn, km_respawn_btlnum, km_respawn_time,   km_ASC_c,   km_ASC_n,   km_ASC_l,   km_CPC_c,   km_CPC_n,   km_CPC_l,   km_ERC_c,   km_ERC_n,   km_ERC_l,   km_VAL_c,   km_VAL_n,   km_VAL_l,   km_RIO_c,   km_RIO_n,   km_RIO_l,   km_BAR_c,   km_BAR_n,   km_BAR_l,   km_GOL_c,   km_GOL_n,   km_GOL_l,   km_MEL_c,   km_MEL_n,   km_MEL_l,   km_NGP_c,   km_NGP_n,   km_NGP_l,   km_UNB_c,   km_UNB_n,   km_UNB_l, 
       sSlabel,    eSSHORT,     eULONG,     eSLONG,     eULONG,     eULONG,     eSLONG,     eULONG,     eULONG,    eSSHORT,    eSSHORT,     eULONG,     eULONG,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 : btl_pc_baulson,          7,       2800,          0,        900,          0,     103015,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 1 : btl_free_npc,          8,        680,          0,        900,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,         20,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 2 : btl_free_npc,          9,        790,          0,        900,          0,         -1,          0,          0,         62,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 3 : btl_free_npc,         10,        780,          0,        900,          0,         -1,          0,          0,         65,         -1,          0,          0,          1,          1,          0,        120,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 4 : btl_free_npc,         11,        800,          0,        900,          0,         -1,          0,          0,         64,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 5 : btl_free_npc,         12,        770,          0,        900,          0,         -1,          0,          0,         66,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 6 : btl_free_npc_034,         13,        680,          0,        900,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,         20,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 7 : btl_free_npc_064,         14,        820,          0,        900,          0,         -1,          0,          0,         67,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 8 : btl_free_npc,         15,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
