           km_, km_check_num,  km_S_flag, km_check_num_1,    km_item,    km_eplv, 
       sSlabel,     eUCHAR,     eULONG,     eUCHAR,    eGLOBAL,     eSCHAR, 
 0 :    ASC_W01,          6,       7100,          1,    8323615,          0, 
 1 :          @,          0,       6400,          1,    8323478,          0, 
 2 :          @,          0,       5000,          2,    8323536,          0, 
 3 :          @,          0,       5000,          0,    8324180,          0, 
 4 :          @,          0,       3800,          2,    8324294,          0, 
 5 :          @,          0,       3800,          0,    8324354,          0, 
 6 :          @,          0,       3200,          1,    8323206,          0, 
 7 :          @,          0,          0,          6,    8323353,          0, 
 8 :          @,          0,          0,          0,    8323467,          0, 
 9 :          @,          0,          0,          0,    8323604,          0, 
10 :          @,          0,          0,          0,    8323744,          0, 
11 :          @,          0,          0,          0,    8323893,          0, 
12 :          @,          0,          0,          0,    8324115,          0, 
13 :    ASC_I01,          6,       3800,          2,    8978437,         99, 
14 :          @,          0,       3800,          0,    8978441,         99, 
15 :          @,          0,       3100,          3,    8978440,         99, 
16 :          @,          0,       3100,          0,    8978434,         99, 
17 :          @,          0,       3100,          0,    8978436,         99, 
18 :          @,          0,       2600,          1,    8978456,         99, 
19 :          @,          0,       1500,          2,    8978433,         99, 
20 :          @,          0,       1500,          0,    8978439,         99, 
21 :          @,          0,        900,          1,    8978435,         99, 
22 :          @,          0,          0,          4,    8978432,         99, 
23 :          @,          0,          0,          0,    8978438,         99, 
24 :          @,          0,          0,          0,    8978455,         99, 
25 :          @,          0,          0,          0,    8978451,         99, 
26 :    ASC_M01,          5,       3800,          1,    9044338,         99, 
27 :          @,          0,       2600,          1,    9044407,         99, 
28 :          @,          0,       1500,          2,    9044243,         99, 
29 :          @,          0,       1500,          0,    9044397,         99, 
30 :          @,          0,        900,          1,    9044235,         99, 
31 :          @,          0,          0,          2,    9044406,         99, 
32 :          @,          0,          0,          0,    9044415,         99, 
33 :    ASC_R01,          3,       6400,          1,    8324103,          0, 
34 :          @,          0,       3800,          1,    8324320,          0, 
35 :          @,          0,          0,          5,    8323170,          0, 
36 :          @,          0,          0,          0,    8324092,          0, 
37 :          @,          0,          0,          0,    8324338,          0, 
38 :          @,          0,          0,          0,    8324276,          0, 
39 :          @,          0,          0,          0,    8324246,          0, 
40 :    ASC_Z01,          2,       6850,          1,    8323707,          0, 
41 :          @,          0,          0,          9,    8323233,          0, 
42 :          @,          0,          0,          0,    8324152,          0, 
43 :          @,          0,          0,          0,    8323980,          0, 
44 :          @,          0,          0,          0,    8323984,          0, 
45 :          @,          0,          0,          0,    8324042,          0, 
46 :          @,          0,          0,          0,    8324004,          0, 
47 :          @,          0,          0,          0,    8324008,          0, 
48 :          @,          0,          0,          0,    8324056,          0, 
49 :          @,          0,          0,          0,    8324060,          0, 
50 :    ASC_Z02,          4,       5600,          2,    8324329,          0, 
51 :          @,          0,       5600,          0,    8324401,          0, 
52 :          @,          0,       3200,          1,    8324330,          0, 
53 :          @,          0,       2600,          1,    8324291,          0, 
54 :          @,          0,          0,          1,    8324404,          0, 

