           km_, km_check_num,  km_S_flag, km_check_num_1,    km_item,    km_eplv, 
       sSlabel,     eUCHAR,     eULONG,     eUCHAR,    eGLOBAL,     eSCHAR, 
 0 :    CPC_W01,          6,       6850,          2,    8323193,          0, 
 1 :          @,          0,       6850,          0,    8324138,          0, 
 2 :          @,          0,       6400,          2,    8323648,          0, 
 3 :          @,          0,       6400,          0,    8323792,          0, 
 4 :          @,          0,       6100,          1,    8324296,          0, 
 5 :          @,          0,       3200,          2,    8323389,          0, 
 6 :          @,          0,       3200,          0,    8323661,          0, 
 7 :          @,          0,       2600,          1,    8323635,          0, 
 8 :          @,          0,          0,          8,    8323182,          0, 
 9 :          @,          0,          0,          0,    8323242,          0, 
10 :          @,          0,          0,          0,    8323394,          0, 
11 :          @,          0,          0,          0,    8323512,          0, 
12 :          @,          0,          0,          0,    8323637,          0, 
13 :          @,          0,          0,          0,    8323781,          0, 
14 :          @,          0,          0,          0,    8324127,          0, 
15 :          @,          0,          0,          0,    8324231,          0, 
16 :    CPC_I01,          6,       5000,          2,    8978444,         99, 
17 :          @,          0,       5000,          0,    8978450,         99, 
18 :          @,          0,       3800,          3,    8978443,         99, 
19 :          @,          0,       3800,          0,    8978448,         99, 
20 :          @,          0,       3800,          0,    8978449,         99, 
21 :          @,          0,       3100,          3,    8978440,         99, 
22 :          @,          0,       3100,          0,    8978434,         99, 
23 :          @,          0,       3100,          0,    8978436,         99, 
24 :          @,          0,       2600,          3,    8978446,         99, 
25 :          @,          0,       2600,          0,    8978447,         99, 
26 :          @,          0,       2600,          0,    8978456,         99, 
27 :          @,          0,        900,          1,    8978435,         99, 
28 :          @,          0,          0,          6,    8978442,         99, 
29 :          @,          0,          0,          0,    8978445,         99, 
30 :          @,          0,          0,          0,    8978432,         99, 
31 :          @,          0,          0,          0,    8978438,         99, 
32 :          @,          0,          0,          0,    8978455,         99, 
33 :          @,          0,          0,          0,    8978451,         99, 
34 :    CPC_M01,          4,       3200,          1,    9044388,         99, 
35 :          @,          0,       2600,          2,    9044341,         99, 
36 :          @,          0,       2600,          0,    9044387,         99, 
37 :          @,          0,       1500,          2,    9044340,         99, 
38 :          @,          0,       1500,          0,    9044386,         99, 
39 :          @,          0,          0,          2,    9044251,         99, 
40 :          @,          0,          0,          0,    9044235,         99, 
41 :    CPC_R01,          1,          0,          8,    8323774,          0, 
42 :          @,          0,          0,          0,    8324188,          0, 
43 :          @,          0,          0,          0,    8324156,          0, 
44 :          @,          0,          0,          0,    8324394,          0, 
45 :          @,          0,          0,          0,    8324306,          0, 
46 :          @,          0,          0,          0,    8324363,          0, 
47 :          @,          0,          0,          0,    8324388,          0, 
48 :          @,          0,          0,          0,    8324219,          0, 

