           km_, km_vendor_name, km_goods_list, km_city_asc, km_city_cpc, km_city_erc, km_city_val, km_city_rio, km_city_bar, km_city_gol, km_city_mel, km_city_ngp, km_city_unb, km_on_trade, km_t_help_top1, km_t_help_top2, km_t_help_top3, km_t_help_top4, km_t_help_top5, km_t_help_top6, km_t_help_buy1, km_t_help_buy2, km_t_help_buy3, km_t_help_buy4, km_t_help_buy5, km_t_help_buy6, km_t_help_buy7, km_t_help_buy8, km_t_help_buy9, km_t_help_buy10, km_t_help_buy11, km_t_help_buy12, km_t_help_buy13, km_t_help_sell1, km_t_help_sell2, km_t_help_sell3, km_t_help_sell4, km_t_help_sell5, km_t_help_sell6, km_t_help_sell7, 
       sSlabel,    eSSHORT,    eGLOBAL,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT, 
 0 :    ASC_W01,        744,   10289152,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
 1 :    ASC_I01,        746,   10289165,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
 2 :    ASC_R01,        747,   10289185,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
 3 :    ASC_M01,        748,   10289178,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
 4 :    ASC_Z02,        749,   10289202,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         26,         27,         28,         -1,         29,         -1,         30,         31,         32,         33,         34,         36,         37,         38,         39,         40,         35,         41,         42,         43,         44,         45,         46,         48,         49,         50, 
 5 :    ASC_Z01,        750,   10289192,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         26,         27,         28,         -1,         29,         -1,         30,         31,         32,         33,         34,         36,         37,         38,         39,         40,         35,         41,         42,         43,         44,         45,         46,         48,         49,         50, 
 6 :    CPC_W01,        755,   10420224,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          2,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
 7 :    CPC_I01,        757,   10420240,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          4,         26,         27,         28,         -1,         29,         -1,         30,         31,         32,         33,         34,         36,         37,         38,         39,         40,         35,         41,         42,         43,         44,         45,         46,         48,         49,         50, 
 8 :    CPC_M01,        758,   10420258,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          3,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
