           km_, km_vendor_name,  km_is_law, km_is_neutral, km_is_chaos, km_city_asc, km_city_cpc, km_city_erc, km_city_val, km_city_rio, km_city_bar, km_city_gol, km_city_mel, km_city_ngp, km_city_unb, km_t_help_top1, km_t_help_top2, km_t_help_top3, km_t_help_top4, km_t_help_top5, 
       sSlabel,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT, 
 0 : asc_offices,        801,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        198,        199,        200,        201,        202, 
 1 :     ASC_GN,        538,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        188,        189,        190,        191,        192, 
 2 :     ASC_GC,        540,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        193,        194,        195,        196,        197, 
 3 :     CPC_GN,        538,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        188,        189,        190,        191,        192, 
 4 :     CPC_GL,        539,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        188,        189,        190,        191,        192, 
 5 :     ERC_GN,        538,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        188,        189,        190,        191,        192, 
 6 :     ERC_GL,        539,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        188,        189,        190,        191,        192, 
 7 :     ERC_GC,        540,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        193,        194,        195,        196,        197, 
 8 :     VAL_GN,        538,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,        188,        189,        190,        191,        192, 
 9 :     RIO_GN,        538,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,        188,        189,        190,        191,        192, 
10 :     BAR_GN,        538,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,        188,        189,        190,        191,        192, 
11 :     GOL_GC,        541,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        193,        194,        195,        196,        197, 
12 :     MEL_GN,        538,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,        188,        189,        190,        191,        192, 
13 :     NGP_GN,        538,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,        188,        189,        190,        191,        192, 
14 :     UNB_GN,        538,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,        188,        189,        190,        191,        192, 

