           km_, km_check_num,  km_S_flag, km_check_num_1,    km_item,    km_eplv, 
       sSlabel,     eUCHAR,     eULONG,     eUCHAR,    eGLOBAL,     eSCHAR, 
 0 :    ERC_W01,          4,       7100,          4,    8323205,          0, 
 1 :          @,          0,       7100,          0,    8323376,          0, 
 2 :          @,          0,       7100,          0,    8323660,          0, 
 3 :          @,          0,       7100,          0,    8323928,          0, 
 4 :          @,          0,       6850,          1,    8323490,          0, 
 5 :          @,          0,       3800,          1,    8323212,          0, 
 6 :          @,          0,          0,          6,    8323194,          0, 
 7 :          @,          0,          0,          0,    8323365,          0, 
 8 :          @,          0,          0,          0,    8323479,          0, 
 9 :          @,          0,          0,          0,    8323649,          0, 
10 :          @,          0,          0,          0,    8323756,          0, 
11 :          @,          0,          0,          0,    8323917,          0, 
12 :    ERC_I01,          3,       5600,          2,    8978460,         99, 
13 :          @,          0,       5600,          0,    8978454,         99, 
14 :          @,          0,       5000,          3,    8978459,         99, 
15 :          @,          0,       5000,          0,    8978458,         99, 
16 :          @,          0,       5000,          0,    8978453,         99, 
17 :          @,          0,          0,          5,    8978457,         99, 
18 :          @,          0,          0,          0,    8978456,         99, 
19 :          @,          0,          0,          0,    8978452,         99, 
20 :          @,          0,          0,          0,    8978455,         99, 
21 :          @,          0,          0,          0,    8978451,         99, 
22 :    ERC_I02,          3,       3100,          3,    8978440,         99, 
23 :          @,          0,       3100,          0,    8978434,         99, 
24 :          @,          0,       3100,          0,    8978436,         99, 
25 :          @,          0,        900,          1,    8978435,         99, 
26 :          @,          0,          0,          2,    8978432,         99, 
27 :          @,          0,          0,          0,    8978438,         99, 
28 :    ERC_M01,          3,       5600,          1,    9044375,         99, 
29 :          @,          0,       2600,          2,    9044376,         99, 
30 :          @,          0,       2600,          0,    9044237,         99, 
31 :          @,          0,          0,          4,    9044236,         99, 
32 :          @,          0,          0,          0,    9044354,         99, 
33 :          @,          0,          0,          0,    9044235,         99, 
34 :          @,          0,          0,          0,    9044263,         99, 
35 :    ERC_Z01,          2,       3800,          1,    8324428,          0, 
36 :          @,          0,          0,          3,    8324339,          0, 
37 :          @,          0,          0,          0,    8324277,          0, 
38 :          @,          0,          0,          0,    8324247,          0, 
39 :    ERC_R01,          5,       7100,          2,    8323627,          0, 
40 :          @,          0,       7100,          0,    8323954,          0, 
41 :          @,          0,       5600,          1,    8324380,          0, 
42 :          @,          0,       3800,          1,    8323929,          0, 
43 :          @,          0,       2600,          1,    8324423,          0, 
44 :          @,          0,          0,          4,    8323417,          0, 
45 :          @,          0,          0,          0,    8323616,          0, 
46 :          @,          0,          0,          0,    8323905,          0, 
47 :          @,          0,          0,          0,    8323943,          0, 
48 :    ERC_R02,          3,       7100,          3,    8323265,          0, 
49 :          @,          0,       7100,          0,    8323535,          0, 
50 :          @,          0,       7100,          0,    8324179,          0, 
51 :          @,          0,       6850,          1,    8323804,          0, 
52 :          @,          0,          0,          5,    8324259,          0, 
53 :          @,          0,          0,          0,    8323254,          0, 
54 :          @,          0,          0,          0,    8323524,          0, 
55 :          @,          0,          0,          0,    8323793,          0, 
56 :          @,          0,          0,          0,    8324168,          0, 

