           km_, km_check_num,  km_S_flag, km_check_num_1,    km_item,    km_eplv, 
       sSlabel,     eUCHAR,     eULONG,     eUCHAR,    eGLOBAL,     eSCHAR, 
 0 : ASC_WA_001,          1,          0,         52,    8323206,         -9, 
 1 :          @,          0,          0,          0,    8323212,         -8, 
 2 :          @,          0,          0,          0,    8324016,         -7, 
 3 :          @,          0,          0,          0,    8324139,         -6, 
 4 :          @,          0,          0,          0,    8324279,         -5, 
 5 :          @,          0,          0,          0,    8324283,         -4, 
 6 :          @,          0,          0,          0,    8324313,         -3, 
 7 :          @,          0,          0,          0,    8324275,          0, 
 8 :          @,          0,          0,          0,    8324242,          0, 
 9 :          @,          0,          0,          0,    8324375,          0, 
10 :          @,          0,          0,          0,    8323206,         -2, 
11 :          @,          0,          0,          0,    8323212,         -1, 
12 :          @,          0,          0,          0,    8324016,          0, 
13 :          @,          0,          0,          0,    8324139,          1, 
14 :          @,          0,          0,          0,    8324279,          0, 
15 :          @,          0,          0,          0,    8324283,          0, 
16 :          @,          0,          0,          0,    8324313,          0, 
17 :          @,          0,          0,          0,    8324275,          0, 
18 :          @,          0,          0,          0,    8324242,          0, 
19 :          @,          0,          0,          0,    8324375,          0, 
20 :          @,          0,          0,          0,    8323206,          2, 
21 :          @,          0,          0,          0,    8323212,          3, 
22 :          @,          0,          0,          0,    8324016,          4, 
23 :          @,          0,          0,          0,    8324139,          5, 
24 :          @,          0,          0,          0,    8324279,          0, 
25 :          @,          0,          0,          0,    8324283,          0, 
26 :          @,          0,          0,          0,    8324313,          0, 
27 :          @,          0,          0,          0,    8324275,          0, 
28 :          @,          0,          0,          0,    8324375,          0, 
29 :          @,          0,          0,          0,    8324564,          0, 
30 :          @,          0,          0,          0,    8324565,          0, 
31 :          @,          0,          0,          0,    8324566,          0, 
32 :          @,          0,          0,          0,    8324567,          0, 
33 :          @,          0,          0,          0,    8324568,          0, 
34 :          @,          0,          0,          0,    8324569,          0, 
35 :          @,          0,          0,          0,    8324570,          0, 
36 :          @,          0,          0,          0,    8324571,          0, 
37 :          @,          0,          0,          0,    8324572,          0, 
38 :          @,          0,          0,          0,    8324573,          0, 
39 :          @,          0,          0,          0,    8324574,          0, 
40 :          @,          0,          0,          0,    8324575,          0, 
41 :          @,          0,          0,          0,    8324576,          0, 
42 :          @,          0,          0,          0,    8324577,          0, 
43 :          @,          0,          0,          0,    8324578,          0, 
44 :          @,          0,          0,          0,    8324579,          0, 
45 :          @,          0,          0,          0,    8324580,          0, 
46 :          @,          0,          0,          0,    8324581,          0, 
47 :          @,          0,          0,          0,    8324582,          0, 
48 :          @,          0,          0,          0,    8324583,          0, 
49 :          @,          0,          0,          0,    8324584,          0, 
50 :          @,          0,          0,          0,    8324585,          0, 
51 :          @,          0,          0,          0,    8324586,          0, 
52 : ASC_AL_001,          1,          0,         40,    8323144,          0, 
53 :          @,          0,          0,          0,    8323218,          0, 
54 :          @,          0,          0,          0,    8323272,          0, 
55 :          @,          0,          0,          0,    8323305,          0, 
56 :          @,          0,          0,          0,    8323344,          0, 
57 :          @,          0,          0,          0,    8323377,          0, 
58 :          @,          0,          0,          0,    8323406,          0, 
59 :          @,          0,          0,          0,    8323423,          0, 
60 :          @,          0,          0,          0,    8323440,          0, 
61 :          @,          0,          0,          0,    8323497,          0, 
62 :          @,          0,          0,          0,    8323536,          0, 
63 :          @,          0,          0,          0,    8323560,          0, 
64 :          @,          0,          0,          0,    8323590,          0, 
65 :          @,          0,          0,          0,    8323628,          0, 
66 :          @,          0,          0,          0,    8323667,          0, 
67 :          @,          0,          0,          0,    8323707,          0, 
68 :          @,          0,          0,          0,    8323735,          0, 
69 :          @,          0,          0,          0,    8323768,          0, 
70 :          @,          0,          0,          0,    8323811,          0, 
71 :          @,          0,          0,          0,    8323840,          0, 
72 :          @,          0,          0,          0,    8323868,          0, 
73 :          @,          0,          0,          0,    8323929,          0, 
74 :          @,          0,          0,          0,    8323955,          0, 
75 :          @,          0,          0,          0,    8323967,          0, 
76 :          @,          0,          0,          0,    8323992,          0, 
77 :          @,          0,          0,          0,    8324002,          0, 
78 :          @,          0,          0,          0,    8324014,          0, 
79 :          @,          0,          0,          0,    8324024,          0, 
80 :          @,          0,          0,          0,    8324030,          0, 
81 :          @,          0,          0,          0,    8324040,          0, 
82 :          @,          0,          0,          0,    8324048,          0, 
83 :          @,          0,          0,          0,    8324054,          0, 
84 :          @,          0,          0,          0,    8324064,          0, 
85 :          @,          0,          0,          0,    8324072,          0, 
86 :          @,          0,          0,          0,    8324084,          0, 
87 :          @,          0,          0,          0,    8324090,          0, 
88 :          @,          0,          0,          0,    8324104,          0, 
89 :          @,          0,          0,          0,    8324139,          0, 
90 :          @,          0,          0,          0,    8324180,          0, 
91 :          @,          0,          0,          0,    8324206,          0, 

