           km_, km_check_num,  km_S_flag, km_check_num_1,    km_item,    km_eplv, 
       sSlabel,     eUCHAR,     eULONG,     eUCHAR,    eGLOBAL,     eSCHAR, 
 0 :    GOL_W01,          4,       5600,          1,    8324265,          0, 
 1 :          @,          0,       5000,          1,    8324358,          0, 
 2 :          @,          0,       3200,          3,    8323491,          0, 
 3 :          @,          0,       3200,          0,    8324365,          0, 
 4 :          @,          0,       3200,          0,    8324248,          0, 
 5 :          @,          0,          0,          2,    8323543,          0, 
 6 :          @,          0,          0,          0,    8324345,          0, 
 7 :    GOL_Z01,          3,       5000,          2,    9044321,         99, 
 8 :          @,          0,       5000,          0,    9044355,         99, 
 9 :          @,          0,       3200,          2,    8324340,          0, 
10 :          @,          0,       3200,          0,    8324278,          0, 
11 :          @,          0,          0,          2,    8323962,          0, 
12 :          @,          0,          0,          0,    8324234,          0, 
13 :    GOL_R01,          3,       7100,          3,    8323706,          0, 
14 :          @,          0,       7100,          0,    8323839,          0, 
15 :          @,          0,       7100,          0,    8324205,          0, 
16 :          @,          0,       6850,          2,    8323434,          0, 
17 :          @,          0,       6850,          0,    8323694,          0, 
18 :          @,          0,          0,          7,    8323293,          0, 
19 :          @,          0,          0,          0,    8323423,          0, 
20 :          @,          0,          0,          0,    8323548,          0, 
21 :          @,          0,          0,          0,    8323683,          0, 
22 :          @,          0,          0,          0,    8323695,          0, 
23 :          @,          0,          0,          0,    8323828,          0, 
24 :          @,          0,          0,          0,    8324194,          0, 

