           km_, km_check_num,  km_S_flag, km_check_num_1,    km_item,    km_eplv, 
       sSlabel,     eUCHAR,     eULONG,     eUCHAR,    eGLOBAL,     eSCHAR, 
 0 :    MEL_W01,          3,       3800,          1,    8323266,          0, 
 1 :          @,          0,       3200,          2,    8324390,          0, 
 2 :          @,          0,       3200,          0,    8324327,          0, 
 3 :          @,          0,          0,          3,    8323938,          0, 
 4 :          @,          0,          0,          0,    8323285,          0, 
 5 :          @,          0,          0,          0,    8324229,          0, 
 6 :    MEL_I01,          8,       6850,          1,    8978489,         99, 
 7 :          @,          0,       6100,          2,    8978484,         99, 
 8 :          @,          0,       6100,          0,    8978488,         99, 
 9 :          @,          0,       5600,          2,    8978483,         99, 
10 :          @,          0,       5600,          0,    8978487,         99, 
11 :          @,          0,       3800,          1,    8978486,         99, 
12 :          @,          0,       3100,          3,    8978440,         99, 
13 :          @,          0,       3100,          0,    8978434,         99, 
14 :          @,          0,       3100,          0,    8978436,         99, 
15 :          @,          0,       2600,          1,    8978456,         99, 
16 :          @,          0,        900,          1,    8978435,         99, 
17 :          @,          0,          0,          6,    8978482,         99, 
18 :          @,          0,          0,          0,    8978485,         99, 
19 :          @,          0,          0,          0,    8978432,         99, 
20 :          @,          0,          0,          0,    8978438,         99, 
21 :          @,          0,          0,          0,    8978455,         99, 
22 :          @,          0,          0,          0,    8978451,         99, 
23 :    MEL_M01,          2,       5000,          1,    9044360,         99, 
24 :          @,          0,          0,          2,    9044306,         99, 
25 :          @,          0,          0,          0,    9044355,         99, 
26 :    MEL_Z01,          3,       7100,          2,    8323343,          0, 
27 :          @,          0,       7100,          0,    8323463,          0, 
28 :          @,          0,       6400,          1,    8323734,          0, 
29 :          @,          0,          0,          8,    8323126,          0, 
30 :          @,          0,          0,          0,    8323320,          0, 
31 :          @,          0,          0,          0,    8323332,          0, 
32 :          @,          0,          0,          0,    8323440,          0, 
33 :          @,          0,          0,          0,    8323452,          0, 
34 :          @,          0,          0,          0,    8323578,          0, 
35 :          @,          0,          0,          0,    8323723,          0, 
36 :          @,          0,          0,          0,    8323856,          0, 

