           km_, km_check_num,  km_S_flag, km_check_num_1,    km_item,    km_eplv, 
       sSlabel,     eUCHAR,     eULONG,     eUCHAR,    eGLOBAL,     eSCHAR, 
 0 :    NGP_W01,          4,       5000,          2,    8323824,          0, 
 1 :          @,          0,       5000,          0,    8323955,          0, 
 2 :          @,          0,       3200,          3,    8324308,          0, 
 3 :          @,          0,       3200,          0,    8324221,          0, 
 4 :          @,          0,       3200,          0,    8324353,          0, 
 5 :          @,          0,       3100,          1,    8324104,          0, 
 6 :          @,          0,          0,          2,    8323231,          0, 
 7 :          @,          0,          0,          0,    8324427,          0, 
 8 :    NGP_I01,          8,       6850,          2,    8978475,         99, 
 9 :          @,          0,       6850,          0,    8978481,         99, 
10 :          @,          0,       6400,          3,    8978474,         99, 
11 :          @,          0,       6400,          0,    8978479,         99, 
12 :          @,          0,       6400,          0,    8978480,         99, 
13 :          @,          0,       6100,          3,    8978473,         99, 
14 :          @,          0,       6100,          0,    8978477,         99, 
15 :          @,          0,       6100,          0,    8978478,         99, 
16 :          @,          0,       5600,          1,    8978472,         99, 
17 :          @,          0,       3100,          3,    8978440,         99, 
18 :          @,          0,       3100,          0,    8978434,         99, 
19 :          @,          0,       3100,          0,    8978436,         99, 
20 :          @,          0,       2600,          1,    8978456,         99, 
21 :          @,          0,        900,          1,    8978435,         99, 
22 :          @,          0,          0,          5,    8978476,         99, 
23 :          @,          0,          0,          0,    8978432,         99, 
24 :          @,          0,          0,          0,    8978438,         99, 
25 :          @,          0,          0,          0,    8978455,         99, 
26 :          @,          0,          0,          0,    8978451,         99, 
27 :    NGP_M01,          2,       5000,          1,    9044256,         99, 
28 :          @,          0,          0,          3,    9044244,         99, 
29 :          @,          0,          0,          0,    9044366,         99, 
30 :          @,          0,          0,          0,    9044401,         99, 
31 :    NGP_Z02,          1,          0,          4,    8324286,          0, 
32 :          @,          0,          0,          0,    8324425,          0, 
33 :          @,          0,          0,          0,    8323825,          0, 
34 :          @,          0,          0,          0,    8323509,          0, 
35 :    NGP_R01,          1,          0,          3,    9044395,         99, 
36 :          @,          0,          0,          0,    9044397,         99, 
37 :          @,          0,          0,          0,    9044386,         99, 
38 :    NGP_R02,          1,          0,          4,    9044404,         99, 
39 :          @,          0,          0,          0,    9044379,         99, 
40 :          @,          0,          0,          0,    9044392,         99, 
41 :          @,          0,          0,          0,    9044252,         99, 
42 :    NGP_R03,          1,          0,          4,    9044362,         99, 
43 :          @,          0,          0,          0,    9044331,         99, 
44 :          @,          0,          0,          0,    9044369,         99, 
45 :          @,          0,          0,          0,    9044310,         99, 
46 :    NGP_R04,          1,          0,          3,    9044335,         99, 
47 :          @,          0,          0,          0,    9044366,         99, 
48 :          @,          0,          0,          0,    9044359,         99, 
49 :    NGP_Z01,          1,          0,          3,    8324263,          0, 
50 :          @,          0,          0,          0,    8324292,          0, 
51 :          @,          0,          0,          0,    8324399,          0, 

