           km_, km_check_num,  km_S_flag, km_check_num_1,    km_item,    km_eplv, 
       sSlabel,     eUCHAR,     eULONG,     eUCHAR,    eGLOBAL,     eSCHAR, 
 0 :    RIO_W01,          2,       3800,          1,    8323628,          0, 
 1 :          @,          0,          0,          4,    8323601,          0, 
 2 :          @,          0,          0,          0,    8323284,          0, 
 3 :          @,          0,          0,          0,    8324307,          0, 
 4 :          @,          0,          0,          0,    8324389,          0, 
 5 :    RIO_Z01,          3,       5000,          2,    9044256,         99, 
 6 :          @,          0,       5000,          0,    9044247,         99, 
 7 :          @,          0,       3200,          2,    9044245,         99, 
 8 :          @,          0,       3200,          0,    9044334,         99, 
 9 :          @,          0,          0,          5,    9044235,         99, 
10 :          @,          0,          0,          0,    9044251,         99, 
11 :          @,          0,          0,          0,    9044237,         99, 
12 :          @,          0,          0,          0,    9044236,         99, 
13 :          @,          0,          0,          0,    9044244,         99, 
14 :    RIO_R01,          1,          0,          7,    8324395,          0, 
15 :          @,          0,          0,          0,    8323994,          0, 
16 :          @,          0,          0,          0,    8323998,          0, 
17 :          @,          0,          0,          0,    8324050,          0, 
18 :          @,          0,          0,          0,    8324026,          0, 
19 :          @,          0,          0,          0,    8324074,          0, 
20 :          @,          0,          0,          0,    8324078,          0, 

