           km_,    km_type, km_trade_rank, km_sort_priority, km_get_item, km_get_eplv,   km_zaiko,    km_cost, km_sozai_type1, km_sozai_type2, km_sozai_type3, km_sozai_type4, km_sozai_type5, km_sozai_type6, km_sozai_type7, km_sozai_type8,     km_ASC,     km_CPC,     km_ERC,     km_VAL,     km_RIO,     km_BAR,     km_GOL,     km_MEL,     km_NGP,     km_UNB,     km_etc, 
       sSlabel,     eUCHAR,     eUCHAR,     eUCHAR,    eGLOBAL,     eSCHAR,     eUCHAR,     eULONG,    eUSHORT,    eUSHORT,    eUSHORT,    eUSHORT,    eUSHORT,    eUSHORT,    eUSHORT,    eUSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 :     rank_0,          0,          1,          1,    9044345,         99,          3,       1300,          1,          0,          4,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 1 :     rank_0,          0,          1,          2,    8323394,          0,          1,        540,          1,          0,          0,          0,          0,          0,          4,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 2 :     rank_1,          0,          2,          1,    9044041,         99,          1,         90,          7,          0,          0,          0,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
 3 :     rank_1,          0,          2,          2,    9044057,         99,          1,         90,          7,          0,          0,          0,          0,          5,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
 4 :     rank_1,          0,          2,          3,    9044073,         99,          1,         90,          7,          0,          0,          0,          0,          7,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
 5 :     rank_1,          0,          2,          4,    9044065,         99,          1,         90,          7,          0,          0,          0,          0,          9,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
 6 :     rank_1,          0,          2,          5,    9044089,         99,          1,         90,          7,          0,          0,          0,          0,         10,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
 7 :     rank_1,          1,          2,          6,    8323935,          0,          1,       3670,          8,          0,          0,          0,          0,          0,          8,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 8 :     rank_2,          0,          3,          1,    9044074,         99,          1,        180,         14,          0,          0,          0,          0,         11,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
 9 :     rank_2,          0,          3,          2,    9044050,         99,          1,        180,         14,          0,          0,          0,          0,         12,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
10 :     rank_2,          0,          3,          3,    9044082,         99,          1,        180,         14,          0,          0,          0,          0,         14,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
