           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       4740,          0,          0, 
 1 : conf_world_dummy,       4741,          0,          0, 
 2 :        ERC,       4742,          0,          0, 
 3 :        NGP,       4743,          0,          0, 
 4 :        UNB,       4744,          0,          0, 
 5 :        Asc,       4745,          0,          0, 
 6 :        CPC,       4746,          0,          0, 
 7 :        GOL,       4747,          0,          0, 
 8 :        Val,       4748,          0,          0, 
 9 :        MEL,       4749,          0,          0, 
10 :        RIO,       4750,          0,          0, 
11 :        BAR,       4751,          0,          0, 
12 :        DLP,       4752,          0,          0, 
13 :        DKF,       4753,          0,          0, 
14 :        FRN,       4754,          0,          0, 
15 :        GTN,       4755,          0,          0, 
16 :        BTE,       4756,          0,          0, 
17 :        VKL,       4757,          0,          0, 
18 :        CRK,       4758,          0,          0, 
19 :        ETV,       4759,          0,          0, 
20 :        ETB,       4760,          0,          0, 
21 :        GSS,       4761,          0,          0, 
22 :        STB,       4762,          0,          0, 
23 :        Str,       4763,          0,          0, 
24 :        DRC,       4764,          0,          0, 
25 : FIELD_DUNGEON_003,       4765,          0,          0, 
26 :        RBC,       4766,          0,          0, 
27 :        GAS,       4767,          0,          0, 
28 :        DLD,       4768,          0,          0, 
29 :        BDL,       4769,          0,          0, 
30 : FIELD_DUNGEON_008,       4770,          0,          0, 
31 :        NWD,       4771,          0,          0, 
32 :        UMD,       4772,          0,          0, 
33 : FIELD_DUNGEON_012,       4773,          0,          0, 
34 : FIELD_DUNGEON_013,       4774,          0,          0, 
35 :        ESB,       4775,          0,          0, 
36 :        NUD,       4776,          0,          0, 
37 : FIELD_DUNGEON_016,       4777,          0,          0, 
38 : FIELD_DUNGEON_017,       4778,          0,          0, 
39 : FIELD_DUNGEON_018,       4779,          0,          0, 
40 :        GSD,       4780,          0,          0, 
41 :        BND,       4781,          0,          0, 
42 :        GST,       4782,          0,          0, 
43 :        BHK,       4783,          0,          0, 
44 : FIELD_DUNGEON_029,       4784,          0,          0, 
45 :        SBC,       4785,          0,          0, 
46 :        SBF,       4786,          0,          0, 
47 :        SBV,       4787,          0,          0, 
48 :        SBM,       4788,          0,          0, 
49 :        SBR,       4789,          0,          0, 
50 :        SBN,       4790,          0,          0, 
51 :        CKD,       4791,          0,          0, 
52 : FIELD_DUNGEON_030,       4792,          0,          0, 
53 :        YMN,       4793,          0,          0, 
54 :        BDE,       4794,          0,          0, 
55 :        CPF,       4795,          0,          0, 
56 :        LHF,       4796,          0,          0, 
57 :        BSA,       4797,          0,          0, 
58 :        BSB,       4798,          0,          0, 
59 :        BSC,       4799,          0,          0, 
60 :        BSD,       4800,          0,          0, 
61 :        BSE,       4801,          0,          0, 
62 :        WSF,       4802,          0,          0, 
63 :        KDF,       4803,          0,          0, 
64 :        ERF,       4804,          0,          0, 
65 :        UBF,       4805,          0,          0, 
66 :        MFA,       4806,          0,          0, 
67 :        SSA,       4807,          0,          0, 
68 :        SSB,       4808,          0,          0, 
69 :        SSC,       4809,          0,          0, 
70 : battle_map_018,       4810,          0,          0, 

