           km_, km_check_num,  km_S_flag, km_check_num_1,    km_item,    km_eplv, 
       sSlabel,     eUCHAR,     eULONG,     eUCHAR,    eGLOBAL,     eSCHAR, 
 0 :    UNB_W01,          1,          0,          6,    8323291,          0, 
 1 :          @,          0,          0,          0,    8323290,          0, 
 2 :          @,          0,          0,          0,    8324287,          0, 
 3 :          @,          0,          0,          0,    8324300,          0, 
 4 :          @,          0,          0,          0,    8324430,          0, 
 5 :          @,          0,          0,          0,    8323546,          0, 
 6 :    UNB_I01,          5,       6850,          3,    8978471,         99, 
 7 :          @,          0,       6850,          0,    8978489,         99, 
 8 :          @,          0,       6850,          0,    8978481,         99, 
 9 :          @,          0,       3100,          3,    8978440,         99, 
10 :          @,          0,       3100,          0,    8978434,         99, 
11 :          @,          0,       3100,          0,    8978436,         99, 
12 :          @,          0,       2600,          1,    8978456,         99, 
13 :          @,          0,        900,          1,    8978435,         99, 
14 :          @,          0,          0,          7,    8978441,         99, 
15 :          @,          0,          0,          0,    8978444,         99, 
16 :          @,          0,          0,          0,    8978454,         99, 
17 :          @,          0,          0,          0,    8978432,         99, 
18 :          @,          0,          0,          0,    8978438,         99, 
19 :          @,          0,          0,          0,    8978455,         99, 
20 :          @,          0,          0,          0,    8978451,         99, 
21 :    UNB_M01,          1,          0,          3,    9044361,         99, 
22 :          @,          0,          0,          0,    9044333,         99, 
23 :          @,          0,          0,          0,    9044347,         99, 

