           km_,      km_id,  km_is_get, 
       sSlabel,    eSSHORT,     eUCHAR, 
 0 : remnant_accessory_shirma_rurion,         28,          1, 
 1 : remnant_accessory_blood_challis,         29,          1, 
 2 : remnant_accessory_rubber_soul,         30,          1, 
 3 : remnant_accessory_dead_heart,         31,          1, 
 4 : remnant_accessory_ria_fall,         32,          1, 
 5 : remnant_accessory_bunshin_remnant,         33,          1, 
 6 : remnant_accessory_wonder_bangle,         34,          1, 
 7 : remnant_accessory_heartache,         35,          1, 
 8 : ancientry_accessories_01,         43,          0, 
 9 : ancientry_accessories_02,         44,          0, 
10 : ancientry_accessories_03,         45,          0, 
11 : event_eq_accessory_002,         51,          1, 
12 : event_eq_accessory_003,         52,          1, 
13 : event_eq_accessory_001,         53,          1, 
14 : accessories_necklace_01,       1147,          0, 
15 : accessories_necklace_02,       1148,          1, 
16 : accessories_necklace_03,       1149,          0, 
17 : accessories_necklace_09,       1150,          0, 
18 : accessories_necklace,       1151,          0, 
19 : accessories_necklace,       1152,          0, 
20 : accessories_necklace,       1153,          0, 
21 : accessories_necklace,       1154,          0, 
22 : accessories_necklace,       1155,          0, 
23 : accessories_necklace,       1156,          0, 
24 : accessories_necklace,       1157,          0, 
25 : accessories_necklace,       1158,          0, 
26 : accessories_necklace,       1159,          1, 
27 : accessories_necklace,       1160,          0, 
28 : accessories_necklace,       1161,          0, 
29 : accessories_necklace,       1162,          0, 
30 : accessories_necklace,       1163,          0, 
31 : accessories_necklace,       1164,          0, 
32 : accessories_necklace,       1165,          0, 
33 : accessories_necklace,       1166,          0, 
34 : accessories_necklace,       1167,          0, 
35 : accessories_necklace,       1168,          0, 
36 : accessories_necklace,       1169,          0, 
37 : accessories_necklace,       1170,          0, 
38 : accessories_necklace,       1171,          0, 
39 : accessories_necklace,       1172,          0, 
40 : accessories_necklace,       1173,          0, 
41 : accessories_ring_01,       1174,          0, 
42 : accessories_ring_02,       1175,          0, 
43 : accessories_ring_03,       1176,          0, 
44 : accessories_ring_09,       1177,          0, 
45 : accessories_ring,       1178,          1, 
46 : accessories_ring,       1179,          0, 
47 : accessories_ring,       1180,          0, 
48 : accessories_ring,       1181,          0, 
49 : accessories_ring,       1182,          0, 
50 : accessories_ring,       1183,          0, 
51 : accessories_ring,       1184,          0, 
52 : accessories_ring,       1185,          0, 
53 : accessories_ring,       1186,          0, 
54 : accessories_ring,       1187,          0, 
55 : accessories_ring,       1188,          0, 
56 : accessories_ring,       1189,          0, 
57 : accessories_ring,       1190,          0, 
58 : accessories_ring,       1191,          0, 
59 : accessories_ring,       1192,          0, 
60 : accessories_ring,       1193,          0, 
61 : accessories_ring,       1194,          0, 
62 : accessories_ring,       1195,          0, 
63 : accessories_ring,       1196,          0, 
64 : accessories_ring,       1197,          0, 
65 : accessories_ring,       1198,          0, 
66 : accessories_ring,       1199,          0, 
67 : accessories_ring,       1200,          0, 
68 : accessories_ring,       1201,          1, 
69 : accessories_ring,       1202,          1, 
70 : accessories_ring,       1203,          1, 
71 : accessories_bangle_01,       1204,          0, 
72 : accessories_bangle_02,       1205,          1, 
73 : accessories_bangle_03,       1206,          1, 
74 : accessories_bangle_09,       1207,          0, 
75 : accessories_bangle,       1208,          0, 
76 : accessories_bangle,       1209,          0, 
77 : accessories_bangle,       1210,          1, 
78 : accessories_bangle,       1211,          0, 
79 : accessories_bangle,       1212,          0, 
80 : accessories_bangle,       1213,          0, 
81 : accessories_bangle,       1214,          0, 
82 : accessories_bangle,       1215,          0, 
83 : accessories_bangle,       1216,          0, 
84 : accessories_bangle,       1217,          0, 
85 : accessories_bangle,       1218,          0, 
86 : accessories_bangle,       1219,          0, 
87 : accessories_bangle,       1220,          1, 
88 : accessories_bangle,       1221,          1, 
89 : accessories_bangle,       1222,          0, 
90 : accessories_bangle,       1223,          0, 
91 : accessories_bangle,       1224,          0, 
92 : accessories_bangle,       1225,          0, 
93 : accessories_bangle,       1226,          0, 
94 : accessories_bangle,       1227,          0, 
95 : accessories_bangle,       1228,          0, 
96 : accessories_bangle,       1229,          0, 
97 : accessories_bangle,       1230,          1, 
98 : accessories_bangle,       1231,          1, 
99 : accessories_bangle,       1232,          0, 
100 : accessories_bangle,       1233,          1, 
101 : accessories_earring_01,       1234,          0, 
102 : accessories_earring_02,       1235,          0, 
103 : accessories_earring_03,       1236,          0, 
104 : accessories_earring_09,       1237,          0, 
105 : accessories_earring,       1238,          0, 
106 : accessories_earring,       1239,          0, 
107 : accessories_earring,       1240,          1, 
108 : accessories_earring,       1241,          1, 
109 : accessories_earring,       1242,          1, 
110 : accessories_earring,       1243,          1, 
111 : accessories_earring,       1244,          0, 
112 : accessories_earring,       1245,          0, 
113 : accessories_earring,       1246,          0, 
114 : accessories_earring,       1247,          0, 
115 : accessories_earring,       1248,          0, 
116 : accessories_earring,       1249,          0, 
117 : accessories_earring,       1250,          0, 
118 : accessories_earring,       1251,          0, 
119 : accessories_earring,       1252,          0, 
120 : accessories_earring,       1253,          0, 
121 : accessories_earring,       1254,          0, 
122 : accessories_earring,       1255,          0, 
123 : accessories_earring,       1256,          0, 
124 : accessories_earring,       1257,          1, 
125 : accessories_earring,       1258,          0, 
126 : accessories_earring,       1259,          0, 
127 : accessories_earring,       1260,          0, 
128 : accessories_earring,       1261,          0, 
129 : accessories_earring,       1262,          1, 
130 : accessories_earring,       1263,          0, 
131 : accessories_earring,       1264,          1, 
132 : accessories_earring,       1265,          0, 
133 : accessories_belt_01,       1266,          0, 
134 : accessories_belt_02,       1267,          0, 
135 : accessories_belt_03,       1268,          0, 
136 : accessories_belt,       1269,          0, 
137 : accessories_belt,       1270,          0, 
138 : accessories_belt,       1271,          0, 
139 : accessories_belt,       1272,          0, 
140 : accessories_belt,       1273,          0, 
141 : accessories_belt,       1274,          0, 
142 : accessories_belt,       1275,          0, 
143 : accessories_belt,       1276,          0, 
144 : accessories_belt,       1277,          0, 
145 : accessories_belt,       1278,          0, 
146 : accessories_belt,       1279,          0, 
147 : accessories_belt,       1280,          0, 
148 : accessories_belt,       1281,          0, 
149 : accessories_belt,       1282,          0, 
150 : accessories_belt,       1283,          0, 
151 : accessories_belt,       1284,          1, 
152 : accessories_belt,       1285,          0, 
153 : accessories_belt,       1286,          0, 
154 : accessories_belt,       1287,          0, 
155 : accessories_belt,       1288,          1, 
156 : accessories_belt,       1289,          1, 
157 : accessories_belt,       1290,          1, 
158 : accessories_anklet_01,       1291,          1, 
159 : accessories_anklet_02,       1292,          0, 
160 : accessories_anklet_03,       1293,          0, 
161 : accessories_anklet_09,       1294,          0, 
162 : accessories_anklet,       1295,          0, 
163 : accessories_anklet,       1296,          0, 
164 : accessories_anklet,       1297,          0, 
165 : accessories_anklet,       1298,          0, 
166 : accessories_anklet,       1299,          0, 
167 : accessories_anklet,       1300,          0, 
168 : accessories_anklet,       1301,          0, 
169 : accessories_anklet,       1302,          0, 
170 : accessories_anklet,       1303,          0, 
171 : accessories_anklet,       1304,          0, 
172 : accessories_anklet,       1305,          0, 
173 : accessories_anklet,       1306,          1, 
174 : accessories_anklet,       1307,          0, 
175 : accessories_anklet,       1308,          0, 
176 : accessories_anklet,       1309,          0, 
177 : accessories_anklet,       1310,          0, 
178 : accessories_anklet,       1311,          0, 
179 : accessories_anklet,       1312,          0, 
180 : accessories_anklet,       1313,          1, 
181 : accessories_anklet,       1314,          0, 
182 : accessories_anklet,       1315,          0, 
183 : accessories_amulet_01,       1316,          0, 
184 : accessories_amulet_02,       1317,          0, 
185 : accessories_amulet_03,       1318,          0, 
186 : accessories_amulet_09,       1319,          0, 
187 : accessories_amulet,       1320,          0, 
188 : accessories_amulet,       1321,          0, 
189 : accessories_amulet,       1322,          0, 
190 : accessories_amulet,       1323,          0, 
191 : accessories_amulet,       1324,          0, 
192 : accessories_amulet,       1325,          0, 
193 : accessories_amulet,       1326,          0, 
194 : accessories_amulet,       1327,          1, 
195 : accessories_amulet,       1328,          0, 
196 : accessories_amulet,       1329,          0, 
197 : accessories_amulet,       1330,          0, 
198 : accessories_amulet,       1331,          0, 
199 : accessories_amulet,       1332,          1, 
200 : accessories_amulet,       1333,          0, 
201 : accessories_amulet,       1334,          0, 
202 : accessories_amulet,       1335,          0, 
203 : accessories_amulet,       1336,          0, 
204 : accessories_amulet,       1337,          0, 
205 : accessories_amulet,       1338,          1, 
206 : accessories_jewel,       1339,          0, 
207 : accessories_jewel,       1340,          0, 
208 : accessories_jewel,       1341,          0, 
209 : accessories_jewel,       1342,          0, 
210 : accessories_jewel,       1343,          0, 
211 : accessories_jewel,       1344,          0, 
212 : accessories_jewel,       1345,          0, 
213 : accessories_jewel,       1346,          0, 
214 : accessories_jewel,       1347,          0, 
215 : accessories_etc,       1348,          0, 
216 : accessories_etc,       1349,          0, 
217 : accessories_etc,       1350,          1, 
218 : accessories_etc,       1351,          1, 
219 : accessories_etc,       1352,          0, 
220 : accessories_etc,       1353,          0, 
221 : accessories_etc,       1354,          0, 
222 : accessories_etc,       1355,          0, 
223 : accessories_etc,       1356,          0, 
224 : accessories_etc,       1357,          0, 
225 : accessories_etc,       1358,          0, 
226 : accessories_etc,       1359,          0, 
227 : accessories_etc,       1360,          0, 
228 : accessories_etc,       1361,          0, 
229 : ex_uniq_kirunea,       1513,          0, 

