           km_,   km_count, 
       sSlabel,    eSSHORT, 
 0 :        ERC,          0, 
 1 :        NGP,          0, 
 2 :        UNB,          0, 
 3 :        Asc,          0, 
 4 :        CPC,          0, 
 5 :        GOL,          0, 
 6 :        Val,          0, 
 7 :        MEL,          0, 
 8 :        RIO,          0, 
 9 :        BAR,          0, 
10 :        DLP,          2, 
11 :        DKF,         13, 
12 :        FRN,         24, 
13 :        GTN,          3, 
14 :        BTE,          4, 
15 :        VKL,          2, 
16 :        CRK,         38, 
17 :        ETV,          4, 
18 :        ETB,          0, 
19 :        GSS,          9, 
20 :        Str,          8, 
21 :        STB,          5, 
22 :        DRC,          5, 
23 :        LKD,          0, 
24 :        RBC,         21, 
25 :        GAS,         11, 
26 :        DLD,          2, 
27 :        BDL,         22, 
28 :        YFD,          3, 
29 :        NWD,          6, 
30 :        SBN,          7, 
31 :        UMD,          0, 
32 :        ESG,          0, 
33 :        ESA,          2, 
34 :        ESB,          2, 
35 :        NUD,          2, 
36 :        MAR,          0, 
37 :        USG,          0, 
38 :        USA,          2, 
39 :        GSD,          5, 
40 :        BND,          4, 
41 :        SBC,          2, 
42 :        SBF,         99, 
43 :        SBV,          4, 
44 :        SBM,          9, 
45 :        GST,          6, 
46 :        SBR,          0, 
47 :        BHK,          0, 
48 :        CKD,         61, 
49 :        YMN,          1, 
50 :        BDE,          2, 
51 :        CPF,          2, 
52 :        LHN,          1, 
53 :        BSA,          2, 
54 :        BSB,          2, 
55 :        BSC,          2, 
56 :        BSD,          2, 
57 :        BSE,          2, 
58 :        WSF,          3, 
59 :        KDF,          1, 
60 :        ERF,          1, 
61 :        UBF,          1, 
62 :        MFA,          1, 
63 :        SSA,          2, 
64 :        SSB,          1, 
65 :        SSC,          1, 
66 :        MFB,          0, 
67 :        CPB,          0, 
68 :        NGB,          0, 
69 :        BAB,          0, 
70 :        XXX,          4, 

