           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       4811,          0,          0, 
 1 : pick_kaisu0,       4812,          0,          0, 
 2 : pick_kaisu1,       4813,          0,          0, 
 3 : pick_kaisu2,       4814,          0,          0, 
 4 : pick_kaisu3,       4815,          0,          0, 
 5 : pick_normal_num0,       4816,          0,          0, 
 6 : pick_normal_num1,       4817,          0,          0, 
 7 : pick_normal_num2,       4818,          0,          0, 
 8 : pick_normal_num3,       4819,          0,          0, 
 9 : pick_rare_odds0,       4820,          0,          0, 
10 : pick_rare_odds1,       4821,          0,          0, 
11 : pick_rare_odds2,       4822,          0,          0, 
12 : pick_rare_odds3,       4823,          0,          0, 
13 : pick_rare_num0,       4824,          0,          0, 
14 : pick_rare_num1,       4825,          0,          0, 
15 : pick_rare_num2,       4826,          0,          0, 
16 : pick_rare_num3,       4827,          0,          0, 
17 : tre_rank_chk0,       4828,          0,          0, 
18 : tre_rank_chk1,       4829,          0,          0, 
19 : tre_rank_chk2,       4830,          0,          0, 
20 : tre_rank_chk3,       4831,          0,          0, 
21 :   tre_num0,       4832,          0,          0, 
22 :   tre_num1,       4833,          0,          0, 
23 :   tre_num2,       4834,          0,          0, 
24 :   tre_num3,       4835,          0,          0, 
25 : tre_money0,       4836,          0,          0, 
26 : tre_money1,       4837,          0,          0, 
27 : tre_money2,       4838,          0,          0, 
28 : tre_money3,       4839,          0,          0, 

